"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Reacciones,Comentarios,"Veces que se compartió","Total de clics",Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Impresiones del anuncio","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Ingresos estimados (USD)","CPM del anuncio (USD)"
860575669443100,106810189450788,"Alcaldía de Tuluá",,"¡Ahora estamos más cerca de ti!💪🏼

Te presentamos los puntos descentralizados de atención del SISBÉN que están disponibles en nuestro municipio. ✅ ¡Te esperamos! #ParaSerFelices 💙",27,"05/02/2024 10:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02x3hKk5FbAuEYR7hgkac1eWwAjCnJchLRncoL4wm8PeQ3PtCSrdGv1qYq5xPpH5Mql,1,0,"Reel de Facebook",,,,,Total,40,0,19,0,2435,2101,59,3101,15023.756,5.312,0,,,,
859748836192450,106810189450788,"Alcaldía de Tuluá",,"A los que trabajan con las manos, con su voz, con su cuerpo, con el alma y con el corazón: GRACIAS. 1ro de Mayo,Conmemoración Día Internacional del Trabajo.",17,"05/01/2024 06:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0iRLsrb8mzbPDQ7USyUF3HABDX73FQ45GBZtn36kK5PgLtsitZhVhhBzW8FcQG2nKl,1,0,"Reel de Facebook",,,,,Total,43,5,14,0,2126,1900,62,2918,10731.595,3.982,0,,,,
879455220888478,106810189450788,"Alcaldía de Tuluá",,"¡Continuamos cuidándonos entre todos!✅💙

Con el fin de educar a la población sobre el dengue, desde la Secretaría de Salud, se realizó una jornada de Prevención y Pedagogía donde se visitaron aproximadamente 300 hogares y se educaron cerca de 600 personas sobre la importancia de prevenir la proliferación del mosquito Aedes Aegypti, transmisor del Dengue. ✅💪 #ParaSerFelices",22,"05/30/2024 13:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0dJkq2SahpPiD2uczKhNoerxuK2bZmYTGnNJJRR2DQbJvASNtPf4RSixmyEFqjpkl,0,0,"Reel de Facebook",,,,,Total,36,0,13,0,1293,1038,49,1951,9673.491,5.434,0,,,,
879258724241461,106810189450788,"Alcaldía de Tuluá",,"Tuluá es nuestro hogar, es el latido de esperanza que ha sido el motor de sueños y la cuna de promesas de muchos tulueños. Es un recordatorio constante de que, incluso en medio de la adversidad, la luz de la esperanza nunca se desvanece. Hoy son 199 años siendo el corazón que hace palpitar a nuestro Valle del Cauca. ¡Feliz día de la Municipalidad!❤️💚🤍#ParaSerFelices 💪💙",92,"05/30/2024 06:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02mXktnB4JEEQf7kTu8GxY1438qMCjLwNzk4m2wfAAgBV2Pygu4ctR5TP7q1dWekNWl,0,0,Video,,,,,Total,215,29,40,214,5137,4724,284,4988,51993.758,11.143,0,214,,0,0
878868634280470,106810189450788,"Alcaldía de Tuluá","Actualización de estado",,36,"05/29/2024 15:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02vRzcjRL4UHbkfPw74UWwdN9UvA9jSbsAvcrTn4RhmGQ5K5tLPTzQrxffjhr28sTgl,0,1,"Reel de Facebook",,,,,Total,0,0,0,0,,,,,,,,,,,
878269901007010,106810189450788,"Alcaldía de Tuluá","Rendición de Cuentas: 100 primeros días",,3438,"05/28/2024 15:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02yV8fe9WWHZS125RMXzsKYKrT5azGEGvPmdb4FRVuTm8RtJcgxTzxWa9UN2jmK8vUl,0,1,"Video en vivo",,,,,Total,17,0,0,13,814,643,17,,,,,13,,,
877630824404251,106810189450788,"Alcaldía de Tuluá",,"¡Un espacio limpio, es un espacio seguro! 💪Trabajamos por un futuro más saludable y sostenible #ParaSerFelices ✅💙",23,"05/27/2024 14:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid05aDDBpNCZxNqt6cBZBgmkd5PKLrohADqPycvZsPSUS1qiUedapACdVYLFUBXyssvl,0,0,"Reel de Facebook",,,,,Total,109,21,15,0,2492,2249,145,5136,30167.435,6.332,0,,,,
877429794424354,106810189450788,"Alcaldía de Tuluá",,"¡Transformamos nuestro municipio desde la Educación!✅📚

Por medio de las Secretarías de Educación, Salud, Bienestar Social, IMDER, y las entidades ICBF, Uceva y Policía de Infancia y Adolescencia creamos la estrategia ""Alza la Voz"" para llegar a cada Institución Educativa de nuestro municipio para la prevención de la violencia sexual y de género aplicada desde la niñez y adolescencia.  #ParaSerFelices",34,"05/27/2024 07:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0iSDYvDAyRLuryJvEdzFNR4N6hHHHUP5jBBoZWjRe5XYLA95CwHBuavLk715EyPtkl,0,0,"Reel de Facebook",,,,,Total,40,1,14,0,1002,835,55,1720,8311.692,5.27,0,,,,
876179657882701,106810189450788,"Alcaldía de Tuluá",,,0,"05/25/2024 09:05",mixed,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02K8XGUZvFZGfNaHBrkYV5t2h8vw6sv5Kuk7soPMsaC9ByG5LpPaZf2UesFu5TdJCjl,1,0,"Reel de Facebook",,,,,Total,87,4,3,0,1146,948,94,0,0,0,0,,,,
1536046227338914,106810189450788,"Alcaldía de Tuluá",,"ENCUENTROS CON EL ALCALDE✅💙

Otro encuentro más con el alcalde realizando interacción con nuestra comunidad ¡Bienvenidos!",2363,"05/25/2024 09:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/videos/1536046227338914/,0,0,"Video en vivo",,,,,Total,325,75,68,,,5716,468,8523,257225.153,33.194,,,,0,
875590774608256,106810189450788,"Alcaldía de Tuluá",,"¡Con el arte, exploramos, creamos e inspiramos!🎭🎨📚
Ven y visita nuestras bibliotecas y haz parte de este viaje a través de la lectura. 
Cada día impactamos a más personas de nuestro municipio, en los programas que ofrecemos desde el Departamento Administrativo de Arte y Cultura y la Red de Bibliotecas que se crean #ParaserFelices 💙✅ ¡Te esperamos!",43,"05/24/2024 12:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid07wvbU9SuQNqghgquzggZeAXwTjXAoQoYzTejGWV29jucYrpzMp1uBG792WiegrPKl,0,0,"Reel de Facebook",,,,,Total,62,3,14,0,1633,1412,79,2792,12313.893,4.625,0,,,,
