Identificador de la publicación,Identificador de la página,Nombre de la página,Título,Descripción,Duración (segundos),Hora de publicación,Tipo de subtítulo,Enlace permanente,Es una publicación cruzada,Es una publicación compartida,Tipo de publicación,Idiomas,Etiquetas personalizadas,Estado de contenido financiado,Comentario sobre los datos,Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,Veces que se compartió,Total de clics,Consumo de segmentación del público coincidente (Photo Click),Clics de otro tipo,Clics en el enlace,Reproducciones de reels,Segundos reproducidos,Segundos en promedio reproducidos,Impresiones del anuncio,Ingresos estimados (USD),CPM del anuncio (USD)
824125933088074,106810189450788,Alcaldía de Tuluá,,"En el #MesdelaMujer, te invitamos a activar el Código Rosa, para hacerlo, debes comunicarte a estas líneas para denunciar cualquier tipo de violencia de género. #AnteUnaAlertaActúo #MujeresTulueñasdeCorazón  💙💪",0,03/07/2024 05:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02H76QgQzyzNUW1HPK7jkE5sHXhjU77z9oaB97fwfNS29xEguYJWxTcWa72YQSUnFnl,0,0,Foto,,,,,Total,2673,2487,59,38,2,19,27,21,6,,,,,,,
824316289735705,106810189450788,Alcaldía de Tuluá,,"En el #MesdelaMujer, te invitamos a activar el Código Rosa, para hacerlo, debes comunicarte a estas líneas para denunciar cualquier tipo de violencia de género. #AnteUnaAlertaActúo #MujeresTulueñasdeCorazón 💙💪",17,03/07/2024 11:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02PUSbtbsftpSQpmW7zcvbqxgme8epy47RMfLXQyVt73kCXJzrym753wwa2rTDTyY1l,0,0,Reel de Facebook,,,,,Total,1316,1229,73,61,1,11,0,,,,2643,"10352,435","4,313",0,,
824402346393766,106810189450788,Alcaldía de Tuluá,,"Desde la Secretaría de Salud, mañana, 8 de marzo, #DíadeLaMujer, se realizará una jornada de Socialización y Orientación en la ruta de violencia sexual y de género con un espacio pensado para las mujeres tulueñas. 💙✅ ¡Te esperamos! 💪 #MujeresTulueñasdeCorazón",0,03/07/2024 15:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02WMVk6PKFzooZBAKkU3nxGrfsyJdo88KjL38FuzJqDKT8BApA6AddyoxgEvb9Fhpol,0,0,Foto,,,,,Total,1163,1083,16,13,3,0,13,2,11,,,,,,,
824745653026102,106810189450788,Alcaldía de Tuluá,,"¡CONMEMORACIÓN DÍA DE LA MUJER! 
Desde la Alcaldía Municipal, queremos enviar un saludo muy especial a todas las mujeres hoy en su día. Hoy #8M, conmemoramos la lucha a través de la historia por sus derechos. 💪🏼💙",0,03/08/2024 04:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0owJSC7vtYR9ePFntvPNUNcsJ1QuG5puodWsNKdoUowSCVyhwQcLWGCAQdEL6eN6pl,0,0,Foto,,,,,Total,4411,4165,95,84,3,8,110,82,28,,,,,,,
824804446353556,106810189450788,Alcaldía de Tuluá,,"En este momento, el secretario de Gobierno, José Martín Hincapié, se encuentra en la Cumbre de Convivencia, Seguridad y Justicia realizada por el ministerio de Defensa en Bogotá, DC.✅💙",38,03/08/2024 06:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0BrWRWPwiCS1AX6tP7KSX2bm4UjmQ2CkX2wFnjvqrruKDaMdUe8sEjhUFVcsHJRRel,0,0,Reel de Facebook,,,,,Total,2190,2052,340,291,29,20,0,,,,4614,"48557,488","12,063",0,,
824840076349993,106810189450788,Alcaldía de Tuluá,,"La gestora social, Luz Elena Londoño, envía un saludo muy especial a todas las mujeres tulueñas, valientes y fuertes que día a día hacen de Tuluá un municipio que vuelve a enamorar. 💙✅",26,03/08/2024 07:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0ymbZCT9zVVh58Prgg9sN8d5oTdhNK2TcjJxhBEYaBqv5nzo9QPrGWo5ErjzZnNKml,0,0,Reel de Facebook,,,,,Total,2009,1895,281,213,22,46,0,,,,4020,"30520,624","8,489",0,,
825012629666071,106810189450788,Alcaldía de Tuluá,,"Hoy realizamos la Conmemoración del Día Internacional de la Mujer en la Terminal de Transportes con el acompañamiento de la gestora social, Luz Elena Londoño, gerentes, secretarias de despacho, concejales y 70 mujeres policías a las cuales se les hizo un reconocimiento especial por su labor en el municipio. Con el apoyo de las directoras del IMDER y el Departamento de Arte y Cultura se realizó un espacio lleno de alegría y recreación para celebrar este día. ✅✨🎉",59,03/08/2024 14:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02wG8LQ3JvdRuevHjfXjD3FA6ZVJcwxQWESq2Kd4F4oM9kbgUywqd1jmaQFqA9PJCKl,0,0,Reel de Facebook,,,,,Total,2695,2566,282,217,17,48,0,,,,5682,"83850,804","16,963",0,,
825048189662515,106810189450788,Alcaldía de Tuluá,,"Entre todos lograremos hacer de Tuluá, un municipio más seguro para vivir en paz. Te invitamos a unirte a la campaña #TodosPorTuluá durante este fin de semana, con responsabilidad cumpliendo el decreto de restricción de movilidad. 💪🏼✅",0,03/08/2024 16:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0RuYTNuXkd1YdRQBHMbxdv7JUk4xLJM4qPZ5RqfrWFDKiwddiyCBG34dXq9Kf2UJml,0,0,Foto,,,,,Total,4069,4003,60,49,3,8,66,30,36,,,,,,,
825389466295054,106810189450788,Alcaldía de Tuluá,,¡Aquí te presentamos estas mujeres fuertes y trabajadoras! Ellas son la representación de la mujer tulueña. Las comerciantes del Centro Comercial Bicentenario Plaza. 💙🎉💪🏼 Ellas también son #MujeresTulueñasdeCorazón 💙 #MesdelaMujer,25,03/09/2024 06:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02zozJRJdCSrxGpUzhLusa2kH5n5BfcS5sngHm9aXVcHZpQ4FSGhmZ62QquYLb953vl,0,0,Reel de Facebook,,,,,Total,2191,2011,101,78,1,22,0,,,,3457,"21815,357","6,958",0,,
825533022947365,106810189450788,Alcaldía de Tuluá,,"¡Los datos hablan por sí solos!‼️
Gracias a la medida de control de movilidad, las cifras de hurtos han disminuido en un 52%. Seguimos trabajando #TodosPorTuluá 💙✅",0,03/09/2024 12:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02GzyhF4jbzvUiQ3yeD976JBkV57wgA8GehnGzzVqQMxPqqCEMmUpDsmSu6r8fXBq9l,0,0,Foto,,,,,Total,3794,3696,66,54,4,8,55,25,30,,,,,,,
825616102939057,106810189450788,Alcaldía de Tuluá,,"Hoy la @facincorporacion hace una invitación muy especial a toda la comunidad tulueña, a aquellos jóvenes que deseen incorporarse a la Fuerza Aeroespacial de Colombia para prestar su servicio militar. 💙💪🏼",50,03/09/2024 16:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02k65JGeMPXKarw7Y3bPBbcvvdwbDSA6TR69HpguCkLKQy7FidyHC6CLuXXy5dQuwdl,0,0,Reel de Facebook,,,,,Total,1397,1279,64,52,0,12,0,,,,1846,"11214,595","6,404",0,,
826016832898984,106810189450788,Alcaldía de Tuluá,,Desde la Secretaría de Salud extendemos una invitación muy especial a todas las personas que deseen traer sus mascotas a la Gran Jornada de Vacunación Antirrábica de Caninos y Felinos.  Aquí podrán encontrar las fechas y horarios. 🐕🐈💉 ¡Ellos también hacen parte de nuestra familia!💙,0,03/10/2024 08:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0hseL8J3VMdk4JrE2hwATL87JQyTATJs9GshXmTiBFxhp7yQiLUd8YSiu6wHe6Bsnl,0,0,Foto,,,,,Total,3178,2997,66,40,9,17,68,58,10,,,,,,,
826115776222423,106810189450788,Alcaldía de Tuluá,,"Con el fin de fortalecer la seguridad y disminuir los casos de violencia de género en nuestro municipio, se realizó la capacitación a personal femenino y masculino de la @policiavalledelcauca de las Patrullas Púrpuras. 💜

Trabajamos por Bienestar de nuestra comunidad. 💪🏼",27,03/10/2024 10:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0Jnwu9E9DEwT3CsDT7f66NeaQiVdi5Pyv2UeK7gDfcgNAzY8WTAvh8h5GUGuqDSGBl,0,0,Reel de Facebook,,,,,Total,1181,1095,49,42,0,7,0,,,,1684,"8032,774","5,045",0,,
826200782880589,106810189450788,Alcaldía de Tuluá,,"¡Continuamos construyendo el Plan de Desarrollo!
En esta ocasión, el espacio será para los líderes de las Juntas de Acción Comunal de la zonas rurales de nuestro municipio ✅💙
 Te esperamos mañana, 11 de marzo, desde las 8:30a.m. en el Centro Comercial Bicentenario Plaza para escuchar tus ideas💡",0,03/10/2024 13:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0xwKsS7ChzMJoQpcUngPDmat1xgzTJQKTvuDLpkFGDubqGz61RwtebwynsVqyussRl,0,0,Foto,,,,,Total,3611,3423,51,40,2,9,29,24,5,,,,,,,
826605772840090,106810189450788,Alcaldía de Tuluá,,"Desde la Alcaldía Municipal, a través del Departamento Administrativo de Movilidad y Seguridad Vial y el apoyo de Infituluá, se está trabajando desde el día uno para restablecer los cruces semafóricos y poder recuperar el orden para la movilidad en las calles dentro de nuestro municipio. ¡Seguimos recuperando a Tuluá!💪💙",47,03/11/2024 06:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02frniVTDaQY3sz8PWfuku87WdyLsgqp6XuEsfks9zBpr7Wc2Atw4NK7Q3Uv5Lqaysl,0,0,Reel de Facebook,,,,,Total,2496,2298,264,224,22,18,0,,,,5434,"62492,336","12,766",0,,
826746472826020,106810189450788,Alcaldía de Tuluá,,"Desde la Alcaldía Municipal seguimos realizando las respectivas gestiones por las vías en las veredas del municipio El Chuzo, El Vergel, La Coca, Maravelez, El Brasil y San Lorenzo, de la zona rural alta del municipio para la seguridad en la movilidad de los ciudadanos. ✅💙🚧",41,03/11/2024 10:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02NBCNaCW465wnzNMBiPM9w2ARMcgZYBbtCoQqr4wFm5QTZRg4CRSV6mcBe2DvukbCl,0,0,Reel de Facebook,,,,,Total,2643,2382,362,275,27,60,0,,,,6830,"73348,263","11,849",0,,
827211839446150,106810189450788,Alcaldía de Tuluá,,Desde la Secretaría de Salud se inició con el Programa de Seguridad e Inocuidad Alimentaria para todos los establecimientos abiertos al público con el fin de realizar la verificación higiénica de dichos espacios para brindar seguridad y confiabilidad a nuestra ciudadanía tulueña.💪✅💙,51,03/12/2024 06:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02RLESidoECPfssMBKCbatfCe2gdXngZuXdHaRRhX2piLJWbAvVCJRDyM9zBU8bBQQl,0,0,Reel de Facebook,,,,,Total,2121,1988,198,168,8,22,0,,,,4021,"42370,725","11,362",0,,
827410776092923,106810189450788,Alcaldía de Tuluá,,El Ejército Nacional realiza una invitación especial a todos los jóvenes colombianos mayores de 18 años a que se incorporen y hagan parte del Segundo Contingente del 2024. ¡La oportunidad es ahora!💙💪,43,03/12/2024 14:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0yZ9TZM7gevabH5UbvqcCeXcJN7FUupXpSmWDbTLKYdi1HPZehFz3pk59iJp7EBbbl,0,0,Reel de Facebook,,,,,Total,2381,2234,110,96,0,14,0,,,,4119,"36541,814","9,449",0,,
827762539391080,106810189450788,Alcaldía de Tuluá,,"¡Aquí nos cuidamos entre todos!💪🏼✅
Desde la Secretaria de Salud Municipal invitamos a nuestra ciudadanía a que siga tomando medidas de cuidado para evitar la propagación del Dengue.  Es importante cuidarnos entre todos y tener presente estos tips para aplicarlos en los hogares. 🦟🚫",0,03/13/2024 06:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0F2CXPHQdiYhnwoCXwFhTAfEaWefJuDaDcuCipA4DNpasf81b8s1AowYr4FwqWJ99l,0,0,Foto,,,,,Total,3060,2827,42,29,1,12,107,89,18,,,,,,,
827821969385137,106810189450788,Alcaldía de Tuluá,,"¡Día del Alcalde!💪🏼
La Ley 1656 de 2013 declara el día 13 de  marzo como el Día Nacional del Alcalde en Colombia. Hoy resaltamos la labor de la persona que lleva actualmente las riendas de un municipio trabajador y resiliente, pero que solo con la ayuda y la cooperación de sus ciudadanos, logrará cumplir con el objetivo.🎯 ✅💙",36,03/13/2024 08:03,uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0ifQNxSvABSUoc43tsTKtqkSMVsDpL8VyH9yGVAMgdyc7qZPgTpEHBqUmsmQzUATUl,0,0,Reel de Facebook,,,,,Total,2865,2749,459,370,61,28,0,,,,5357,"55001,957","11,347",0,,
827938732706794,106810189450788,Alcaldía de Tuluá,Fotos de la biografía,,0,03/13/2024 13:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0TurLdWgdVZrGxLmUnDoZhMNvsgxwf4dBknJHdFwXbywNhyBTkikkdwYt3Y4NX3qJl,0,1,Foto,,,,,Total,2537,2444,79,69,2,8,199,114,85,,,,,,,
