"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Clics en el enlace",Seguimientos,"Toques en stickers"
18034784686887714,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,56,"07/14/2024 19:07",,"Historia de Instagram",,Total,731,731,0,,0,800,,,
17930085554795015,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/14/2024 15:07",,"Historia de Instagram",,Total,662,662,0,,0,741,,,
18060454711719629,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@gustavovelezr,20,"07/30/2024 10:07",https://www.instagram.com/p/C-Dk4-9u9t2/,"Historia de Instagram",,Total,706,647,0,2,1,217,,,
17896838885961936,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Comunícate ahora y haz parte💪🏼✅",5,"07/30/2024 07:07",https://www.instagram.com/p/C-DPBZouu7S/,"Historia de Instagram",,Total,197,197,0,2,0,279,,,
18084919462435565,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@josemartinhincapi @secre.bienestarsocialtulua @tuluaculturacol_ @gisecalero16 @infitulua @emtulua @karolberon25 @imdertulua @hospitalrubencruzvelez @bibliotecatulua @maryelena_23 @central_de_transportes_tulua_ @carolarodri @santiagoguzmanp @alexa__cardona1974",15,"07/30/2024 07:07",https://www.instagram.com/p/C-DO0uMO0c6/,"Historia de Instagram",,Total,245,221,0,,0,267,,,
18318442900197078,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/30/2024 07:07",https://www.instagram.com/p/C-DOufmu0z2/,"Historia de Instagram",,Total,191,189,0,,0,270,2,,
17963481395656125,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/30/2024 07:07",https://www.instagram.com/p/C-DN0THuvLv/,"Historia de Instagram",,Total,199,195,0,,0,298,1,,
18016625348421659,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/30/2024 07:07",https://www.instagram.com/p/C-DNnQ6O56S/,"Historia de Instagram",,Total,199,191,0,,0,300,,,
17909753390903411,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde las 8:00 a. m. ¡Mañana! ¡Cuidemos el Medio Ambiente! @emtulua @infitulua @gisecalero16 @tuluaculturacol_ @secre.bienestarsocialtulua",15,"07/30/2024 07:07",https://www.instagram.com/p/C-DNluEuQgW/,"Historia de Instagram",,Total,257,238,0,,0,276,,,
18093565630452599,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@supergiroscentrodelvalle,60,"07/30/2024 07:07",https://www.instagram.com/p/C-DKctMuFPe/,"Historia de Instagram",,Total,206,205,0,1,0,303,,,
17913915896882379,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/30/2024 07:07",https://www.instagram.com/p/C-DKaEBuQPf/,"Historia de Instagram",,Total,210,205,0,,0,317,,,
18067194013516241,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","SIMÓN: 
Orgullo Tulueño✅🛼",15,"07/30/2024 06:07",https://www.instagram.com/p/C-DF_fYuHjl/,"Historia de Instagram",,Total,226,222,0,1,0,307,,,
18032454458113066,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Te esperamos! ¡Es hoy!",15,"07/30/2024 06:07",https://www.instagram.com/p/C-DFbPXuQ4z/,"Historia de Instagram",,Total,231,229,0,,0,302,,,
18035154311293524,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","H O Y Martes de Mercado C A M P E S I N O",15,"07/30/2024 06:07",https://www.instagram.com/p/C-DFPW0uSnS/,"Historia de Instagram",,Total,245,240,0,1,0,317,,,
18328247494176493,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde la Secretaría de Hábitat e Infraestructura, continuamos ampliando la vía a la vereda La Selva, embalastrando con el material de cantera ¡Adecuando el acceso a la zona rural!💪🏼",10,"07/29/2024 14:07",,"Historia de Instagram",,Total,369,356,0,,0,470,,,
18016410710412590,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@josemartinhincapi @karolberon25 @secre.bienestarsocialtulua",18,"07/29/2024 14:07",,"Historia de Instagram",,Total,572,518,0,,0,497,,,
18010327565322278,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/29/2024 13:07",,"Historia de Instagram",,Total,366,366,0,,0,479,,,
18021422834381787,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@secre.bienestarsocialtulua @karolberon25 @soymafevictoria @josemartinhincapi @infitulua @santiagoguzmanp @imdertulua",15,"07/29/2024 13:07",,"Historia de Instagram",,Total,742,662,0,,0,509,1,,
18027612299023490,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@imdertulua,15,"07/29/2024 09:07",,"Historia de Instagram",,Total,533,497,0,1,1,523,,,
17892206729982775,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/29/2024 07:07",,"Historia de Instagram",,Total,410,410,1,,0,545,4,,
17922387602945974,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/29/2024 07:07",,"Historia de Instagram",,Total,495,495,0,5,0,641,,1,
17917318646953606,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Construyamos juntos una Tuluá  S E G U R A ✅",15,"07/27/2024 17:07",,"Historia de Instagram",,Total,426,426,0,1,0,534,,,
18070412716554820,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,8,"07/27/2024 17:07",,"Historia de Instagram",,Total,511,511,1,2,0,669,,,
18267418783244582,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/27/2024 09:07",,"Historia de Instagram",,Total,420,411,0,1,0,554,,,
18304843246090331,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/27/2024 08:07",,"Historia de Instagram",,Total,428,424,0,1,0,536,1,,
18019440944139165,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Cuida tus dientes hoy✅💪🏼",0,"07/27/2024 08:07",,"Historia de Instagram",,Total,458,458,0,,0,573,,,
18087213046468608,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Te esperamos!✅ H O Y",0,"07/27/2024 08:07",,"Historia de Instagram",,Total,469,466,0,,0,597,,,
17987593403694824,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/27/2024 08:07",,"Historia de Instagram",,Total,463,463,0,1,0,607,,,
17851928676247134,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,22,"07/27/2024 08:07",,"Historia de Instagram",,Total,489,489,0,,0,593,,,
18025588094193323,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,16,"07/27/2024 08:07",,"Historia de Instagram",,Total,499,499,0,,0,626,,,
17863241625188757,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Estamos en marcha!💪🏼 Hoy nuestro alcalde, @gustavovelezr, se reunió con todo nuestro equipo de gobierno para ajustar detalles que nos permite trazar juntos el camino de lo que es nuestro Plan de Desarrollo Municipal #ParaSerFelices @gustavovelezr @cristianhernandezv  @alexa__cardona1974 @robertposadarosero @karolberon25 @santiagoguzmanp @carolarodri @soymafevictoria @josemartinhincapi @sachicanavarro @central_de_transportes_tulua_ @maryelena_23 @bibliotecatulua @emtulua @puntos_innova_tulua @hospitalrubencruzvelez @tuluaculturacol_",15,"07/26/2024 16:07",,"Historia de Instagram",,Total,1610,1476,0,1,2,601,,,
18071647159550824,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/26/2024 15:07",,"Historia de Instagram",,Total,381,381,0,,0,525,,,
17926151141923449,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/26/2024 15:07",,"Historia de Instagram",,Total,390,390,2,,0,563,,,
17879751678098266,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,21,"07/26/2024 15:07",,"Historia de Instagram",,Total,401,401,2,,0,505,,,
18039172282957968,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Mañana no te lo pierdas!✅",0,"07/26/2024 13:07",,"Historia de Instagram",,Total,384,384,0,,0,514,,,
18024411149515669,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/26/2024 13:07",,"Historia de Instagram",,Total,384,384,0,2,0,528,4,,
18307989664080900,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Estamos comprometidos con nuestros deportistas!🙌🏽💙🛼",15,"07/26/2024 09:07",,"Historia de Instagram",,Total,1248,1112,0,1,2,492,,,
18038878882974386,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/26/2024 06:07",,"Historia de Instagram",,Total,340,334,0,1,0,494,,,
18097732498436691,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/26/2024 06:07",,"Historia de Instagram",,Total,351,342,0,,0,489,,,
18027172118265510,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@supergiroscentrodelvalle,60,"07/26/2024 06:07",,"Historia de Instagram",,Total,355,350,0,,0,481,,,
18441238036054548,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/26/2024 06:07",,"Historia de Instagram",,Total,360,346,0,,0,517,,,
18036107488878795,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,8,"07/26/2024 06:07",,"Historia de Instagram",,Total,350,338,0,1,0,499,,,2
17922018479937906,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Carrera 30 # 14-51",15,"07/26/2024 06:07",,"Historia de Instagram",,Total,377,367,0,4,0,521,,,
18040697737790220,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@tuluaculturacol_ @secre.bienestarsocialtulua @bibliotecatulua @gisecalero16 @josemartinhincapi  @imdertulua @central_de_transportes_tulua_ @santiagoguzmanp @karolberon25 @alexa__cardona1974  @fernandapasmin",15,"07/25/2024 09:07",,"Historia de Instagram",,Total,415,389,1,2,0,453,6,,
