"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Veces que se compartió",Seguimientos,Reproducciones,"Me gusta",Comentarios,"Veces que se guardó"
17892843947985175,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Corre seguro este domingo!✅👟🏃🏼🏃🏼‍♀️ 

Desde la Administración Municipal invitamos a toda la comunidad tulueña para que asista y participe de este espacio deportivo y recreativo familiar, en su versión número 24. ¡Vivamos con seguridad y responsabilidad la Carrera Río Tuluá, un espacio #ParaSerFelices! 💙✅💪🏼",65,"08/02/2024 16:08",https://www.instagram.com/reel/C-L5NsyuR5Y/,"Reel de Instagram",,Total,4642,3589,10,,8010,140,8,2
18323656753150951,17841411919702656,hospitalrubencruzvelez,"Hospital Rubén Cruz Vélez","📣 Se informa a la ciudadanía que la estrategia Atención Primaria en Salud (APS) a través de los Equipos Básicos (EBS), comienza del 5 al 17 de agosto en el Corregimiento de Nariño, los habitantes del lugar mencionado estar atentos para recibir estos servicios. 

La Atencion Primaria en Salud continuara llegando a diferentes sectores del municipio, enfocados en ser agentes comunitarios en salud dia tras dia, casa a casa. 🏠 ⚕️",42,"08/02/2024 06:08",https://www.instagram.com/reel/C-K1GR7uLa9/,"Reel de Instagram",,Total,,,17,,4807,86,9,0
18043769962823826,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Caen integrantes de la Inmaculada encargados de vender psicoactivos a menores!👮🏻‍♂️

Se trata de 10 integrantes de este grupo delincuencial, quienes presuntamente serían los encargados de distribuir y vender sustancias psicoactivas a menores de edad en los entornos de las Instituciones Educativas; estas capturas se realizaron durante el operativo, llevado a cabo en la madrugada de este martes, 27 de agosto dentro de la estrategia denominada ´Seguridad en los Territorios´ que continúa debilitando cada vez más a dicho grupo. 

Continuamos trabajando para brindar seguridad en una Tuluá #ParaSerFelices ✅",31,"08/30/2024 14:08",https://www.instagram.com/reel/C_TxMIavnB9/,"Reel de Instagram",,Total,3417,3221,2,,6086,112,4,4
18067617517597046,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Encuentros con el Alcalde!🙌🏽✅

Bienvenidos a este espacio para hablar com nuestra comunidad.💙🙌🏽 #ParaSerFelices",4076,"08/30/2024 11:08",https://www.instagram.com/reel/C_TcpRbO504/,"Reel de Instagram",,Total,551,517,0,,825,27,2,1
18128188972371585,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎉 ¡PAPAYAZO TRIBUTARIO 2024! 💰 ✅

Aprovecha el 90% de descuento en intereses y sanciones de tus impuestos municipales este mes. Desde la Administración Municipal brindamos esta increíble oportunidad para aliviar tu carga tributaria. 🔍 Descubre más sobre cómo puedes aprovechar estos beneficios en este carrusel. ¡No dejes pasar esta oportunidad para ponerte al día y ahorrar! 👇 #ParaSerFelices 💙",0,"08/30/2024 09:08",https://www.instagram.com/p/C_TRJn2uZ0m/,"Secuencia de Instagram",,Total,2043,1520,11,1,,26,2,3
18017398763582738,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Buenas noticias para los tulueños: Concejo Municipal aprobó papayazo de descuentos en impuestos!🗣️✅💪🏼

A partir del 1 al 30 de septiembre, desde la Administración Municipal se ofrecerán descuentos masivos con el “Papayazo Tributario”, un 90% en septiembre, 80% en octubre, y 70% en noviembre y diciembre en los intereses de impuesto predial, Industria y Comercio, Servicio de Alumbrado Público, y Circulación y Tránsito de servicio público.

Continuamos fortalecer al municipio y asegurando que todos contribuyamos al desarrollo y bienestar de Tuluá #ParaSerFelices 💙✅",100,"08/28/2024 16:08",https://www.instagram.com/reel/C_O58IpOOZq/,"Reel de Instagram",,Total,6127,5147,58,9,8589,214,22,13
18040698574852084,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Estamos  más cerca de la comunidad!✅💙

Desde la Administración Municipal, te invitamos este 7 de septiembre a la gran jornada de integración para que conozcas toda la oferta institucional que tenemos para ofrecerte. Tendremos espacios de arte, cultura, deporte y recreación para toda la comunidad tulueña.✨🙌🏽

¡No te pierdas estos espacios donde nos conectaremos #ParaSerFelices!💙",60,"08/28/2024 10:08",https://www.instagram.com/reel/C_ON3l3uKU-/,"Reel de Instagram",,Total,5130,4307,23,1,7424,152,8,7
18154322095317320,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Ya tenemos 22 Equipos Básicos de Salud brindando atención a los tulueños! 🔍🏥

 💬👨‍⚕️👩‍⚕️ En un trabajo articulado con el Hospital Rubén Cruz Vélez, reafirmamos nuestro compromiso de brindar un servicio de calidad a toda la comunidad tulueña con los Equipos de Profesionales especializados que se encuentran en campo dedicados a cuidar de la salud de nuestra población.

Juntos, ¡seguimos avanzando hacia un Tuluá #ParaSerFelices! 💙✅💪",0,"08/27/2024 13:08",https://www.instagram.com/p/C_L6JnqpwLw/,"Secuencia de Instagram",,Total,2679,1946,0,,,99,4,2
18432868675070705,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","¡Así vivimos nuestra Feria Gastronómica y de Descuentos! 🤩🎉
Dos días de ritmo contagioso 🎶, sabores exquisitos 🍴 y un ambiente familiar lleno de amor. ❤️
Trabajamos mano a mano con la Administración Municipal para impulsar la reactivación económica y cultural de estos lugares emblemáticos para la comunidad tulueña.💪
Seguimos trabajando día a día para #ParaSerFelices💙🙌🏽",71,"08/25/2024 11:08",https://www.instagram.com/reel/C_Gii1UuEIE/,"Reel de Instagram",,Total,3067,2457,7,1,4030,79,8,0
18038379134043830,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡ENCUENTROS CON EL ALCALDE!💙

Bienvenidos a este espacio de diálogo con nuestra comunidad #ParaSerFelices 🙌🏽",4124,"08/23/2024 11:08",https://www.instagram.com/reel/C_BalD1ulqg/,"Reel de Instagram",,Total,1451,1212,0,,1957,44,2,0
18067917469605634,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Hoy se radica el proyecto de Papayazo Tributario!✅💪🏼

Desde la Administración Municipal se implementará a partir del mes de septiembre esta iniciativa para reducir las cargas tributarias de los tulueños y ofrecerles mayores beneficios. 🙌

Continuamos trabajando por una Tuluá #ParaSerFelices 💙",60,"08/22/2024 15:08",https://www.instagram.com/reel/C-_UcOJOGKn/,"Reel de Instagram",,Total,4022,3607,29,7,5758,131,13,5
18034301249484347,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Una nueva era para Tuluá! 🙌🏽💙

Con el liderazgo del alcalde Gustavo Vélez, estamos escribiendo un nuevo capítulo en la historia de nuestro municipio. Desde la Administración Municipal, hemos iniciado con la ejecución de las obras y proyectos que transformarán la vida de nuestros ciudadanos. ✅

¡Estamos construyendo un futuro mejor, con más oportunidades para todos! #ParaSerFelices 💪🏼💙",66,"08/21/2024 07:08",https://www.instagram.com/reel/C-74TAgO_Hy/,"Reel de Instagram",,Total,7281,6374,27,7,11871,538,44,14
18034043570176793,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Tuluá Avanza con Esperanza, Justicia y Seguridad en Marcha!🙌🏽💙

El alcalde, @gustavovelezr, comparte el esfuerzo incansable de la Administración Municipal y autoridades para recuperar la tranquilidad que merecemos. 🙌 Con la captura de 15 individuos responsables de diferentes actos atroces a lo largo de este año, la justicia está avanzando y la seguridad de nuestros ciudadanos está siendo priorizada. Continuaremos trabajando para mostrar más resultados y mejorar las condiciones para nuestra comunidad tulueña.

💪 Juntos, seguimos trabajando por una Tuluá más segura y en paz. 🌟✨#ParaSerFelices 💙",143,"08/20/2024 10:08",https://www.instagram.com/reel/C-5msvvuuAq/,"Reel de Instagram",,Total,4351,3624,18,7,6395,208,13,1
18029914262268666,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡El arte y la cultura se tomaron a Tuluá este fin de semana!🎭💃🏽🎶

Este sábado, se llevó a cabo la jornada ""Corazón del Paraíso"", donde nuestro municipio tuvo un derroche de conversatorios con la comunidad, presentaciones artísticas y culturales en diferentes categorías.💪🏼

Con estos espacios, fortalecemos el poder del arte en nuestra comunidad tulueña para convertirla en un lugar #ParaSerFelices 💙",41,"08/18/2024 14:08",https://www.instagram.com/reel/C-03fnAtKqM/,"Reel de Instagram",,Total,2117,1772,6,,2965,67,2,1
18069833458559911,17841401794788540,culturavalle,"Secretaría de Cultura del Valle del Cauca","✨✨La esperanza, la alegría y la unión ciudadana florecen a través del arte y la cultura. Eso fue lo que vivieron los tulueños en la jornada ‘Corazón del Paraíso -Tuluá se viste de arte y cultura’, proceso organizando por la Gobernación del Valle del Cauca y la Alcaldía de Tuluá.🎉🎊🎭",90,"08/18/2024 12:08",https://www.instagram.com/reel/C-0tvMnyyKJ/,"Reel de Instagram",,Total,,,6,,3285,118,0,0
17908960041003103,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Diálogos Vallecaucanos: Uniendo voces en Tuluá 🗣️

La @gobvalle llegó a Tuluá para escuchar y compartir con todos los tulueños🤝. Juntos, exploramos ideas y soluciones para impulsar el progreso  del corazón del Valle❤️💡

Trabajamos codo a codo para abordar desafíos y aprovechar oportunidades, fortaleciendo así el tejido social y económico de nuestra querida Tuluá 🙌🏽🫶🏽

¡Juntos podemos hacer la diferencia #ParaSerFelices !💙",0,"08/17/2024 16:08",https://www.instagram.com/p/C-yfKuSuWp0/,"Secuencia de Instagram",,Total,2432,2107,1,,,142,6,1
18455549359050945,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Tuluá más limpia!🫧💙 

Desde la Administración Municipal, en cabeza del alcalde Gustavo Vélez, iniciamos las jornadas de limpieza y embellecimiento de nuestro municipio de la mano de EMTULUÁ, SEDAMA y Secretaría de Hábitat e Infraestructura.

Con estas jornadas, re afirmamos nuestro compromiso por mantener nuestro hogar limpio y seguro para todos #ParaSerFelices 💪🏼✅",33,"08/16/2024 14:08",https://www.instagram.com/reel/C-vxmhbOcT9/,"Reel de Instagram",,Total,1676,1422,3,,2500,77,8,1
