"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)"
903246118509388,100064720237286,"Alcaldía de Tuluá","Desde la Administración Municipal, a través de la Secretaría Privada, continuamos trabajando mano a mano para fortalecer nuestra comunidad. Nuestro deber es escuchar a nuestra población y actuar. Juntos, mejoramos nuestro Plan de Acción para satisfacer las necesidades de cada ciudadano. ¡Construyamos juntos una Tuluá #ParaSerFelices!💙💪🏼","Desde la Administración Municipal, a través de la Secretaría Privada, continuamos trabajando mano a mano para fortalecer nuestra comunidad. Nuestro deber es escuchar a nuestra población y actuar. Juntos, mejoramos nuestro Plan de Acción para satisfacer las necesidades de cada ciudadano. ¡Construyamos juntos una Tuluá #ParaSerFelices!💙💪🏼",57,"07/05/2024 12:07",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0bRmKQAdMbroZ12tWKNR7HSig3NWzcpCwh71dys7GsrrstEcg1zwGTLnT9E7iTPeVl,0,0,Reels,,,,,Total,2335,1917,186,112,16,58,0,,,4737,44207.591,10.233,0,0,
902640561903277,100064720237286,"Alcaldía de Tuluá","¡En Tuluá cumplimos con el PAE!💪🏼

16.700 niños y niñas de las diferentes Instituciones Educativas del municipio se están beneficiando con el Programa de Alimentación Escolar. Con esto, aseguramos una nutrición adecuada a los jóvenes que construyen un mañana más saludable y lleno de oportunidades en una Tuluá #ParaSerFelices 💙","¡En Tuluá cumplimos con el PAE!💪🏼

16.700 niños y niñas de las diferentes Instituciones Educativas del municipio se están beneficiando con el Programa de Alimentación Escolar. Con esto, aseguramos una nutrición adecuada a los jóvenes que construyen un mañana más saludable y lleno de oportunidades en una Tuluá #ParaSerFelices 💙",59,"07/04/2024 15:07",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02ga8HBsJaK9gd4x1DP2Vx56jbT6s9oRZk6wXK46r5FqGesJq3NxbhF6JKU1sDugtFl,0,0,Reels,,,,,Total,1828,1520,172,121,26,25,0,,,3334,33585.89,10.879,0,0,
919420200225313,100064720237286,"Alcaldía de Tuluá","¡Reafirmamos nuestro compromiso con la Libertad Religiosa!🙌

El alcalde, Gustavo Vélez, tuvo la oportunidad de asistir y compartir con la comunidad tulueña en la ponencia ""Criterios de aplicabilidad y exigibilidad del derecho de Libertad Religiosa y de cultos"". 💬🙏 donde envió un mensaje en el que ratifica su apuesta por trabajar desde el respeto por el bienestar y la construcción de un municipio unido y respetuoso #ParaSerFelices! 💪🤝","¡Reafirmamos nuestro compromiso con la Libertad Religiosa!🙌

El alcalde, Gustavo Vélez, tuvo la oportunidad de asistir y compartir con la comunidad tulueña en la ponencia ""Criterios de aplicabilidad y exigibilidad del derecho de Libertad Religiosa y de cultos"". 💬🙏 donde envió un mensaje en el que ratifica su apuesta por trabajar desde el respeto por el bienestar y la construcción de un municipio unido y respetuoso #ParaSerFelices! 💪🤝",58,"07/30/2024 15:07",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid034QR9NZpGvLws8yc4xkuJouafMX2cgeo636H2EwKoQMfR12ykkdU4rVdJUeEaRurkl,0,0,Reels,,,,,Total,1443,1249,234,148,27,59,0,,,3677,36802.092,10.985,0,0,
917269287107071,100064720237286,"Alcaldía de Tuluá","¡Por una Tuluá Segura y sin riesgos!✅

Desde la Administración Municipal, en cabeza del alcalde Gustavo Vélez, a través del Departamento administrativo de Movilidad y Seguridad Vial, se llevarán a cabo estos controles con el fin de proteger la vida de nuestra ciudadanía y cultivar la educación vial #ParaSerFelices 💙","¡Por una Tuluá Segura y sin riesgos!✅

Desde la Administración Municipal, en cabeza del alcalde Gustavo Vélez, a través del Departamento administrativo de Movilidad y Seguridad Vial, se llevarán a cabo estos controles con el fin de proteger la vida de nuestra ciudadanía y cultivar la educación vial #ParaSerFelices 💙",37,"07/27/2024 09:07",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02Qio6jowmJBEgVJr2HfAHHb9adS55eaeQjYJr26voYcj35Lkz8EF3vd7BWBDt1Eg8l,1,0,Reels,,,,,Total,1242,1016,94,71,12,11,0,,,2541,20368.875,8.965,0,0,
916768233823843,100064720237286,"Alcaldía de Tuluá","🏊‍♂️💥 ¡La piscina olímpica de Tuluá renace para todos! 💥🏊‍♀️

Gracias a la gestión de la Administración Municipal, en cabeza del Alcalde Gustavo Vélez, a través del Instituto Municipal de Deporte y la Recreación, IMDER, los deportistas podrán disfrutar de la piscina olímpica que se encuentra nuevamente abierta al público: renovada, segura y lista para que todos nuestros deportistas puedan entrenar y hacer sus practicas de manera segura y adecuada. ¡Un espacio revitalizado #ParaSerFelices! 💙🌟💪","🏊‍♂️💥 ¡La piscina olímpica de Tuluá renace para todos! 💥🏊‍♀️

Gracias a la gestión de la Administración Municipal, en cabeza del Alcalde Gustavo Vélez, a través del Instituto Municipal de Deporte y la Recreación, IMDER, los deportistas podrán disfrutar de la piscina olímpica que se encuentra nuevamente abierta al público: renovada, segura y lista para que todos nuestros deportistas puedan entrenar y hacer sus practicas de manera segura y adecuada. ¡Un espacio revitalizado #ParaSerFelices! 💙🌟💪",68,"07/26/2024 14:07",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid022PTKHy2uuYb9VYSQRUZY8vh5F6kKDNuW9PtHQ2gbSHBcEvX1P7usKQbALs8apHKsl,0,0,Reels,,,,,Total,1125,937,110,81,7,22,0,,,2448,19123.991,8.74,0,0,
916614477172552,100064720237286,"Alcaldía de Tuluá","¡Alcaldía de Tuluá comprometida con nuestros deportistas!💙🙌

Gracias a la Administración Municipal que lidera el Ingeniero Gustavo Adolfo Vélez Román; Simón Torres, nuestro joven atleta tulueño de tan solo 12 años, podrá representar a Tuluá en los Juegos Panamericanos de Ibagué, Tolima durante los próximos días. 🏆🙌

Este apoyo simboliza el compromiso y una esperanza para todos los jóvenes deportistas de la Tuluá #ParaSerFelices. 💙✨

¡Vamos Simón, Tuluá está contigo! 🚀🛼","¡Alcaldía de Tuluá comprometida con nuestros deportistas!💙🙌

Gracias a la Administración Municipal que lidera el Ingeniero Gustavo Adolfo Vélez Román; Simón Torres, nuestro joven atleta tulueño de tan solo 12 años, podrá representar a Tuluá en los Juegos Panamericanos de Ibagué, Tolima durante los próximos días. 🏆🙌

Este apoyo simboliza el compromiso y una esperanza para todos los jóvenes deportistas de la Tuluá #ParaSerFelices. 💙✨

¡Vamos Simón, Tuluá está contigo! 🚀🛼",25,"07/26/2024 09:07",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0Dw8agiKzG8ybba9iUNfurUMgSme6QWQMQM7xubZ53RBCpN9KoFkJ3smzw7R3Agqpl,0,0,Reels,,,,,Total,1628,1434,216,158,11,47,0,,,4328,29815.403,7.908,0,0,
916025243898142,100064720237286,"Alcaldía de Tuluá","¡El arte y la cultura se toman a Tuluá! 🎭🎶🎨

Únete a nuestra travesía de creatividad y comunidad. Conoce cómo desde la Alcaldía de Tuluá a través al Departamento Administrativo de Arte y Cultura, estamos enriqueciendo las vidas de nuestra población tulueña a través de programas y espacios innovadores de arte y cultura para construir una Tuluá #ParaSerFelices 💙","¡El arte y la cultura se toman a Tuluá! 🎭🎶🎨

Únete a nuestra travesía de creatividad y comunidad. Conoce cómo desde la Alcaldía de Tuluá a través al Departamento Administrativo de Arte y Cultura, estamos enriqueciendo las vidas de nuestra población tulueña a través de programas y espacios innovadores de arte y cultura para construir una Tuluá #ParaSerFelices 💙",35,"07/25/2024 12:07",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0CzCV8mhMHpvVvpzyEpr2aptk51v9ZYxF8WDigDJSncgU9VZPKhMWsFuu1RFAB8X2l,0,0,Reels,,,,,Total,880,764,51,34,8,9,0,,,1586,8456.144,5.835,0,0,
912610337572966,100064720237286,"Alcaldía de Tuluá","Hoy conmemoramos con orgullo el día de la independencia de Colombia, recordando nuestra historia, honrando nuestra diversidad y mirando hacia un futuro lleno de esperanza y oportunidades.

¡Orgullosamente Colombianos! 🇨🇴❤️ #DíaDeLaIndependencia #20deJulio #OrgulloColombiano #ParaSerFelices 💙","Hoy conmemoramos con orgullo el día de la independencia de Colombia, recordando nuestra historia, honrando nuestra diversidad y mirando hacia un futuro lleno de esperanza y oportunidades.

¡Orgullosamente Colombianos! 🇨🇴❤️ #DíaDeLaIndependencia #20deJulio #OrgulloColombiano #ParaSerFelices 💙",60,"07/20/2024 05:07",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02W1TUDfbpKVHcmM7HadGeNgDP2jMvhEbrt1ENdQYVTvJ9g119NoMg2tG22an1fDKKl,0,0,Reels,,,,,Total,3002,2566,236,139,13,84,0,,,5697,29780.931,5.545,0,0,
912080534292613,100064720237286,"Alcaldía de Tuluá","¡Hazte escuchar!💪 Desde la Administración Municipal a través de la Secretaría de Bienestar Social, invitamos a las mujeres tulueñas a denunciar la violencia de género a través de la plataforma virtual de la Fiscalía. ¡Tu voz cuenta, actúa hoy!💙 #ParaSerFelices #DenuncialaViolencia","¡Hazte escuchar!💪 Desde la Administración Municipal a través de la Secretaría de Bienestar Social, invitamos a las mujeres tulueñas a denunciar la violencia de género a través de la plataforma virtual de la Fiscalía. ¡Tu voz cuenta, actúa hoy!💙 #ParaSerFelices #DenuncialaViolencia",18,"07/19/2024 07:07",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0xcVGmcnnXWLB3XwSzWpGVG2XcGzJmo4d2rvKbrCdJE8JNME6vWGsqJbqAbXmZYWMl,0,0,Reels,,,,,Total,1300,1071,53,40,1,12,0,,,2167,14419.668,7.537,0,0,
911472547686745,100064720237286,"Alcaldía de Tuluá","🔍 Conoce el #CódigoRosa: Nuestra Ruta de Denuncias para víctimas de violencia sexual.🚨

¿Necesitas ayuda o conoces a alguien que la requiera? Estamos aquí para escucharte y apoyarte en cada paso del camino. ¡Juntos podemos hacer la diferencia! 🫂 #ParaSerFelices 💙

1️⃣ Contáctanos para recibir orientación confidencial.
2️⃣ Te acompañamos en el proceso de denuncia.
3️⃣ Accede a nuestros servicios especializados de atención y apoyo.

No estás sola, estamos contigo.💙✅",,0,"07/18/2024 07:07",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02tdj5SA8qT4oNuRQdFQHhcF97PPYoYMpxjC6ZqpCyrRJCc5Rpi3fB5fKJWENcmWSNl,0,0,Fotos,,,,,Total,1639,1440,21,12,0,9,18,17,1,,,,,,
