"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Usuarios que interactúan","Comentarios negativos de los usuarios","Comentarios negativos únicos de los usuarios",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Impresiones del anuncio","Comentarios negativos de los usuarios: Ocultar todo","Ingresos estimados (USD)","CPM del anuncio (USD)","Comentarios negativos únicos de los usuarios: Ocultar todo","Reproducciones del público principal (M, 25-34)","Reproducciones del público principal (F, 25-34)","Reproducciones del público principal (M, 35-44)","Reproducciones del público principal (F, 35-44)","Reproducciones del público principal (M, 18-24)","Reproducciones del público principal (F, 45-54)","Reproducciones del público principal (M, 45-54)","Reproducciones del público principal (F, 18-24)","Reproducciones del público principal (F, 55-64)","Reproducciones del público principal (M, 55-64)","Reproducciones del público principal (F, 65+)","Reproducciones del público principal (M, 65+)","Reproducciones por país (Colombia (CO))","Reproducciones por país (Spain (ES))","Reproducciones por país (Mexico (MX))","Reproducciones por país (Ecuador (EC))","Reproducciones por país (Chile (CL))","Reproducciones por país (United States (US))","Reproducciones por país (Costa Rica (CR))","Reproducciones por país (Venezuela (VE))","Reproducciones por país (Argentina (AR))","Reproducciones por país (Peru (PE))","Reproducciones por país (Cuba (CU))","Reproducciones por país (Guatemala (GT))","Reproducciones por país (Puerto Rico (PR))","Reproducciones por país (El Salvador (SV))","Reproducciones por país (Italy (IT))","Reproducciones por país (Bolivia (BO))","Reproducciones por país (Germany (DE))","Reproducciones por país (Paraguay (PY))","Reproducciones por país (Honduras (HN))","Reproducciones por país (Brazil (BR))","Reproducciones por país (Panama (PA))","Reproducciones por país (Uruguay (UY))","Reproducciones por país (United Kingdom (GB))","Reproducciones por país (Canada (CA))","Reproducciones por país (France (FR))","Reproducciones por país (Australia (AU))","Reproducciones por país (Dominican Republic (DO))","Reproducciones por país (Nicaragua (NI))","Reproducciones por país (Switzerland (CH))","Reproducciones por país (Portugal (PT))","Reproducciones por país (Philippines (PH))","Reproducciones por país (Netherlands (NL))","Reproducciones por país (Sweden (SE))","Reproducciones por país (Curaçao (CW))","Reproducciones por país (Japan (JP))","Reproducciones por país (Ireland (IE))","Reproducciones por país (Haiti (HT))","Reproducciones por país (Poland (PL))","Reproducciones por país (Aruba (AW))","Reproducciones por país (Israel (IL))","Reproducciones por país (Algeria (DZ))","Reproducciones por país (Tunisia (TN))","Reproducciones por país (Czech Republic (CZ))","Reproducciones por país (Croatia (HR))","Reproducciones por país (New Zealand (NZ))","Reproducciones por país (Andorra (AD))"
884349593732374,106810189450788,"Alcaldía de Tuluá",,"¡Continuamos apoyando y embelleciendo nuestra zona rural! Testimonios de los #TulueñosFelices 💪✅
Con el apoyo constante de la Administración Municipal y la Secretaría de Hábitat e Infraestructura, nuestra ciudadanía de la zona rural media y alta está llevando a cabo la realización de las placas huellas hacia la vereda Balsamar. #ParaSerFelices 💙",27,"06/07/2024 07:06",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0mkSWaRyYDT4z4AwK61s1mBrmuyzz93DVaAwiVyAALKeWwbkt2dthj56z9kDojMRUl,0,0,"Reel de Facebook",,,,,Total,1468,1380,101,69,22,10,0,,,,,,,2727,18726.153,7.615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884515370382463,106810189450788,"Alcaldía de Tuluá",,"¡MAÑANA INICIAMOS CLASES!✅✏️📚

Atención: Jóvenes en Extraedad y Adultos,  a la Oferta Educativa de Jornada Sabatinas en las Instituciones Educativas de nuestro municipio ¡Te esperamos! #ParaSerFelices 💙✅",0,"06/07/2024 12:06",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid032wmLLjncjBwApY2tg4Pd4TqqCPNxv7qAThmvA26mk5hSLzA2WGCmPpHUi8SftC9zl,0,0,Foto,,,,,Total,3908,3757,52,34,1,17,459,421,38,,263,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884966500337350,106810189450788,"Alcaldía de Tuluá",,"Desde el Departamento Administrativo de Movilidad y Seguridad Vial, continuamos con un trabajo constante de pedagogía y educación vial a toda nuestra comunidad con estas jornadas, con el fin de dar a conocer la importancia de utilizar casco para la movilidad segura dentro de nuestro municipio. #ParaSerFelices 💙✅",43,"06/08/2024 06:06",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0kErVZtgHfan2ogbxddiWvkGCHemCYQR25qRMKDuVV1CRwyYU4ZLRpuS8g474y2Fgl,1,0,"Reel de Facebook",,,,,Total,1089,990,19,18,0,1,0,,,,,,,996,5346.657,5.836,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885081336992533,106810189450788,"Alcaldía de Tuluá",,,0,"06/08/2024 10:06",mixed,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02zDxTd7qP5DfEqzVMj3Vvr5z4ZqbLFYYoFPYYFYcKxSbv4x6171VS9cfjHAiWvqdGl,1,0,"Reel de Facebook",,,,,Total,1828,1580,290,241,31,18,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885201090313891,106810189450788,"Alcaldía de Tuluá",,"Desde la Administración Municipal a través de la Secretaría de Gobierno, se llevó a cabo la ceremonia de inhumación de una persona que durante dos décadas había sido buscado por su familia, y que finalmente, gracias al trabajo articulado con la @fiscaliacol, se logró dar sepultura con sus familiares. 

Por todas las víctimas de la violencia en Colombia, por la verdad, la justicia, la reparación y la no repetición. 💙💪🏼",118,"06/08/2024 15:06",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0PyCygAxRmGUnfrLskQCzvM7WzGJUbYrAPMBoCf2suV3FkPpEnCgTbVSUsM7Q17Qxl,1,0,"Reel de Facebook",,,,,Total,2057,1808,81,67,2,12,0,,,,,,,3020,55395.263,20.524,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886297920204208,106810189450788,"Alcaldía de Tuluá",,"Hoy en el Día Mundial de la Seguridad Vial, queremos invitar a nuestra comunidad a unirse a esta campaña de cuidado a la integridad y al bienestar de cada ciudadano tulueño en nuestras calles. Entre todos nos cuidamos #ParaSerFelices ✅💙",36,"06/10/2024 07:06",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0GsvS2vdBXNFDTN3735uMC6ZDE3meCJgQauQkxki75D143ByZepu5V5KpCuSMzaixl,1,0,"Reel de Facebook",,,,,Total,1795,1520,95,79,5,11,0,,,,,,,2946,24782.674,9.138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888361319997868,106810189450788,"Alcaldía de Tuluá",,"Hoy es jueves de #tbt, y recordamos que desde el día uno, hemos escuchado a nuestra comunidad y hemos sido firmes en nuestra postura contra la violencia y la corrupción. Hoy reiteramos el compromiso para continuar trabajando incansablemente para el progreso de Tuluá. #ParaSerFelices 💙✅💪",34,"06/13/2024 10:06",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02i7fUJ4SM2kxp1hek5FMxRQUyZttBN4SS8bxdStBTQL3k3eTcSenKGuZJw2AYDK9Tl,0,0,"Reel de Facebook",,,,,Total,1355,1216,113,91,13,9,0,,,,,,,2150,12313.07,6.144,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888943156606351,106810189450788,"Alcaldía de Tuluá",,"Desde la Secretaría de Salud, se realizan las visitas del Programa de seguridad alimentaria e inocuidad, en el cual, se hace un recorrido en los diferentes establecimientos de expendio de alimentos y bebidas con el fin de fortalecer las actividades de Inspección, vigilancia y control sanitario, rotulación general y nutricional. Nuestro compromiso continúa firme con la inocuidad y el bienestar de nuestra ciudadanía tulueña #ParaSerFelices. ✅💪",22,"06/14/2024 08:06",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02Kj3goNXMdPCEf4j3TedTGNDgNRY6NDD8zAGbaDRd6vfKGoo4apvVmuCvK5pjHfAKl,0,0,"Reel de Facebook",,,,,Total,1118,1001,51,38,6,7,0,,,,,,,1618,7634.471,5.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890205006480166,106810189450788,"Alcaldía de Tuluá",,"Gracias por ser el guía de nuestras vidas, por ser nuestro pilar, por tu apoyo, cariño y sabiduría. Por eso, hoy y todos los días, ¡Feliz Día Papá!✨🫶🏼 #ParaSerFelices 💙

Etiqueta a tu papá y deséale un feliz día. ⬇️",32,"06/16/2024 06:06",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0dbLpGUTrX5yzZECkRtTthHubrECG6dZNdHQ4F5x4BrHPVvZvJERwnh81VJ7htJkUl,1,0,"Reel de Facebook",,,,,Total,1013,921,44,33,2,9,0,,,,,,,1753,4582.849,2.705,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890988479735152,106810189450788,"Alcaldía de Tuluá",,"#TulueñosFelices | Nuestros emprendedores tulueños son ejemplo de superación, resiliencia y responsabilidad. Hoy les presentamos a Harold con su marca @platanitos7, quien tiene una idea de negocio que ha nacido aquí en el Corazón Del Valle. ¡Nuestra comunidad se une a nuestro objetivo #ParaSerFelices!✅💙",161,"06/17/2024 09:06",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02KpcjKi1ryXbLvhKpYyEpeNdoRg8PzJ4e6bZrfNJztXjsAEt6b6wPbjm4fBmts1hel,1,0,"Reel de Facebook",,,,,Total,2974,2711,349,263,15,71,0,,,,,,,6530,96285.56,15.575,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
