"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Veces que se compartió",Reproducciones,"Me gusta",Comentarios,"Veces que se guardó",Seguimientos
18094415386426307,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","En el Día del Medio Ambiente🌳🍃, recordemos que cada acción y cada pequeño gesto, contribuye a la preservación de nuestro medio ambiente. Celebremos este día con la promesa de cuidar y proteger nuestro planeta para las generaciones futuras. Así podremos tener un municipio #ParaSerFelices 💙💪",32,"06/05/2024 07:06",https://www.instagram.com/reel/C71nKpfy4gs/,"Reel de Instagram",,Total,1613,1362,5,2217,58,0,0,
18437242324061410,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy en el #DíadelCampesino les decimos GRACIAS🙏🏼 a los que trabajan el campo con amor y dedicación, los que cultivan la tierra y los que alimentan al mundo #ParaSerFelices 

¡Feliz día del Campesino!💙✅🍅",28,"06/02/2024 05:06",https://www.instagram.com/reel/C7tsv0tOrwb/,"Reel de Instagram",,Total,3760,3126,17,4940,56,0,4,
17946221465714876,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Entre todos nos cuidamos!✅

Desde el Departamento Administrativo de Movilidad y Seguridad Vial, hacemos una invitación muy especial a cumplir con todas las normas de tránsito y a fortalecer la educación vial, para garantizar el bienestar y la integridad de nuestra ciudadanía #ParaSerFelices ✅💪🏼",40,"06/29/2024 15:06",https://www.instagram.com/reel/C80QcVEue3u/,"Reel de Instagram",,Total,3383,2843,7,5963,93,1,3,
18034599856841644,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Conoce más sobre nuestro #MercadoCampesino y visítanos todos los martes y viernes en la 📍Carrera 30 # 14-51, Vía al Coliseo de Ferias.✅💪🏼 ¡Te esperamos!💙 #ParaSerFelices",0,"06/27/2024 16:06",https://www.instagram.com/p/C8vK3eGukh3/,"Secuencia de Instagram",,Total,2610,1650,7,,40,0,0,
18012387341423031,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde la Secretaría de Bienestar Social, en trabajo conjunto con el Servicio Nacional de Aprendizaje SENA, se llevó a cabo el acto de certificación de 112 personas en competencias laborales como cuidadores de personas con discapacidad. Con el acompañamiento de la secretaria de Bienestar Social, Karol René Berón, el enlace de Discapacidad y directivos de SENA, se dio entrega a dichos certificados y se compartieron las diferentes experiencias vividas durante este proceso.✅ Continuamos trabajando #ParaSerFelices 💙💪",45,"06/27/2024 08:06",https://www.instagram.com/reel/C8uZheisdzc/,"Reel de Instagram",,Total,1466,1238,1,2334,36,0,0,
18013060058455211,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde la Administración Municipal a través de la Secretaría de Educación continuamos adecuando los espacios para nuestra comunidad estudiantil. 750 niños y jóvenes estarán beneficiados con estos entornos educativos creados #ParaSerFelices 💙✅",56,"06/25/2024 16:06",https://www.instagram.com/reel/C8qD1n0uON5/,"Reel de Instagram",,Total,2397,2264,5,4335,129,9,1,
17999766845409281,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Hoy es martes del Mercado Campesino!🍓🍊🍉🥑
Acompáñanos a probar el sabor de lo nuestro, lo que nace de nuestra tierra y de nuestro corazón.💙 Te esperamos✅💪🏼 #ParaSerFelices #MercadoCampesino",51,"06/25/2024 06:06",https://www.instagram.com/reel/C8o_dMBumTx/,"Reel de Instagram",,Total,1725,1524,3,2767,80,5,2,
17917809401933108,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde el Departamento Administrativo de Arte y Cultura se llevó a cabo la presentación de la obra de teatro de los reclusos del Centro Penitenciario de Tuluá en el cual se vivió un momento lleno de emociones y sentimientos de parte de los protagonistas y sus familias. 💙✅💪🏼 #ParaSerFelices",49,"06/23/2024 10:06",https://www.instagram.com/reel/C8kOQTqubG0/,"Reel de Instagram",,Total,2296,1969,5,3420,49,0,1,
17913025820956965,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,2891,"06/22/2024 10:06",https://www.instagram.com/reel/C8hqSYjuAL7/,"Reel de Instagram",,Total,1600,1550,0,2964,120,9,4,
18011593403406405,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Estamos recuperando nuestro municipio!💪✅
Desde la Administración Municipal, a través de la Secretaría de Hábitat e Infraestructura, continuamos con el proceso de descolmatación del Río Tuluá. Con la extracción de este material, se realiza el proceso de adecuación y conformación de nuestras vías #ParaSerFelices 💙",19,"06/21/2024 09:06",https://www.instagram.com/reel/C8fCLBIsHZa/,"Reel de Instagram",,Total,1003,969,1,1714,37,2,0,
