"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio"
942933341207332,100064720237286,"Alcaldía de Tuluá","¡Nuevo servicio de Fisioterapia!🌟                                                    Nos complace anunciar la apertura de nuestro servicio de fisioterapia, diseñado para ayudarte a recuperar y mantener tu bienestar físico con la ayuda de profesionales.📣No esperes más, acércate al área y agenda tu cita.","¡Nuevo servicio de Fisioterapia!🌟                                                    Nos complace anunciar la apertura de nuestro servicio de fisioterapia, diseñado para ayudarte a recuperar y mantener tu bienestar físico con la ayuda de profesionales.📣No esperes más, acércate al área y agenda tu cita.",57,"09/02/2024 16:26",N/A,https://www.facebook.com/reel/1202716767734164/,0,0,Reels,,,,,Total,1745,1454,62,54,1,7,0,,,,2009,13905.334,7.48,0,0
987852620048737,100064720237286,"Alcaldía de Tuluá","¡Mejoramos la conectividad en nuestra zona rural! 🚜✨

Hemos intervenido más de 18 kilómetros lineales con canalización, embalastramiento y cuneteo, gracias al trabajo de la Administración Municipal a través de la Secretaría de Hábitat e Infraestructura. 🛤️💪 Nuestro objetivo es asegurar que todas las comunidades tengan acceso a vías en óptimas condiciones. ¡Seguimos construyendo un Tuluá más conectado! 🌱 #ParaSerFelices 💙💪🏼","¡Mejoramos la conectividad en nuestra zona rural! 🚜✨

Hemos intervenido más de 18 kilómetros lineales con canalización, embalastramiento y cuneteo, gracias al trabajo de la Administración Municipal a través de la Secretaría de Hábitat e Infraestructura. 🛤️💪 Nuestro objetivo es asegurar que todas las comunidades tengan acceso a vías en óptimas condiciones. ¡Seguimos construyendo un Tuluá más conectado! 🌱 #ParaSerFelices 💙💪🏼",68,"10/30/2024 16:40",uploaded,https://www.facebook.com/reel/1097190118600876/,1,0,Reels,,,,,Total,547,538,33,26,1,6,0,,,,919,7254.818,8.978,0,0
987789106721755,100064720237286,"Alcaldía de Tuluá","🚨 ¡Caen integrantes de “La Inmaculada”! 📣

La Policía Nacional realizó la captura de Darlien “Peluco” Acevedo, implicado en los asesinatos del exconcejal Carlos Arturo Londoño y la funcionaria Clarivet Ocampo. ¡Continuamos trabajando por la justicia en nuestro municipio! 💥💪🏼 #ParaSerFelices #OperaciónTuluá","🚨 ¡Caen integrantes de “La Inmaculada”! 📣

La Policía Nacional realizó la captura de Darlien “Peluco” Acevedo, implicado en los asesinatos del exconcejal Carlos Arturo Londoño y la funcionaria Clarivet Ocampo. ¡Continuamos trabajando por la justicia en nuestro municipio! 💥💪🏼 #ParaSerFelices #OperaciónTuluá",67,"10/30/2024 14:03",uploaded,https://www.facebook.com/reel/501218749602981/,1,0,Reels,,,,,Total,937,918,58,41,5,12,0,,,,1789,30251.581,19.618,0,0
1491161731599174,100064720237286,"Alcaldía de Tuluá","Hasta el último día del año","En vivo con Secretario de Hacienda",1781,"10/30/2024 13:02",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/1491161731599174/,0,0,"En vivo",,,,,Total,,546,78,65,9,4,,,,,2024,37505.96,24.756,0,
1205766237352219,100064720237286,"Alcaldía de Tuluá","Programa de Diversidad Sexual",#ParaSerFelices,3183,"10/30/2024 08:21",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/1205766237352219/,0,0,"En vivo",,,,,Total,,728,67,60,4,3,,,,,1886,29005.344,19.704,0,
987079770126022,100064720237286,"Alcaldía de Tuluá","¡Jornadas de salud para toda nuestra población!🏥🩺

Hoy estuvimos en la Plaza Cívica Boyacá, brindando un servicio más cercano a las poblaciones más vulnerables. Con la Secretaría de Salud, Entidades Promotoras, Equipos Básicos en Salud y Plan de Intervenciones Colectivas del @hospitalrubencruzvelez, se brindó atención médica, salud mental y pruebas rápidas de VIH.💪🏼 Además, el Departamento de Planeación asistió con atención  SISBÉN, garantizando el acceso a programas de asistencia social. Estas acciones reafirman nuestro compromiso con un Tuluá más saludable y equitativo #ParaSerFelices ✅💙",,0,"10/29/2024 15:36",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid07hUaScRfQug2RUCiV6rpu8h1Q1w7xuP1F4jTyrrfWTTbwjTTf7g6SPqcVqUMgNSgl,0,0,Fotos,,,,,Total,1983,1953,36,26,3,7,211,196,15,,,,,,
986902580143741,100064720237286,"Alcaldía de Tuluá","¡Muy pronto regresará el Palacio de Justicia!✌🏽✅

Este año, hemos trabajado sin descanso para recuperar este espacio vital para nuestra comunidad. Muy pronto, el Palacio de Justicia, que había sido destruido en 2021, volverá a brillar. ✨

Con esta entrega, damos un paso más hacia un Tuluá #ParaSerFelices 💙💪🏼","¡Muy pronto regresará el Palacio de Justicia!✌🏽✅

Este año, hemos trabajado sin descanso para recuperar este espacio vital para nuestra comunidad. Muy pronto, el Palacio de Justicia, que había sido destruido en 2021, volverá a brillar. ✨

Con esta entrega, damos un paso más hacia un Tuluá #ParaSerFelices 💙💪🏼",43,"10/29/2024 09:46",uploaded,https://www.facebook.com/reel/941620724556440/,1,0,Reels,,,,,Total,798,798,104,74,7,23,0,,,,1430,11899.258,9.34,0,0
849899427295265,100064720237286,"Alcaldía de Tuluá","Programa Colombia Mayor","En este espacio entenderás la importancia del programa Colombia Mayor.

Sus beneficios, requisitos y como desde la administración municipal trabajamos para #SerFelices",2058,"10/29/2024 08:01",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/849899427295265/,0,0,"En vivo",,,,,Total,,583,70,58,8,4,,,,,1580,26802.291,20.274,0,
986359000198099,100064720237286,"Alcaldía de Tuluá","¡Aprovecha los últimos días de octubre con el Papayazo Tributario! 🙌🏼✅

No dejes pasar la oportunidad de obtener un 80% de descuento en intereses al pagar tus impuestos. 

¡Contribuye al crecimiento de Tuluá! 💙✨

Juntos, seguimos construyendo un mejor futuro #ParaSerFelices ✌🏽","¡Aprovecha los últimos días de octubre con el Papayazo Tributario! 🙌🏼✅

No dejes pasar la oportunidad de obtener un 80% de descuento en intereses al pagar tus impuestos. 

¡Contribuye al crecimiento de Tuluá! 💙✨

Juntos, seguimos construyendo un mejor futuro #ParaSerFelices ✌🏽",72,"10/28/2024 16:01",uploaded,https://www.facebook.com/reel/8510365775748738/,1,0,Reels,,,,,Total,955,936,164,137,12,15,0,,,,2133,20015.362,10.317,0,0
985692520264747,100064720237286,"Alcaldía de Tuluá","¡Tuluá vuelve a soñar, a sonreír!✨💙🪄

El Mundo de la Fantasía iluminó el rostro de 8000 tulueños que soñaron y participaron de este gran espacio para la familia. Cada niño y cada padre recordará este gran día que hemos vivido lleno de magia y diversión  #ParaSerFelices 🪄💙✨ ¡GRACIAS POR SER PARTE DE NUESTRA ALEGRÍA!🙌🏼🤩","¡Tuluá vuelve a soñar, a sonreír!✨💙🪄

El Mundo de la Fantasía iluminó el rostro de 8000 tulueños que soñaron y participaron de este gran espacio para la familia. Cada niño y cada padre recordará este gran día que hemos vivido lleno de magia y diversión  #ParaSerFelices 🪄💙✨ ¡GRACIAS POR SER PARTE DE NUESTRA ALEGRÍA!🙌🏼🤩",68,"10/27/2024 19:00",uploaded,https://www.facebook.com/reel/521965300728952/,1,0,Reels,,,,,Total,1058,1048,117,98,4,15,0,,,,2701,23949.876,10.569,0,0
