"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó",Reproducciones
18013771736547872,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Grandes noticias para la educación en Tuluá! 🌟💙

Así están quedando las nuevas sedes de las Instituciones Educativas Juan María Céspedes, Técnico Industrial y María Antonia Ruiz, que estarán a disposición de la comunidad estudiantil tulueña.

📚 Estos nuevos recursos beneficiarán a 2.208 estudiantes tulueños, quienes podrán disfrutar de sedes modernas, construidas y dotadas con lo mejor para su formación. La calidad educativa comienza con un buen ambiente de aprendizaje, y hoy damos un paso firme hacia este objetivo #ParaSerFelices 💙✅",0,"09/05/2024 07:06",https://www.instagram.com/p/C_icd62ujji/,"Secuencia de Instagram",,Total,4972,3802,355,31,1,19,3,
17916330230981043,17841411919702656,hospitalrubencruzvelez,"Hospital Rubén Cruz Vélez","¡Nuevo servicio de Fisioterapia! 🌟🤸🏼‍♂️

Nos complace anunciar la apertura de nuestro servicio de fisioterapia, diseñado para ayudarte a recuperar y mantener tu bienestar fisico con la ayuda de profesionales. 

📣No esperes mas, acercate al area y agenda tu cita.🗓️",56,"09/02/2024 09:54",https://www.instagram.com/reel/C_bAuOyuUqD/,"Reel de Instagram",,Total,1602,1322,35,2,2,2,0,2149
18051735568931528,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Mejoramos la conectividad en nuestra zona rural! 🚜✨

Hemos intervenido más de 18 kilómetros lineales con canalización, embalastramiento y cuneteo, gracias al trabajo de la Administración Municipal a través de la Secretaría de Hábitat e Infraestructura. 🛤️💪 Nuestro objetivo es asegurar que todas las comunidades tengan acceso a vías en óptimas condiciones. ¡Seguimos construyendo un Tuluá más conectado! 🌱 #ParaSerFelices 💙💪🏼",68,"10/30/2024 16:40",https://www.instagram.com/reel/DBxFjKPvOnj/,"Reel de Instagram",,Total,1683,1416,33,3,,1,0,
17979764387767583,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚨 ¡Caen integrantes de “La Inmaculada”! 📣

La Policía Nacional realizó la captura de Darlien “Peluco” Acevedo, implicado en los asesinatos del exconcejal Carlos Arturo Londoño y la funcionaria Clarivet Ocampo. ¡Continuamos trabajando por la justicia en nuestro municipio! 💥💪🏼 #ParaSerFelices #OperaciónTuluá",67,"10/30/2024 14:03",https://www.instagram.com/reel/DBwz4RIPmCt/,"Reel de Instagram",,Total,1856,1704,62,7,2,0,3,
18051901909767231,17841431512646378,puntos_innova_tulua,"Punto Innova","Con éxito total se dio el lanzamiento de #TalentoTech un programa del ministerio de las TIC que busca formar a más a 113.000 jóvenes en habilidades digitales.

Gracias a la gestión de la Administración Municipal y al Departamento TIC se hizo posible que estos programas estén con los jóvenes tulueños. #ParaSerFelices",0,"10/30/2024 09:54",https://www.instagram.com/p/DBwXejLODWS/,"Secuencia de Instagram",,Total,,,69,2,,1,0,
18061024549813258,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","¡Inició pavimentación de la carrera 28! 🏗

En un trabajo articulado entre la Administración Municipal a través de la Secretaría de Hábitat e Infraestructura en conjunto con Infituluá, se está realizando la pavimentación y mejoramiento de la vía de la Carrera 28 entre calles 15 y 20 del barrio Tomás Uribe, al costado del río Tuluá. 

¡Una vía que mejorará la calidad de vida de los tulueños!

Juntos estamos haciendo de Tuluá un mejor lugar #ParaSerFelices",61,"10/30/2024 08:33",https://www.instagram.com/reel/DBwNnL2p3ob/,"Reel de Instagram",,Total,2636,2252,64,10,1,3,1,3424
17979197774628003,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Jornadas de salud para toda nuestra población!🏥🩺

Hoy estuvimos en la Plaza Cívica Boyacá, brindando un servicio más cercano a las poblaciones más vulnerables. Con la Secretaría de Salud, Entidades Promotoras, Equipos Básicos en Salud y Plan de Intervenciones Colectivas del @hospitalrubencruzvelez, se brindó atención médica, salud mental y pruebas rápidas de VIH.💪🏼 Además, el Departamento de Planeación asistió con atención  SISBÉN, garantizando el acceso a programas de asistencia social. Estas acciones reafirman nuestro compromiso con un Tuluá más saludable y equitativo #ParaSerFelices ✅💙",0,"10/29/2024 15:35",https://www.instagram.com/p/DBuZuZPvpmc/,"Secuencia de Instagram",,Total,1512,1258,45,4,,2,0,
18039914140979016,17841407739133684,emtulua,"Emtulua Esp","Desde la administración municipal, bajo el liderazgo de nuestro alcalde Gustavo Adolfo Vélez Román y Empresas Municipales de Tuluá, se llevó a cabo la socialización de los proyectos de agua potable y saneamiento básico en el corregimiento de Bocas de Tuluá. 💧🚰

Estos proyectos garantizarán el acceso a agua potable de calidad, lo que mejorará significativamente la salud y el bienestar de la comunidad.

💙 ¡Continuamos trabajando para ser felices! 💙",57,"10/29/2024 14:22",https://www.instagram.com/reel/DBuPO90JvtO/,"Reel de Instagram",,Total,,,35,1,,0,0,
18003218015509876,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","Hoy en C❤razones de Infi, compartimos los testimonios  y experiencias de los tulueños sobre los avances  de obra significativos en nuestro municipio.

Día a día seguimos trabajando construyendo una Tuluá #ParaSerFelices",51,"10/29/2024 12:45",https://www.instagram.com/reel/DBuGHpJPtMN/,"Reel de Instagram",,Total,2081,1700,42,8,,0,0,2623
18116559421407267,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Muy pronto regresará el Palacio de Justicia!✌🏽✅

Este año, hemos trabajado sin descanso para recuperar este espacio vital para nuestra comunidad. Muy pronto, el Palacio de Justicia, que había sido destruido en 2021, volverá a brillar. ✨

Con esta entrega, damos un paso más hacia un Tuluá #ParaSerFelices 💙💪🏼",42,"10/29/2024 09:46",https://www.instagram.com/reel/DBtxrFRv8A8/,"Reel de Instagram",,Total,2814,2414,118,5,,4,0,
