"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo"
944756254358374,100064720237286,"Alcaldía de Tuluá","¡Grandes noticias para la educación en Tuluá! 🌟💙

Así están quedando las nuevas sedes de las Instituciones Educativas Juan María Céspedes, Técnico Industrial y María Antonia Ruiz, que estarán a disposición de la comunidad estudiantil tulueña.

📚 Estos nuevos recursos beneficiarán a 2.208 estudiantes tulueños, quienes podrán disfrutar de sedes modernas, construidas y dotadas con lo mejor para su formación. La calidad educativa comienza con un buen ambiente de aprendizaje, y hoy damos un paso firme hacia este objetivo #ParaSerFelices 💙✅",,0,"09/05/2024 07:09",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02aTmA3g6FFTU2E4LzMWAEEnYjxhAarFuEwDZrdge9ZWMPPyewoWmwYMbDNYm1fyU1l,0,0,Fotos,,,,,Total,2997,2823,59,48,2,9,,,,,,520,465,55
942933341207332,100064720237286,"Alcaldía de Tuluá","¡Nuevo servicio de Fisioterapia!🌟                                                    Nos complace anunciar la apertura de nuestro servicio de fisioterapia, diseñado para ayudarte a recuperar y mantener tu bienestar físico con la ayuda de profesionales.📣No esperes más, acércate al área y agenda tu cita.","¡Nuevo servicio de Fisioterapia!🌟                                                    Nos complace anunciar la apertura de nuestro servicio de fisioterapia, diseñado para ayudarte a recuperar y mantener tu bienestar físico con la ayuda de profesionales.📣No esperes más, acércate al área y agenda tu cita.",57,"09/02/2024 16:09",N/A,https://www.facebook.com/reel/1202716767734164/,0,0,Reels,,,,,Total,1428,1221,57,49,1,7,1720,12526.539,7.863,0,0,0,,
951857453648254,100064720237286,"Alcaldía de Tuluá","Revive el live “Encuentros con el Alcalde”💪🏼

Un espacio creado para dialogar con la comunidad.🙌🏽💙 #ParaSerFelices ✅","Revive el live “Encuentros con el Alcalde”💪🏼

Un espacio creado para dialogar con la comunidad.🙌🏽💙 #ParaSerFelices ✅",0,"09/15/2024 06:09",N/A,https://www.facebook.com/reel/1052854513219676/,1,0,Reels,,,,,Total,204,204,7,6,0,1,20,215.995,11.999,0,0,0,,
951849473649052,100064720237286,"Alcaldía de Tuluá","¡Limpieza y recuperación de los espacios!✅🧹

Continuamos embelleciendo a nuestro municipio y brindando socialización con la comunidad del sector de la Antigua Terminal de Transporte, para conservarla limpia. #ParaSerFelices 💙🙌🏽","¡Limpieza y recuperación de los espacios!✅🧹

Continuamos embelleciendo a nuestro municipio y brindando socialización con la comunidad del sector de la Antigua Terminal de Transporte, para conservarla limpia. #ParaSerFelices 💙🙌🏽",49,"09/15/2024 06:09",N/A,https://www.facebook.com/reel/1619072621988637/,1,0,Reels,,,,,Total,400,398,17,12,3,2,441,4388.415,11.166,0,0,0,,
951395770361089,100064720237286,"Alcaldía de Tuluá","¡Concluimos la Ruta de la Felicidad en la Comuna 6!🙌🏽✅

Con más de mil personas beneficiadas, hemos finalizado las jornadas descentralizadas “La Ruta de la Felicidad” en la Comuna 6. Acompañando a los Equipos Básicos en Salud y llevando la oferta institucional de la Administración Municipal para la comunidad tulueña.  #ParaSerFelices 💙💪🏼","¡Concluimos la Ruta de la Felicidad en la Comuna 6!🙌🏽✅

Con más de mil personas beneficiadas, hemos finalizado las jornadas descentralizadas “La Ruta de la Felicidad” en la Comuna 6. Acompañando a los Equipos Básicos en Salud y llevando la oferta institucional de la Administración Municipal para la comunidad tulueña.  #ParaSerFelices 💙💪🏼",52,"09/14/2024 16:09",uploaded,https://www.facebook.com/reel/1049779516656134/,1,0,Reels,,,,,Total,459,451,34,24,5,5,617,5939.751,10.958,0,0,0,,
1213812419819024,100064720237286,"Alcaldía de Tuluá","¡Encuentros con el Alcalde! 💙🙌","Bienvenidos a este espacio para compartir con la comunidad #ParaSerFelices 🙌💯",3456,"09/13/2024 10:09",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/1213812419819024/,0,0,"En vivo",,,,,Total,,1586,311,201,79,31,3064,188824.687,74.165,0,,,,
949100357257297,100064720237286,"Alcaldía de Tuluá","¡Alianzas estratégicas que le apuestan al deporte tulueño! ✅

Con el embellecimiento, pintura, limpieza y mejora del Coliseo de Pesas del Coliseo Benicio Echeverry, la empresa Colombina, Planta Conservas le apostó al deporte tulueño invirtiendo en la mejora y adecuaciones del lugar. Desde la Administración Municipal, se adelantó este convenio desde el Instituto Municipal para el Deporte y la Recreación, IMDER. para brindar espacios adecuados para los deportistas de nuestro municipio. #ParaSerFelices 💙💪🏼","¡Alianzas estratégicas que le apuestan al deporte tulueño! ✅

Con el embellecimiento, pintura, limpieza y mejora del Coliseo de Pesas del Coliseo Benicio Echeverry, la empresa Colombina, Planta Conservas le apostó al deporte tulueño invirtiendo en la mejora y adecuaciones del lugar. Desde la Administración Municipal, se adelantó este convenio desde el Instituto Municipal para el Deporte y la Recreación, IMDER. para brindar espacios adecuados para los deportistas de nuestro municipio. #ParaSerFelices 💙💪🏼",63,"09/11/2024 10:09",uploaded,https://www.facebook.com/reel/1034200411497561/,1,0,Reels,,,,,Total,783,717,37,27,2,8,987,8412.075,9.233,0,0,0,,
947838750716791,100064720237286,"Alcaldía de Tuluá","¡El alcalde Gustavo Vélez entregó más de 4000 mobiliarios escolares! 📚✨

Más de 2000 estudiantes de las Instituciones Educativas Técnica Industrial Carlos Sarmiento Lora, Juan María Céspedes y María Antonia Ruiz ahora cuentan con aulas renovadas, comedores, laboratorios y más. Este sueño, iniciado en 2016, es hoy una realidad #ParaSerFelices. 👏💪💙","¡El alcalde Gustavo Vélez entregó más de 4000 mobiliarios escolares! 📚✨

Más de 2000 estudiantes de las Instituciones Educativas Técnica Industrial Carlos Sarmiento Lora, Juan María Céspedes y María Antonia Ruiz ahora cuentan con aulas renovadas, comedores, laboratorios y más. Este sueño, iniciado en 2016, es hoy una realidad #ParaSerFelices. 👏💪💙",77,"09/09/2024 14:09",N/A,https://www.facebook.com/reel/1643121482928811/,1,0,Reels,,,,,Total,2270,2124,439,314,52,73,7316,109829.618,16.79,0,0,0,,
946359854198014,100064720237286,"Alcaldía de Tuluá","¡Alcalde llegó con la Ruta de la Felicidad a la Comuna 6!💙✅

Con toda la oferta institucional desde la Administración Municipal nos unimos a los Equipos Básicos en Salud para brindarle toda la atención a la ciudadanía de la Comuna 6 en el Centro de Integración Ciudadana del barrio Buenos Aires, con una gran participación de los tulueños logramos beneficiar a más de 800 personas ✅🫂

Desde la Administración Municipal continuamos creando estos espacios para compartir y estar más cerca de la comunidad #ParaSerFelices 🙌🏽💙

@puntos_innova_tulua @infitulua",,0,"09/07/2024 12:09",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02hnv9JfGsPoTky55GjPmrEUVdMDAPL1haQzVWxjZx38LDNCv1v1Nn1jV5GwuxwdNUl,0,0,Fotos,,,,,Total,6530,6017,161,125,9,27,,,,,,1583,1371,212
945593180941348,100064720237286,"Alcaldía de Tuluá","¡ENCUENTROS CON EL ALCALDE!💙🙌🏽

Gracias por hacer parte de estos espacios con nuestro alcalde @gustavovelezr ✅🙏🏻","¡ENCUENTROS CON EL ALCALDE!💙🙌🏽

Gracias por hacer parte de estos espacios con nuestro alcalde @gustavovelezr ✅🙏🏻",0,"09/06/2024 10:09",N/A,https://www.facebook.com/reel/401146693012555/,1,0,Reels,,,,,Total,854,692,15,13,1,1,20,138.785,7.71,0,0,0,,
