"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó"
18071706746107470,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","#Noticias | Conoce las noticias más importantes de la semana en el nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽",78,"08/09/2025 15:52",https://www.instagram.com/reel/DNJtF7rPA2I/,"Reel de Instagram",,Total,2344,1545,46,1,2,0,0
18075218290797447,17841465258460662,secre.bienestarsocialtulua,"SECRETARIA DE BIENESTAR SOCIAL","✨ ¡Celebremos nuestras raíces! 🌿👣
Más de 300 personas se unieron a la conmemoración del Día Internacional de los Pueblos Indígenas en Tuluá 💫. Vivimos una jornada llena de cultura, arte, gastronomía y saberes ancestrales 🪶🍲🧬.
Una muestra viva de la riqueza y sabiduría de nuestras comunidades indígenas, que nos recuerdan quiénes somos y hacia dónde vamos. 🫶🌍

#ParaSerFelices",0,"08/08/2025 14:14",https://www.instagram.com/p/DNG9YCmS666/,"Secuencia de Instagram",,Total,8967,,109,4,,4,0
18140152045439440,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚧✨ ¡Nuevas rutas en la carrera 40! ✨🚧

Conoce las nuevas rutas temporales en este sector, pensadas para que llegues sin problema al Supercentro Tuluá y al barrio Fátima 🛣️.

👉 Estos cierres hacen parte de las obras que muy pronto harán brillar nuestro municipio.🌟.
👉 Te compartimos las rutas alternas para que te muevas con tranquilidad y sin dudas.

¡Avanzamos juntos hacia la Tuluá moderna y con mejor movilidad que soñamos! 💪🏼 #ParaSerFelices",69,"09/29/2025 13:24",https://www.instagram.com/reel/DPMw-jpjynu/,"Reel de Instagram",,Total,19842,11019,424,367,10,37,34
18059329475425710,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💃✨ Revive los mejores momentos del Primer Encuentro Internacional de Bailes Tradicionales Tuluá 2025 🎶🌎

Un espectáculo inolvidable donde recibimos a 4 países invitados y a talentosas delegaciones de Colombia 🇨🇴, que llenaron de cultura, color y tradición nuestro Corazón del Valle 💙🌟.

En Tuluá celebramos y transformamos el arte #ParaSerFelices 🎭✨",34,"09/29/2025 08:58",https://www.instagram.com/reel/DPMScTCgF1D/,"Reel de Instagram",,Total,2030,1376,43,1,1,0,1
18072430738900257,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","🚧✨ ¡Tuluá sigue avanzando!

El intercambiador de la carrera 40 ya alcanza un 30% de ejecución en su primera fase ✅.

Con la construcción de los accesos laterales, esta gran obra empieza a darle forma a la rotonda que conectará al barrio Fátima con Villa Campestre.

Este proyecto, liderado por la Administración Municipal del Ingeniero @gustavovelezr transformará la movilidad de la ciudad en tres fases pensadas para minimizar las afectaciones en el tráfico y garantizar el progreso de manera ordenada.

🌉 Muy pronto inicia la construcción de los dos puentes y, finalmente, la plataforma central que permitirá transitar por encima de la carrera 40.

#ObrasQueTransforman 
#ParaSerFelices 💙",0,"09/29/2025 07:20",https://www.instagram.com/reel/DPMHPflAH5f/,"Reel de Instagram",,Total,5976,3221,162,15,4,4,3
18075722056890024,17841440597983973,sincomidanohayalegria,"Encuentro de Cocinas Tradicionales","Cápsulas de tradición 🥩 

Historias con sabor contadas por quienes llevan el legado gastronómico a la mesa de los vallecaucanos.

Un proyecto de @artejoven_corporacion.

Con el apoyo de @mincultura a través de la Lista Bienal de proyectos de interés nacional 2024-2025.

#comidatradicional #valle",62,"09/28/2025 16:53",https://www.instagram.com/reel/DPKh3E4jXM8/,"Reel de Instagram",,Total,2731,,32,4,,0,0
17898236682295955,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","✨💃🌎 Con mucho éxito, alegría y diversidad cultural se realizó el Primer Encuentro Internacional de Bailes Tradicionales Tuluá 2025.

Más de 300 bailarines desde Panamá 🇵🇦 , Chile 🇨🇱 , México 🇲🇽 y por supuesto de Colombia, 🇨🇴 ofrecieron espectaculares shows que las familias tulueñas disfrutaron con orgullo y emoción 🎶💙.

Ni la lluvia 🌧️ detuvo este maravilloso encuentro, porque en Tuluá ¡transformamos el arte #ParaSerFelices! 🎭✨💃",0,"09/28/2025 07:06",https://www.instagram.com/p/DPJg36ngMJx/,"Secuencia de Instagram",,Total,2845,783,41,0,0,0,0
18052719845268171,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","✨ Así se vive el Primer Encuentro Internacional de Bailes Tradicionales 🌎💃
México, Colombia y Panamá unidos en un solo escenario, celebrando la cultura a través de la danza. 🎶🇲🇽🇨🇴🇵🇦",0,"09/27/2025 17:50",https://www.instagram.com/p/DPIF2_NgGYi/,"Secuencia de Instagram",,Total,5402,1765,109,8,2,0,1
18185136655336429,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","#Noticias | Desde el corregimiento de Barragán te traemos las noticias más importantes de la semana en el nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽",86,"09/27/2025 15:57",https://www.instagram.com/reel/DPH4f6dj05D/,"Reel de Instagram",,Total,3744,2225,96,4,0,1,0
18080041745485062,17841440597983973,sincomidanohayalegria,"Encuentro de Cocinas Tradicionales","¡Cuéntanos cuál es la comida perfecta para acompañar el tradicional patacón! 💬 

Un proyecto de @artejoven_corporacion.

Con el apoyo de @mincultura a través de la Lista Bienal de proyectos de interés nacional 2024-2025.

#comidatradicional #valle",0,"09/26/2025 16:13",https://www.instagram.com/p/DPFV7qdlF8V/,"Secuencia de Instagram",,Total,6373,,32,3,,2,0
