"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,Visualizaciones,Seguimientos,"Toques en stickers","Clics en el enlace"
17922785727118472,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Estamos cocinando algo increíble 😎",15,"09/16/2025 18:05",,"Historia de Instagram",,Total,607,5,0,,0,687,,,,
18096225568636260,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",¡MAÑANA!,15,"09/16/2025 18:01",,"Historia de Instagram",,Total,625,3,0,,0,691,,,,
18083038247302966,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Cintahuellas realizadas en la 📍Vereda Balsamar",33,"09/29/2025 13:59",https://instagram.com/stories/alcaldiadetulua/3732591074738171273,"Historia de Instagram",,Total,512,7,0,2,0,588,,,,
18068114777211546,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@supercentrotulua,60,"09/29/2025 13:27",https://instagram.com/stories/alcaldiadetulua/3732590275639374186,"Historia de Instagram",,Total,533,6,1,1,1,570,,,2,
18380515252176886,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/29/2025 10:18",https://instagram.com/stories/alcaldiadetulua/3732480007806631963,"Historia de Instagram",,Total,583,2,1,1,0,658,700,,2,
17988530162716309,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/29/2025 10:17",https://instagram.com/stories/alcaldiadetulua/3732479653656363142,"Historia de Instagram",,Total,584,6,0,,0,668,,,,
18389829832127164,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS EL VIERNES 😎✌🏽",11,"09/29/2025 10:17",https://instagram.com/stories/alcaldiadetulua/3732479306216994177,"Historia de Instagram",,Total,1418,7,4,1,1,683,,,,
18065635880359872,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,23,"09/29/2025 09:53",https://instagram.com/stories/alcaldiadetulua/3732467656586955989,"Historia de Instagram",,Total,627,5,0,,0,694,,,,
18042660746410301,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,55,"09/29/2025 08:59",https://instagram.com/stories/alcaldiadetulua/3732440427836508122,"Historia de Instagram",,Total,639,6,0,1,1,700,,,,
18293661175256478,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,34,"09/29/2025 08:59",https://instagram.com/stories/alcaldiadetulua/3732440271330239125,"Historia de Instagram",,Total,672,7,0,1,1,747,,,,
18008342087677859,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/29/2025 07:48",,"Historia de Instagram",,Total,711,6,0,2,1,796,,,47,
18101701081529594,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Estamos calentando motores para el Festival María Antonia Ruiz 😎✨",29,"09/29/2025 06:50",,"Historia de Instagram",,Total,840,8,0,3,0,886,,,,
18391469515133382,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,60,"09/28/2025 19:50",,"Historia de Instagram",,Total,811,13,0,3,0,874,,,,
18079144129974413,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/27/2025 19:05",,"Historia de Instagram",,Total,692,3,0,,0,723,,,1,
18080933054483052,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/27/2025 19:05",,"Historia de Instagram",,Total,713,6,1,,0,639,,,,
18091577599770449,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde 📍Pasto, Nariño  KILLAWAYRA",13,"09/27/2025 19:05",,"Historia de Instagram",,Total,726,6,0,1,0,723,,,,
17917311294052445,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Danzares del Lago💃 Desde Chile 🇨🇱 Agrupación",20,"09/27/2025 18:30",,"Historia de Instagram",,Total,650,3,0,,0,668,,,,
18086839543701799,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,18,"09/27/2025 18:06",,"Historia de Instagram",,Total,618,6,1,,0,604,,,,
18113170885535665,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Así se baila el joropo 🤩 Pequeñitos de gran talento💪🏼",17,"09/27/2025 18:04",,"Historia de Instagram",,Total,631,10,0,,0,659,,,,
17879748327400713,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde Casanare✨✌🏽 LINAJE AL BORDÓN ✨",3,"09/27/2025 17:59",,"Historia de Instagram",,Total,650,8,0,,0,549,,,,
18532299028056969,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/27/2025 17:43",,"Historia de Instagram",,Total,619,5,0,,1,646,,,2,
18083312434740355,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/27/2025 17:24",,"Historia de Instagram",,Total,616,6,0,,0,642,689,,,
18088414597887010,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","PANAMÁ 🇵🇦 Y LO NUESTRO Academia de Bailes, Danzas y Proyecciones Folklóricas",22,"09/27/2025 17:20",,"Historia de Instagram",,Total,641,4,1,,1,668,,,,
18043043408669087,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,22,"09/27/2025 17:05",,"Historia de Instagram",,Total,630,3,0,,0,652,,,,
17872365579428842,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde el departamento de Risaralda  FUNBALLET DE COLOMBIA 🇨🇴",28,"09/27/2025 16:57",,"Historia de Instagram",,Total,638,4,0,1,0,671,,,,
18025332806547054,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde México, sí señores🇲🇽",22,"09/27/2025 16:54",,"Historia de Instagram",,Total,660,6,0,,0,685,,,,
17874713769422827,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Compañía de Danza Folklórica Coatitlan 🇲🇽 Desde México nos acompañan:",25,"09/27/2025 16:32",,"Historia de Instagram",,Total,764,7,4,,0,735,,,2,
18529645015026169,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Ya iniciamos!🤩✨ Ven ahora✌🏽😌 MÉXICO 🇲🇽",15,"09/27/2025 16:30",,"Historia de Instagram",,Total,700,5,2,2,0,741,,,,
18015675767785164,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,60,"09/27/2025 15:58",,"Historia de Instagram",,Total,716,6,0,1,0,757,,,,
17903672508254930,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Mercado Campesino 🥒🍅🍊 📍Corregimiento San Rafael  En el Cierre de la Semana Ambiental ✌🏽✨🥭",10,"09/27/2025 11:04",,"Historia de Instagram",,Total,678,4,1,2,0,652,,,,
