"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics en el enlace","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)","Comentarios negativos de los usuarios: Ocultar"
1222709686563028,100064720237286,"Alcaldía de Tuluá","#BienestarSocial | Más de 250 madres cabeza de hogar participaron en el segundo encuentro de Renta Ciudadana

En el Coliseo de Ferias Manuel Victoria Rojas se realizó el segundo encuentro de bienvenida del programa Renta Ciudadana, con la asistencia de más de 250 madres cabeza de hogar de la comuna 3, entre ellas cuidadoras de niños menores de 6 años y de personas con discapacidad.

Lee la noticia completa:⬇⬇⬇
",,0,"08/27/2025 08:11",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02w6GCqw1NoKaoYcK6GY823ci7btsmTdNmjcyvnUuWiKHrteyXcSngmEmyuoFdmeRql,0,0,Enlaces,,,,,Total,1912,1196,51,39,2,10,24,17,7,,,,,,,,
1222706686563328,100064720237286,"Alcaldía de Tuluá","#Educación | Tuluá fortalecerá su educación con 30 docentes orientadores

La Secretaría de Educación Municipal de Tuluá anunció que, gracias a la gestión realizada ante el Ministerio de Educación Nacional, la planta de docentes orientadores pasará de 18 a 30 para el 2026. Este aumento del 66% permitirá fortalecer la convivencia escolar, brindar acompañamiento psicosocial y garantizar ambientes educativos más seguros y favorables para el aprendizaje de los estudiantes.

Lee la noticia completa:⬇⬇⬇
",,0,"08/27/2025 08:07",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0cAp15JwDCqgdNt5LehRtpV2fGBGqQxdpyb4gSPJ9KcFgfHmTy2nZKXdEhj5FAJgGl,0,0,Enlaces,,,,,Total,3188,1718,87,72,2,13,83,71,12,,,,,,,,
1251396560361007,100064720237286,"Alcaldía de Tuluá","🚴‍♀️✨ Llega el Ciclo Paseo Nocturno: Pedalea tu salud ✨🚴‍♂️

Este viernes 3 de octubre nos vemos desde las 5:30 p.m. en la Plaza Cívica Boyacá para disfrutar en familia y con amigos de un recorrido lleno de salud, aire fresco y alegría por las calles de nuestro municipio 🌃💚. En el lanzamiento del programa de Atención Primaria en Salud que estará recorriendo las comunas de Tuluá y la zona rural.🩺🏥

¡Trae tu bici y únete a esta experiencia que conecta deporte, bienestar y comunidad! 🙌 #ParaSerFelices",,0,"09/30/2025 07:15",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02jFDpBiL6avdb2P1NCY752QnqKPLpgvDL33R99KbCfBkxSnHk3WaUCEbAb8EjhGJVl,0,0,Fotos,,,,,Total,368,301,2,1,0,1,8,,6,2,,,,,,,
1251372737030056,100064720237286,"Alcaldía de Tuluá","#Educación | Alcaldía exaltó la labor de más de 1.000 docentes del Corazón del Valle

En un emotivo evento realizado en el Coliseo de Ferias Manuel Victoria Rojas, más de 1.000 docentes del Corazón del Valle se reunieron para exaltar su labor y reconocer que su trabajo transforma vidas.

Lee la noticia completa:⬇️⬇️⬇️
https://tulua.gov.co/publicaciones/6463/alcaldia-exalto-la-labor-de-mas-de-1000-docentes-del-corazon-del-valle/i",,0,"09/30/2025 06:43",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0seJNQ4zCPHBymLs1ZYWYfisZDjEg6E6G4QLGRC8CStAa9BWtKfoQRXDtB3Q1J7M6l,0,0,Enlaces,,,,,Total,449,344,11,9,0,2,13,11,2,,,,,,,,
1251371000363563,100064720237286,"Alcaldía de Tuluá","#Salud | Administración Municipal atendió reclamos y restableció servicio en Disfarma

Atendido a las quejas y reclamos de la comunidad, la Administración Municipal hizo presencia en el dispensario de medicamentos Disfarma, donde en la jornada de hoy se presentó un bloqueo por retrasos en la atención.

Lee la noticia completa:⬇️⬇️⬇️
",,0,"09/30/2025 06:40",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid023aiCqkUgKTMocXjMPX8VJQ6BdpKYmLYcX3yQzzhR6ZKb5nvgEHt4GSiZUhU4g1pLl,0,0,Enlaces,,,,,Total,549,366,3,3,0,0,9,4,5,,,,,,,,
1250722870428376,100064720237286,"Alcaldía de Tuluá","🚧✨ ¡Nuevas rutas en la carrera 40! ✨🚧

Conoce las nuevas rutas temporales en este sector, pensadas para que llegues sin problema al Supercentro Tuluá y al barrio Fátima 🛣️.

👉 Estos cierres hacen parte de las obras que muy pronto harán brillar nuestro municipio.🌟.
👉 Te compartimos las rutas alternas para que te muevas con tranquilidad y sin dudas.

¡Avanzamos juntos hacia la Tuluá moderna y con mejor movilidad que soñamos! 💪🏼 #ParaSerFelices","🚧✨ ¡Nuevas rutas en la carrera 40! ✨🚧

Conoce las nuevas rutas temporales en este sector, pensadas para que llegues sin problema al Supercentro Tuluá y al barrio Fátima 🛣️.

👉 Estos cierres hacen parte de las obras que muy pronto harán brillar nuestro municipio.🌟.
👉 Te compartimos las rutas alternas para que te muevas con tranquilidad y sin dudas.

¡Avanzamos juntos hacia la Tuluá moderna y con mejor movilidad que soñamos! 💪🏼 #ParaSerFelices",69,"09/29/2025 13:25",N/A,https://www.facebook.com/reel/657908864035741/,1,0,Reels,,,,,Total,23893,20371,344,257,23,64,984,,984,,,477636.165,23.803,0,0,,
1250558443778152,100064720237286,"Alcaldía de Tuluá","💃✨ Revive los mejores momentos del Primer Encuentro Internacional de Bailes Tradicionales Tuluá 2025 🎶🌎

Un espectáculo inolvidable donde recibimos a 4 países invitados y a talentosas delegaciones de Colombia 🇨🇴, que llenaron de cultura, color y tradición nuestro Corazón del Valle 💙🌟.

En Tuluá celebramos y transformamos el arte #ParaSerFelices 🎭✨","💃✨ Revive los mejores momentos del Primer Encuentro Internacional de Bailes Tradicionales Tuluá 2025 🎶🌎

Un espectáculo inolvidable donde recibimos a 4 países invitados y a talentosas delegaciones de Colombia 🇨🇴, que llenaron de cultura, color y tradición nuestro Corazón del Valle 💙🌟.

En Tuluá celebramos y transformamos el arte #ParaSerFelices 🎭✨",34,"09/29/2025 08:58",N/A,https://www.facebook.com/reel/672717929206906/,1,0,Reels,,,,,Total,753,565,47,41,1,5,7,,7,,,5663.983,8.849,0,0,,
1249581940542469,100064720237286,"Alcaldía de Tuluá","✨💃🌎 Con mucho éxito, alegría y diversidad cultural se realizó el Primer Encuentro Internacional de Bailes Tradicionales Tuluá 2025.

Más de 300 bailarines desde Panamá 🇵🇦 , Chile 🇨🇱 , México 🇲🇽 y por supuesto de Colombia, 🇨🇴 ofrecieron espectaculares shows que las familias tulueñas disfrutaron con orgullo y emoción 🎶💙.

Ni la lluvia 🌧️ detuvo este maravilloso encuentro, porque en Tuluá ¡transformamos el arte #ParaSerFelices! 🎭✨💃",,0,"09/28/2025 07:09",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0GAZdbQGg3fDZSsqVRTtLhiNDdLR5hKaj47NRxJQ97Nh8gRE5bbnKYzy5DE8pENGLl,0,0,Fotos,,,,,Total,5565,3294,83,62,5,16,266,,112,154,,,,,,,
1249549930545670,100064720237286,"Alcaldía de Tuluá","✨ Así se vive el Primer Encuentro Internacional de Bailes Tradicionales 🌎💃
México, Colombia y Panamá unidos en un solo escenario, celebrando la cultura a través de la danza. 🎶🇲🇽🇨🇴🇵🇦",,0,"09/28/2025 06:25",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02zxoHtck1XQtmekLqLpbDkzZYVtxYNi1qmNfjuC6duyLQj3e8QqRXWGEJpwosNAH7l,0,0,Fotos,,,,,Total,2479,1487,49,43,1,5,129,,32,97,,,,,,,
1249031637264166,100064720237286,"Alcaldía de Tuluá","#Noticias | Desde el corregimiento de Barragán te traemos las noticias más importantes de la semana en el nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽","#Noticias | Desde el corregimiento de Barragán te traemos las noticias más importantes de la semana en el nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽",87,"09/27/2025 15:57",N/A,https://www.facebook.com/reel/685890917869018/,1,0,Reels,,,,,Total,6576,6193,187,161,6,20,193,,193,,,103459.827,17.033,0,0,,
