Registro,Dispositivo,Fecha de nacimiento,¿Que tan comprometido te sientes con la ciudad y su desarrollo?,"¿Cómo calificaría su comportamiento al utilizar el espacio publico, (parques, calles, plazas)?",¿Que tan importante cree que es colaborar con sus vecinos en temas de seguridad y limpieza del barrio?,"¿Desde que área social, desearía apoyar participativamente para el crecimiento de la ciudad?",¿Qué acciones consideras que son necesarias para mejorar la cultura ciudadana en su ciudad?,Duración
2024-11-20 14:50:32,phone,2000-03-08,Comprometido,Respetuoso,Importante,Civismo,Educación,00:38
2024-12-11 13:38:10,teléfono,1979-09-30,Muy comprometido,Muy respetuoso,Importante,Seguridad,Más campañas de sensibilizacion en temas de normas de tránsito y civismo,
2024-12-11 13:44:29,teléfono,1958-10-09,Para nada comprometido,Respetuoso,Poco importante,Arte,,00:59
2024-12-11 17:14:18,teléfono,1980-08-14,Muy comprometido,Muy respetuoso,Muy importante,Civismo,"Con gestiób oportuna y personal idóneo de la alcaldía municipal o contratado por ella de manera  externa realizar campañas ciudadanas de civismo,  lúdicas y agradables que cautiven e impacten a laa personas ( niños. Jóvenes, adultos)generando el deseo de cambios de actuar por el correcto en los parques, en cada institución educativa oficial y privada,  con los estudiantes de transicion, 1ro,2do, 3ro,4to y 5to, en bachiller vital  desde 6to,7mo,8vo,9no, 10mo y 11ce, tambien con los universitarios,  con trabajadores , personal de empresas, comerciantes, adultos mayores, policia nacional del municipio, etc... barrios, jardines infantiles, guarderias, personal de salud, mejor dicho todos los gremios etc abordando así a toda la ciudad para poder obtener optimos resultados....",11:03
2024-12-12 13:56:31,computer,1993-01-08,Muy comprometido,Muy respetuoso,Muy importante,Civismo,,00:52
2024-12-19 19:19:32,teléfono,1949-05-22,Muy comprometido,Muy respetuoso,Muy importante,Educación,Educación,01:04
2024-08-13 15:59:01,computer,1979-02-23,Para nada comprometido,Respetuoso,Poco importante,Arte,Más campañas de sensibilización,08:44
2024-12-22 17:46:15,teléfono,1985-12-28,Comprometido,Muy respetuoso,Muy importante,Deporte,Educación,02:57
2024-03-23 01:16:22,teléfono,1963-07-07,Muy comprometido,Indiferente,Poco importante,Civismo,Mayor inversión en infraestructura,07:57
2024-05-03 23:25:17,computer,1974-01-03,Muy comprometido,Respetuoso,Muy importante,Arte,Más campañas de sensibilización,06:23
2024-10-11 23:14:06,computer,1987-10-31,Muy comprometido,Muy respetuoso,Muy importante,Civismo,Más campañas de sensibilización,06:07
2024-08-11 18:32:56,computer,1991-02-09,Comprometido,Muy respetuoso,Muy importante,Seguridad,Mayor inversión en infraestructura,01:15
2024-10-08 12:37:14,tablet,2004-08-23,Comprometido,Muy respetuoso,Poco importante,Civismo,Gestión oportuna de autoridades,02:51
2024-05-13 06:01:54,phone,1961-09-27,Para nada comprometido,Muy respetuoso,Poco importante,Civismo,Gestión oportuna de autoridades,08:16
2024-05-20 17:38:46,tablet,1966-03-29,Muy comprometido,Indiferente,Muy importante,Civismo,Más campañas de sensibilización,05:37
2024-08-17 16:01:13,teléfono,2006-09-22,Para nada comprometido,Muy respetuoso,Muy importante,Deporte,Gestión oportuna de autoridades,02:37
2024-03-17 10:40:48,computer,1999-07-31,Para nada comprometido,Respetuoso,Importante,Arte,Educación,09:20
2024-08-25 17:14:44,tablet,1986-05-13,Muy comprometido,Respetuoso,Poco importante,Arte,Más campañas de sensibilización,02:55
2024-09-13 10:48:49,teléfono,2004-11-21,Para nada comprometido,Respetuoso,Importante,Deporte,Mayor inversión en infraestructura,10:34
2024-12-05 18:56:34,teléfono,1984-07-15,Para nada comprometido,Indiferente,Importante,Civismo,Gestión oportuna de autoridades,10:10
2024-10-21 23:37:09,phone,1998-01-14,Muy comprometido,Muy respetuoso,Muy importante,Educación,Más campañas de sensibilización,09:59
2024-05-13 11:35:08,teléfono,1991-06-23,Muy comprometido,Respetuoso,Muy importante,Deporte,Gestión oportuna de autoridades,05:03
2024-08-12 11:08:34,tablet,1949-12-10,Para nada comprometido,Indiferente,Importante,Educación,Más campañas de sensibilización,03:05
2024-08-10 18:46:16,phone,1977-04-16,Muy comprometido,Muy respetuoso,Poco importante,Civismo,Mayor inversión en infraestructura,04:55
2024-03-11 09:49:22,phone,1984-11-29,Muy comprometido,Indiferente,Poco importante,Educación,Más campañas de sensibilización,05:32
2024-11-13 23:21:49,computer,1995-03-27,Comprometido,Muy respetuoso,Poco importante,Educación,Educación,05:41
2024-09-14 05:22:00,computer,1988-02-11,Muy comprometido,Muy respetuoso,Importante,Arte,Mayor inversión en infraestructura,02:10
2024-06-10 20:01:08,tablet,1982-09-29,Para nada comprometido,Respetuoso,Poco importante,Civismo,Mayor inversión en infraestructura,05:12
2024-08-14 08:08:11,tablet,1972-09-03,Muy comprometido,Indiferente,Importante,Deporte,Mayor inversión en infraestructura,06:01
2024-03-10 15:40:50,teléfono,1981-12-18,Para nada comprometido,Muy respetuoso,Importante,Civismo,Mayor inversión en infraestructura,00:13
2024-09-28 15:55:58,computer,1988-01-29,Comprometido,Indiferente,Muy importante,Educación,Más campañas de sensibilización,03:35
2024-01-05 21:59:23,teléfono,1983-09-20,Comprometido,Muy respetuoso,Muy importante,Civismo,Mayor inversión en infraestructura,03:04
2024-06-03 07:15:56,teléfono,1955-12-17,Para nada comprometido,Respetuoso,Muy importante,Arte,Educación,10:09
2024-08-16 20:52:12,computer,2006-06-02,Muy comprometido,Respetuoso,Poco importante,Deporte,Mayor inversión en infraestructura,02:44
2024-03-17 03:57:59,computer,1950-10-08,Muy comprometido,Muy respetuoso,Poco importante,Educación,Gestión oportuna de autoridades,06:11
2024-02-14 06:52:51,computer,1977-02-13,Muy comprometido,Muy respetuoso,Importante,Civismo,Educación,09:36
2024-11-09 22:28:05,tablet,1983-03-30,Para nada comprometido,Muy respetuoso,Muy importante,Seguridad,Gestión oportuna de autoridades,04:51
2024-11-09 07:18:31,computer,2002-11-22,Comprometido,Respetuoso,Poco importante,Arte,Educación,06:00
2024-09-05 15:32:42,computer,1976-08-21,Para nada comprometido,Indiferente,Poco importante,Deporte,Gestión oportuna de autoridades,07:29
2024-09-27 14:15:10,tablet,1975-11-10,Muy comprometido,Indiferente,Importante,Educación,Gestión oportuna de autoridades,04:38
2024-11-05 21:52:11,phone,1972-04-29,Para nada comprometido,Indiferente,Poco importante,Educación,Educación,03:51
2024-06-20 19:35:01,computer,1987-12-26,Muy comprometido,Respetuoso,Importante,Educación,Mayor inversión en infraestructura,01:11
2024-05-18 14:25:48,tablet,1997-04-25,Comprometido,Indiferente,Importante,Seguridad,Educación,07:29
2024-10-31 11:43:44,phone,2002-06-17,Muy comprometido,Indiferente,Importante,Seguridad,Educación,00:47
2024-09-24 18:03:21,computer,1988-06-29,Muy comprometido,Respetuoso,Poco importante,Civismo,Más campañas de sensibilización,08:50
2024-09-11 16:01:43,computer,1946-02-06,Para nada comprometido,Respetuoso,Importante,Arte,Mayor inversión en infraestructura,07:41
2024-09-17 14:55:21,tablet,1973-01-23,Para nada comprometido,Indiferente,Poco importante,Educación,Educación,04:27
2024-10-04 12:43:46,tablet,1991-04-02,Muy comprometido,Respetuoso,Muy importante,Seguridad,Educación,10:54
2024-05-10 19:12:00,computer,1965-02-23,Muy comprometido,Muy respetuoso,Muy importante,Arte,Educación,00:10
2024-11-23 13:23:45,phone,1956-03-22,Muy comprometido,Muy respetuoso,Muy importante,Seguridad,Mayor inversión en infraestructura,03:41
2024-05-09 01:47:03,computer,1963-03-06,Comprometido,Muy respetuoso,Muy importante,Arte,Gestión oportuna de autoridades,05:53
2024-02-14 13:50:24,phone,1999-03-22,Muy comprometido,Respetuoso,Poco importante,Deporte,Gestión oportuna de autoridades,05:26
2024-12-14 07:38:31,tablet,1981-08-10,Muy comprometido,Respetuoso,Poco importante,Educación,Gestión oportuna de autoridades,08:09
2024-06-07 00:22:27,phone,1960-01-18,Muy comprometido,Indiferente,Muy importante,Civismo,Más campañas de sensibilización,09:49
2024-02-22 09:56:35,computer,1954-04-18,Para nada comprometido,Indiferente,Importante,Educación,Mayor inversión en infraestructura,08:19
2024-05-31 21:00:43,tablet,1979-05-10,Muy comprometido,Indiferente,Importante,Educación,Educación,09:16
