"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)","Comentarios negativos de los usuarios: Ocultar"
1197598985740765,100064720237286,"Alcaldía de Tuluá","#Noticias | Más de 3.000 personas vibraron con la velocidad en la segunda versión de 1/4 de milla

Más de 3.000 personas vibraron con este espectáculo deportivo que reunió a más de 140 pilotos provenientes de diferentes regiones del país, en una competencia que sigue posicionando a Tuluá como referente nacional del automovilismo.

Lee la noticia completa:⬇⬇⬇
",,0,"07/28/2025 14:58",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid033xRoks2F657eQLgHe77v4SdM9HWwmXeXXS5hj5rQu9oBZnArk9ebexwr7MJZnWhgl,0,0,Enlaces,,,,,Total,1609,1053,31,27,0,4,11,,5,6,,,,,,
1197646359069361,100064720237286,"Alcaldía de Tuluá","🚀 ¡Emprende, crece y transforma tu futuro con ConRed! 🌟

¿Tienes un emprendimiento físico o virtual? ¿Quieres fortalecer tu perfil profesional? 💼✨
Entonces este programa es para ti. ConRed es una estrategia de competitividad y turismo pensada para impulsar el desarrollo socioeconómico de Tuluá, ¡y tú puedes ser parte! 🙌

📍 Acércate a las oficinas de Planeación o Renta Ciudadana en el segundo piso del Centro Comercial Bicentenario Plaza e inscríbete antes del 4 de agosto. 💡 ¡No dejes pasar esta oportunidad de crecer con tu ciudad! 💙 #ParaSerFelices","🚀 ¡Emprende, crece y transforma tu futuro con ConRed! 🌟

¿Tienes un emprendimiento físico o virtual? ¿Quieres fortalecer tu perfil profesional? 💼✨
Entonces este programa es para ti. ConRed es una estrategia de competitividad y turismo pensada para impulsar el desarrollo socioeconómico de Tuluá, ¡y tú puedes ser parte! 🙌

📍 Acércate a las oficinas de Planeación o Renta Ciudadana en el segundo piso del Centro Comercial Bicentenario Plaza e inscríbete antes del 4 de agosto. 💡 ¡No dejes pasar esta oportunidad de crecer con tu ciudad! 💙 #ParaSerFelices",33,"07/28/2025 16:50",N/A,https://www.facebook.com/reel/1052479177049698/,1,0,Reels,,,,,Total,1383,982,42,32,1,9,7,,7,,6539.837,5.261,0,0,,
1198305749003422,100064720237286,"Alcaldía de Tuluá","🛠️💧¡Puerto Frazadas ahora duerme tranquilo!

Con una obra de 31 metros lineales, realizamos el recalce del muro en este corregimiento, fortaleciendo la protección contra inundaciones y reduciendo riesgos de desastres naturales.

Esta intervención mejora la seguridad de las familias y demuestra que ¡sí estamos transformando la infraestructura de nuestra zona rural! 🌱🚜 #ParaSerFelices 💙","🛠️💧¡Puerto Frazadas ahora duerme tranquilo!

Con una obra de 31 metros lineales, realizamos el recalce del muro en este corregimiento, fortaleciendo la protección contra inundaciones y reduciendo riesgos de desastres naturales.

Esta intervención mejora la seguridad de las familias y demuestra que ¡sí estamos transformando la infraestructura de nuestra zona rural! 🌱🚜 #ParaSerFelices 💙",40,"07/29/2025 10:51",uploaded,https://www.facebook.com/reel/773186681901783/,1,0,Reels,,,,,Total,1791,945,86,68,2,16,11,,11,,10129.079,6.326,0,0,,
1198503508983646,100064720237286,"Alcaldía de Tuluá","#BienestarSocial | Tuluá conmemoró el Día de las Cuidadoras.

Con una jornada de autocuidado y encuentro emocional, se realizó la conmemoración del Día de los Cuidadores, un espacio liderado por la Administración Municipal para agradecer y visibilizar la labor silenciosa de quienes entregan su vida al cuidado de otras personas.

Lee la noticia completa:⬇️⬇️⬇️
",,0,"07/29/2025 17:39",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02gJBgnowotqCbg18NY2WgoWibqJzR5JWMiSaenhLpwDjdL8tid4g5Yfo5rDkvPvicl,0,0,Enlaces,,,,,Total,1443,972,29,25,0,4,5,,2,3,,,,,,
1198504265650237,100064720237286,"Alcaldía de Tuluá","#Obras | Nuevo paso vehicular mejora la movilidad entre los barrios Escobar y Rojas.

Con el nuevo paso vehicular que se está construyendo entre los barrios Escobar y Rojas, Tuluá avanza hacia una movilidad más fluida, segura y ordenada. Esta obra ya permite una conexión directa entre el oriente y el occidente del municipio, beneficiando a miles de ciudadanos que diariamente transitan por este sector, especialmente hacia zonas clave como el Hospital Rubén Cruz Vélez y barrios aledaños.

Lee la noticia completa:⬇️⬇️⬇️
",,0,"07/29/2025 17:41",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0Ygec9Qp45zaXwMZUrTz8zfdt2k18jJZbECVE5FWNpP8FUeNnycHcNSp1JkhGTRDZl,0,0,Enlaces,,,,,Total,37758,24912,412,309,55,48,1289,,659,630,,,,,,
1198505052316825,100064720237286,"Alcaldía de Tuluá","#Privada | Alcaldía realizará Gran Foro Comunal, un espacio para aprender y fortalecer el trabajo comunitario.

Este sábado 2 de agosto , la Alcaldía de Tuluá realizará el Gran Foro Comunal , un encuentro pensado para todos los líderes y dignatarios de las Juntas de Acción Comunal del municipio. La jornada se llevará a cabo en la tarima de la plazoleta de Mecatos, en el Coliseo de Ferias Manuel Victoria Rojas , desde las 9:30 de la mañana hasta las 3:30 de la tarde.

Lee la noticia completa:⬇️⬇️⬇️
",,0,"07/29/2025 17:42",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02df224t79Sf7pHuhRhc89PjgbpfGbTYkoVi7r6J6cruExe9gp4GHkNRBsTwpc8pml,0,0,Enlaces,,,,,Total,1786,1147,31,23,1,7,14,,7,7,,,,,,
1198508268983170,100064720237286,"Alcaldía de Tuluá","🔥 ¡Llega Agosto y con él un gran espacio para los jóvenes! 🎉🙌

Si tienes entre 14 y 28 años… ¡esto es para ti! Prepárate para vivir dos días llenos de energía, talento y color en el JovenFest 2025 🎶🎨🌈
Este 15 y 16 de agosto, el Coliseo de Ferias será el punto de encuentro de los jóvenes tulueños para disfrutar lo mejor de la creatividad, el emprendimiento y la cultura.

🧑🏽‍🎤 Feria de emprendimiento
🏍 Torneo de stunt
🎨 Taller de graffiti
🎭 Presentaciones artísticas
🌈 Y para cerrar… ¡el increíble Color Fest!

🎥 Pasa esta info a tus parches y nos vemos en el JovenFest. 💙🔥 #ParaSerFelices #JovenFest2025","🔥 ¡Llega Agosto y con él un gran espacio para los jóvenes! 🎉🙌

Si tienes entre 14 y 28 años… ¡esto es para ti! Prepárate para vivir dos días llenos de energía, talento y color en el JovenFest 2025 🎶🎨🌈
Este 15 y 16 de agosto, el Coliseo de Ferias será el punto de encuentro de los jóvenes tulueños para disfrutar lo mejor de la creatividad, el emprendimiento y la cultura.

🧑🏽‍🎤 Feria de emprendimiento
🏍 Torneo de stunt
🎨 Taller de graffiti
🎭 Presentaciones artísticas
🌈 Y para cerrar… ¡el increíble Color Fest!

🎥 Pasa esta info a tus parches y nos vemos en el JovenFest. 💙🔥 #ParaSerFelices #JovenFest2025",33,"07/29/2025 17:48",uploaded,https://www.facebook.com/reel/2181589882282589/,1,0,Reels,,,,,Total,2405,1273,42,29,2,11,13,,13,,12043.033,5.718,0,0,,
1199077162259614,100064720237286,"Alcaldía de Tuluá","#Obras | Habitantes de Puerto Frazadas ahora duermen tranquilos.

Con la recuperación de 31 metros lineales de estructura, la Alcaldía Municipal hizo la entrega de una importante obra de recalce y refuerzo del muro de contención en el corregimiento Puerto Frazadas, zona rural montañosa de Tuluá. Esta intervención se realizó sobre la quebrada Los Trópicos, un punto crítico que durante años ha representado riesgo de desbordamientos e inundaciones para los habitantes del sector.

Lee la noticia completa:⬇️⬇️⬇️
",,0,"07/30/2025 10:04",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0Q33iMnxHvboebtyrjNkr97VhNxJmcuHC2sgWWnXXt3P3DBR79Y731brxXUbYPz4pl,0,0,Enlaces,,,,,Total,2710,1673,46,34,1,11,15,,6,9,,,,,,
1199125582254772,100064720237286,"Alcaldía de Tuluá","🚧 ¡Iniciamos pavimentación en la calle 29A! 🛣️💪

Con 47 metros lineales, arrancamos una obra clave para la movilidad en el barrio Sajonia, una vía que muy pronto conectará de forma segura con la carrera 19 y los barrios Pueblo Nuevo y Progresar. ✅

Esta pavimentación no solo mejora el tránsito, también rompe barreras y une a más tulueños. ¡Seguimos cerrando brechas con obras que transforman! 💙🙌 #ParaSerFelices","🚧 ¡Iniciamos pavimentación en la calle 29A! 🛣️💪

Con 47 metros lineales, arrancamos una obra clave para la movilidad en el barrio Sajonia, una vía que muy pronto conectará de forma segura con la carrera 19 y los barrios Pueblo Nuevo y Progresar. ✅

Esta pavimentación no solo mejora el tránsito, también rompe barreras y une a más tulueños. ¡Seguimos cerrando brechas con obras que transforman! 💙🙌 #ParaSerFelices",23,"07/30/2025 11:26",uploaded,https://www.facebook.com/reel/2115753268834447/,1,0,Reels,,,,,Total,5333,3245,160,130,8,22,128,,128,,36189.319,7.906,0,0,,
1199438325556831,100064720237286,"Alcaldía de Tuluá","Luzmila, Madre sustituta y ejemplo de entrega 👩‍👧🌟

Hoy, tiene bajo su cuidado a una niña con discapacidad.💜 Gracias a su compromiso, Luzmila ahora es beneficiaria de los programas que ofrece la Administración Municipal y que fortalecen su labor como cuidadora. 🙌💙

Porque ser cuidadora también es amar… y su historia merece ser reconocida. #ParaSerFelices 💙","Luzmila, Madre sustituta y ejemplo de entrega 👩‍👧🌟

Hoy, tiene bajo su cuidado a una niña con discapacidad.💜 Gracias a su compromiso, Luzmila ahora es beneficiaria de los programas que ofrece la Administración Municipal y que fortalecen su labor como cuidadora. 🙌💙

Porque ser cuidadora también es amar… y su historia merece ser reconocida. #ParaSerFelices 💙",92,"07/30/2025 17:24",uploaded,https://www.facebook.com/reel/805180058519257/,1,0,Reels,,,,,Total,2425,1426,90,70,3,17,28,,28,,25093.665,11.354,0,0,,
