"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Respuestas,Navegación,"Toques en stickers","Visitas al perfil",Seguimientos,"Clics en el enlace"
18100257835546060,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,8,"09/04/2025 17:51",https://instagram.com/stories/alcaldiadetulua/3714588814267614129,"Historia de Instagram",,Total,375,352,4,0,0,346,,,,
18398686303142329,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 17:51",https://instagram.com/stories/alcaldiadetulua/3714588749440448848,"Historia de Instagram",,Total,385,356,4,0,0,362,,,,
17914415877056698,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 16:34",https://instagram.com/stories/alcaldiadetulua/3714549776680729498,"Historia de Instagram",,Total,419,375,6,0,0,398,,,,
17881264833264929,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 16:31",https://instagram.com/stories/alcaldiadetulua/3714548258342696382,"Historia de Instagram",,Total,413,377,3,1,0,386,,,,
18148088290365119,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 16:31",https://instagram.com/stories/alcaldiadetulua/3714548191686801642,"Historia de Instagram",,Total,423,379,3,0,0,403,,,,
18063925019349726,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 14:47",https://instagram.com/stories/alcaldiadetulua/3714495884353844122,"Historia de Instagram",,Total,454,402,4,0,0,447,3,,,
18032660231506427,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 14:47",https://instagram.com/stories/alcaldiadetulua/3714495841043433928,"Historia de Instagram",,Total,481,411,6,1,0,455,2,1,,
18070131332147122,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 14:47",https://instagram.com/stories/alcaldiadetulua/3714495798957812228,"Historia de Instagram",,Total,508,414,6,0,0,427,16,,,
18077695783798333,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/04/2025 14:46",https://instagram.com/stories/alcaldiadetulua/3714495726849332341,"Historia de Instagram",,Total,484,420,3,0,0,457,,,,
17992511468827243,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS MAÑANA NARIÑO 😎✌🏽",11,"09/04/2025 12:30",https://instagram.com/stories/alcaldiadetulua/3714427076998049040,"Historia de Instagram",,Total,888,710,3,0,1,484,,1,,
18037230821479752,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 11:23",https://instagram.com/stories/alcaldiadetulua/3714393162493395336,"Historia de Instagram",,Total,516,470,3,0,0,499,,,,
18123981010427867,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Y tú… ¿Cuál es tu color favorito? 🤩💚",15,"09/04/2025 10:01",https://instagram.com/stories/alcaldiadetulua/3714352326052467998,"Historia de Instagram",,Total,1401,1076,2,0,0,539,,,,
18104697418585474,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nos vemos hoy en el",11,"09/04/2025 07:31",,"Historia de Instagram",,Total,639,563,4,0,0,611,,,,
17970539720943486,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Conoce la historia de Laura Valentina",15,"09/03/2025 17:06",,"Historia de Instagram",,Total,593,499,11,0,0,540,,,,
17941055766053055,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/03/2025 14:32",,"Historia de Instagram",,Total,571,489,5,3,0,502,,,,
17956955708844715,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/03/2025 14:23",,"Historia de Instagram",,Total,581,500,7,0,0,496,,1,,
18115372735510267,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Este fin de semana 😎 Nos vemos",15,"09/03/2025 14:15",,"Historia de Instagram",,Total,597,510,6,0,0,572,,1,,
17958092174842166,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/03/2025 09:34",,"Historia de Instagram",,Total,565,475,7,0,0,529,,,,
17872327188422449,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/03/2025 09:33",,"Historia de Instagram",,Total,578,483,3,0,0,550,,,,
18065601764264717,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/03/2025 09:33",,"Historia de Instagram",,Total,648,486,6,0,0,636,,2,,
17854536336518084,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/03/2025 09:32",,"Historia de Instagram",,Total,626,488,5,0,0,558,2,1,,
18406838347118813,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,10,"09/03/2025 09:32",,"Historia de Instagram",,Total,566,499,5,0,0,551,4,,,
18065503823220370,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nos vemos este sábado 😎✅",15,"09/03/2025 09:31",,"Historia de Instagram",,Total,589,516,6,0,0,553,,,,
18008485088619020,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¿Lo entendiste?😎✌🏽",15,"09/02/2025 15:48",,"Historia de Instagram",,Total,822,593,5,0,2,708,,7,,
18088102648641949,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/02/2025 11:54",,"Historia de Instagram",,Total,758,585,6,0,0,644,,2,,
18070818866136378,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,14,"09/02/2025 09:11",,"Historia de Instagram",,Total,655,559,2,0,0,618,3,,,
17858236053490565,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,38,"09/02/2025 08:21",,"Historia de Instagram",,Total,621,552,0,2,0,609,2,1,,
18021025865558852,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/02/2025 07:45",,"Historia de Instagram",,Total,695,596,4,0,0,620,,1,,
18048394055299098,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 16:26",,"Historia de Instagram",,Total,588,504,1,1,0,553,,1,,
18070742084130994,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Así avanza el EL INTERCAMBIADOR😎✌🏽",15,"09/01/2025 15:36",,"Historia de Instagram",,Total,1408,1031,1,0,1,519,,1,,
17855710392458122,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 14:25",,"Historia de Instagram",,Total,545,494,2,0,0,541,,,,
17874281358409284,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/01/2025 14:25",,"Historia de Instagram",,Total,570,506,2,0,0,554,,,,19
18382854988126525,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 14:16",,"Historia de Instagram",,Total,563,515,3,0,1,557,,,,
17934872583072663,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 14:16",,"Historia de Instagram",,Total,568,525,2,0,0,559,,,,
18130497712456087,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 14:16",,"Historia de Instagram",,Total,641,531,3,0,0,639,,,,
17925020783997016,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/01/2025 13:49",,"Historia de Instagram",,Total,695,564,9,8,1,638,,,,
18079416445946829,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,31,"09/01/2025 11:34",,"Historia de Instagram",,Total,655,587,4,0,0,625,,4,,
17924916581999931,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 06:50",,"Historia de Instagram",,Total,797,719,5,0,0,739,,2,,
18030369200651477,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/31/2025 10:57",,"Historia de Instagram",,Total,814,738,2,1,0,790,,,,
