"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó"
18070529102051089,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🌱 Entregamos una biofábrica en Puerto Frazadas 🚜

Con la SEDAMA, brindamos insumos clave que fortalecerán la producción limpia en el campo tulueño, para que los productores rurales elaboren sus propios biofertilizantes y abonos orgánicos, cuidando el ambiente y reduciendo costos en La Moralia y Puerto Frazadas. 💚♻️

✅ Melaza, azufre y sulfato
✅ Canecas plásticas
✅ Medidor de pH

Agricultura sostenible para #ParaSerFelices 💙",52,"07/15/2025 08:59",https://www.instagram.com/reel/DMImHytgGt9/,"Reel de Instagram",,Total,4882,1744,23,4,0,1,1
17914766208079570,17841465258460662,secre.bienestarsocialtulua,"SECRETARIA DE BIENESTAR SOCIAL","🎉 ¡Votar en los Consejos de Juventud sí trae beneficios!
Si eres joven y participaste, esto es para ti:

1️⃣ 10% de descuento en matrícula, pasaporte, cédula y libreta militar
2️⃣ Medio día libre compensatorio si trabajas
3️⃣ Rebaja de 1 mes en el servicio militar
4️⃣ Preferencia en exámenes de ingreso
5️⃣ Prevalencia para empleos en el Estado
6️⃣ Prioridad en becas y subsidios 🏠📚

🙌 ¡Tu participación sí cuenta!
#JuventudActiva #GrandesPorElección #ConsejosDeJuventud",0,"07/15/2025 06:17",https://www.instagram.com/p/DMITpVTsgS4/,"Secuencia de Instagram",,Total,8208,,80,39,,1,0
18108679594559102,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🌈 El Lago Chilicote recibió a la Ruta de la felicidad 🤩✨💙

Las familias de Sajonia, Salesianos y barrios aledaños vivieron una jornada inolvidable con salud 🩺, vacunación para peluditos 🐶🐾, arte y cultura 🎭, música en vivo 🎶 y toda la oferta institucional de la Alcaldía.

Un encuentro lleno de sonrisas, unión y alegría #ParaSerFelices ✨🌟",0,"09/07/2025 17:56",https://www.instagram.com/p/DOUmnrqj8yk/,"Secuencia de Instagram",,Total,8888,3521,155,10,2,0,3
18100274317528876,17841405319886733,central_de_transportes_tulua_,"Tulua central de transportes • Terminal Tulua • transporte Tuluá","✨🪁 ¡Un día espectacular en el Festival de Cometas en la Central de Transportes de Tuluá – fue todo un éxito.

Gracias a cada uno de los asistentes que llenaron el cielo de color y alegría, y a nuestros patrocinadores por hacer posible esta jornada inolvidable. 🙌💙

Porque cuando la comunidad se une, el viento siempre sopla a favor. 🌬️🎉

Gracias infinitas a nuestros patrocinadores:
@flotamagdalena 
@deoccidenteoficial 
@bolivarianocol 
@cooptransandina 
@trejosoficial 
@coovictorialtda 
@taxcentral_co 
@cootracaiceltda 
@seguridadservigpoder 
@papeleriasantamaria 
@viajaencoopetranstrujillo 
@mardeplata_joyeria 
@distribuidorafarallon 
@centroaguas.sa.esp 
@emtulua 
@mediamaratontulua 
@microtechoficial 
@retalvidriosyaluminiossas 
@colombinaoficial 
@alcaldiadetulua",0,"09/07/2025 16:55",https://www.instagram.com/p/DOUfllNjWOE/,"Secuencia de Instagram",,Total,3921,,67,2,,0,0
17860012662481023,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚔👊 Capturadas 5 personas que hurtaban el comercio en Tuluá🚨

Gracias a la denuncia ciudadana y a la rápida reacción de la @policiavalledelcauca, fueron capturadas 5 personas (3 hombres y 2 mujeres) señaladas de hurtar en establecimientos comerciales.

🔫 En el operativo se incautó un arma traumática y se recuperaron elementos robados.

📞 Recuerda: ante cualquier hecho delictivo, denuncia a la línea 123.",86,"09/07/2025 08:05",https://www.instagram.com/reel/DOTi7h4gD3K/,"Reel de Instagram",,Total,3475,1406,43,1,0,0,2
18086555917842137,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎶💃✨ Comuna 8 en movimiento regresó a Bosques de Maracaibo 🌳

Más de 200 personas disfrutaron de arte, cultura, deporte e inclusión en un encuentro lleno de alegría y talento local. 💙🙌 Espacios para que nuestras familias sean felices 💙✌🏽",31,"09/07/2025 06:01",https://www.instagram.com/reel/DOTUt13gNTs/,"Reel de Instagram",,Total,4755,1980,43,4,2,0,0
17956132457851715,17841405611300510,labakana103.1,"Tu Emisora La Bakana 103.1 FM","¡Así vivimos el 1 festival de Cometas en Tuluá !🪁",58,"09/07/2025 04:41",https://www.instagram.com/reel/DOTLUlKjrYe/,"Reel de Instagram",,Total,5758,,83,3,,3,0
17942465018918459,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","#Noticias | Conoce las noticias más importantes de la semana en el nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽",0,"09/06/2025 17:25",https://www.instagram.com/reel/DOR-Ojbj-Hj/,"Reel de Instagram",,Total,6554,3345,113,13,3,2,2
18049276106292722,17841465213107155,tuluaculturacol_,"DEPARTAMENTO DE ARTE Y CULTURA","🌺✨ ¡La cultura se vivió a lo grande en el corregimiento de Nariño! 🎶💃
Una tarde llena de música en vivo, arte y danza que unió a la comunidad en un espacio de alegría y tradición. 💙🌿

Gracias a todos los que nos acompañaron y hicieron parte de esta experiencia inolvidable. 🙌🎉

#culturaalparque",0,"09/05/2025 20:14",https://www.instagram.com/p/DOPs3XjjJz-/,"Secuencia de Instagram",,Total,5316,,71,3,,0,0
18070224952921561,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎶💃 Cultura al Barrio llegó a Siete Canchas con música, arte y mucho sabor.

La comunidad disfrutó de una tarde llena de alegría, cultura y diversión 🌟🙌.

Seguimos llevando espacios que transforman y llenan de vida a cada rincón de Tuluá 💙✨.
#ParaSerFelices",41,"09/05/2025 14:59",https://www.instagram.com/reel/DOPIuOFj-pn/,"Reel de Instagram",,Total,2790,1438,36,0,0,2,0
18067620913980810,17841440597983973,sincomidanohayalegria,"Encuentro de Cocinas Tradicionales","¡Agéndate con tu familia y nuestra cocina tradicional este 11, 12 y 13 de octubre! 

Un proyecto de la corporación @artejoven.

Con el apoyo de @mincultura a través de la Lista Bienal de proyectos de interés nacional 2024-2025.

#comidatradicional #valle",46,"09/05/2025 11:55",https://www.instagram.com/reel/DOOzV_zDSD2/,"Reel de Instagram",,Total,13248,,500,167,,4,0
17996537273672477,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🌳✨ Desliza y descubre cómo avanza la transformación del Parque Las Acacias en el 📍Sajonia.

✅ 35% de ejecución en obras de remodelación
🚶‍♀️ Senderos peatonales incluyentes
💪 Zonas de ejercicio y recreación
👨‍👩‍👧 Espacios para toda la familia
Y muchos más... 

Un parque moderno, accesible y lleno de vida para la comunidad 🌳💙 #ParaSerFelices",0,"09/05/2025 10:52",https://www.instagram.com/p/DOOsjBQjznj/,"Secuencia de Instagram",,Total,5506,1707,61,4,0,8,0
17867309385442891,17841465213107155,tuluaculturacol_,"DEPARTAMENTO DE ARTE Y CULTURA","🌟 La cultura llegó al sector de Siete Canchas para compartir con grandes y chicos momentos inolvidables ✨; arte 🎨, alegría 😄, danzas 💃, regalos 🎁 y mucho más 🎶💚",0,"09/04/2025 17:24",https://www.instagram.com/p/DOM0mipDMXf/,"Secuencia de Instagram",,Total,6195,,74,2,,4,0
