"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Toques en stickers","Clics en el enlace",Seguimientos
17947028556012504,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/31/2025 07:01",,"Historia de Instagram",,Total,800,682,7,0,1,0,781,5,,
17960233715988466,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/07/2025 16:24",https://instagram.com/stories/alcaldiadetulua/3716719197419425502,"Historia de Instagram",,Total,474,407,5,1,,0,457,,,
17881579689265007,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/07/2025 16:07",https://instagram.com/stories/alcaldiadetulua/3716710836149895902,"Historia de Instagram",,Total,494,422,6,0,,0,484,,,
18125706517470891,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/07/2025 16:07",https://instagram.com/stories/alcaldiadetulua/3716710800783521439,"Historia de Instagram",,Total,517,420,6,1,,0,502,,,
18078973729787756,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/07/2025 15:56",https://instagram.com/stories/alcaldiadetulua/3716705255217392505,"Historia de Instagram",,Total,523,438,6,0,,0,481,,,
18070807322131736,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/07/2025 15:56",https://instagram.com/stories/alcaldiadetulua/3716704978854725748,"Historia de Instagram",,Total,513,445,8,0,,0,497,,,
18071580827125437,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/07/2025 15:37",https://instagram.com/stories/alcaldiadetulua/3716695670930785216,"Historia de Instagram",,Total,515,448,7,0,1,0,504,,,
18325851097225030,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/07/2025 15:37",https://instagram.com/stories/alcaldiadetulua/3716695639674832717,"Historia de Instagram",,Total,516,454,6,0,,0,489,,,
18309021547174071,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/07/2025 15:37",https://instagram.com/stories/alcaldiadetulua/3716695525572949940,"Historia de Instagram",,Total,521,463,8,0,,0,490,,,
18317308090212153,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/07/2025 15:35",https://instagram.com/stories/alcaldiadetulua/3716694596626875549,"Historia de Instagram",,Total,556,475,7,0,,0,525,2,,
17893553568301256,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/07/2025 15:32",https://instagram.com/stories/alcaldiadetulua/3716693006692099264,"Historia de Instagram",,Total,575,488,9,0,,0,551,3,,
17971689740928030,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nuestros niños y las familias felices ✨🤩",33,"09/07/2025 15:31",https://instagram.com/stories/alcaldiadetulua/3716693061083853358,"Historia de Instagram",,Total,569,493,9,0,,0,559,,,
18122121097438342,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Así se vive la RUTA DE LA FELICIDAD🤩",11,"09/07/2025 15:30",https://instagram.com/stories/alcaldiadetulua/3716692041800834686,"Historia de Instagram",,Total,599,509,7,0,,0,582,,,
18344295769162251,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/07/2025 12:21",https://instagram.com/stories/alcaldiadetulua/3716596658873509736,"Historia de Instagram",,Total,668,539,6,0,1,0,613,,,
17944476243022099,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy en el 📍Lago Chilicote 🤩 Nos vemos ✌🏽",11,"09/07/2025 06:22",,"Historia de Instagram",,Total,679,556,5,2,,0,637,,,
18525380803026769,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/07/2025 06:04",,"Historia de Instagram",,Total,662,579,7,0,,0,620,,,
18099621187612433,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/06/2025 20:17",,"Historia de Instagram",,Total,621,524,3,0,,0,606,2,,
18057269321161841,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Caravanas por la Vida 💪🏼✅",37,"09/06/2025 19:46",,"Historia de Instagram",,Total,779,617,6,2,,1,613,,,
18077812561952017,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 19:20",,"Historia de Instagram",,Total,627,525,7,0,1,1,610,4,,
18075096971082323,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 19:20",,"Historia de Instagram",,Total,617,547,6,0,,0,593,,,
18090168388774799,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/06/2025 17:26",,"Historia de Instagram",,Total,557,478,6,0,2,0,503,,,
17995235027676573,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/06/2025 16:48",,"Historia de Instagram",,Total,521,471,3,0,,0,512,7,,
18287199400286248,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/06/2025 16:41",,"Historia de Instagram",,Total,531,478,4,0,,0,521,5,,
18220907935306678,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,10,"09/06/2025 16:39",,"Historia de Instagram",,Total,553,479,5,0,1,0,543,3,,
17909479881215233,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/06/2025 16:38",,"Historia de Instagram",,Total,559,483,4,0,,0,547,4,,
18099540700554373,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 16:38",,"Historia de Instagram",,Total,535,484,6,0,,0,522,,,
17976319568919344,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 16:38",,"Historia de Instagram",,Total,542,488,6,0,,0,533,,,
17881935627259156,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 16:38",,"Historia de Instagram",,Total,557,498,5,0,3,0,551,,,
18083128252906016,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 16:38",,"Historia de Instagram",,Total,572,503,6,0,,0,561,,,
18078195557069703,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 16:38",,"Historia de Instagram",,Total,558,509,8,1,,0,527,,,
18060391967090631,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💫FESTIVAL DE COMETAS🪁  Con éxito terminamos nuestro gran ¡Gracias, Tuluá!😎✌🏽 @labakana103.1 @central_de_transportes_tulua_",7,"09/06/2025 16:37",,"Historia de Instagram",,Total,721,593,7,0,,0,529,,,
17875562856407960,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Tuluá siempre ✨ARRIBA Y FELIZ💙✌🏽",12,"09/06/2025 16:35",,"Historia de Instagram",,Total,591,524,5,0,,0,550,,,
18161610271335465,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Gracias Bosques de Maracaibo 💙✨ Comuna 8 en movimiento regresó con toda ✌🏽🤩",11,"09/06/2025 15:43",,"Historia de Instagram",,Total,561,500,5,0,,0,559,,,
18081218785743833,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 15:41",,"Historia de Instagram",,Total,587,504,7,0,,0,564,2,,
17850527829542570,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 15:41",,"Historia de Instagram",,Total,577,504,3,0,1,0,560,,,
18136668772438201,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 15:41",,"Historia de Instagram",,Total,561,508,3,0,,0,530,,,
18026868227519967,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 15:41",,"Historia de Instagram",,Total,571,513,4,0,1,0,527,,,
18057865916126174,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 15:41",,"Historia de Instagram",,Total,591,539,3,1,,0,562,,,
18386945026122110,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","A esta hora la comunidad de 📍Bosques de Maracaibo disfruta una tarde de arte y cultura, con música del DJ Deyner🤩✌🏽😎",47,"09/06/2025 14:12",,"Historia de Instagram",,Total,593,516,3,0,2,0,583,,,
18091551901690987,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 13:48",,"Historia de Instagram",,Total,601,521,6,0,1,0,587,,,
17963246234966972,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nuestras cometas listas para volar 🪁 @labakana103.1",15,"09/06/2025 13:45",,"Historia de Instagram",,Total,1515,1322,5,0,,0,585,,,
17915022171053961,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Listos! 😎✌🏽 En minutos iniciamos con nuestro gran FESTIVAL DE COMETAS🪁💫",8,"09/06/2025 13:16",,"Historia de Instagram",,Total,617,537,5,0,,0,534,,,
17916729801176795,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Mucha cultura en este espacio para las familias 💙🤩✨ 📍 Bosques de Maracaibo",17,"09/06/2025 13:15",,"Historia de Instagram",,Total,602,539,2,0,,0,583,,,
18530141881050560,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Comuna 8 en movimiento ✌🏽😎 Ya iniciamos… 📍Bosques de Maracaibo",60,"09/06/2025 13:14",,"Historia de Instagram",,Total,635,550,5,0,,0,620,,,
18084827476859527,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/06/2025 12:16",,"Historia de Instagram",,Total,640,550,2,0,,0,621,,,
17901536601255496,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Trabajo con la comunidad de la zona rural  Mejoramiento de Vía🚧🚜 📍El Retiro y el Guayabito",19,"09/06/2025 12:15",,"Historia de Instagram",,Total,1669,1238,3,0,1,0,635,,,
18070805032936524,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/06/2025 10:00",,"Historia de Instagram",,Total,1387,1005,4,0,,0,646,,,
17866677420444149,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","ES HOY ES HOY 😎",15,"09/06/2025 09:09",,"Historia de Instagram",,Total,676,564,3,0,,0,628,,,
18101407489606273,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/06/2025 05:56",,"Historia de Instagram",,Total,643,566,3,0,,0,635,,,
18386321326124512,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Así vivimos Cultura al Parque en 📍 Nariño😎",15,"09/05/2025 22:04",,"Historia de Instagram",,Total,675,578,3,0,,0,667,,,
17863284720394126,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/05/2025 21:26",,"Historia de Instagram",,Total,690,567,3,0,,0,658,,,
18020339813754606,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/05/2025 21:17",,"Historia de Instagram",,Total,689,584,5,1,1,0,674,,,
