Registro,Dispositivo,Fecha de nacimiento,Género,¿Qué tan satisfecho está con su vida actualmente?,¿Hasta qué punto siente que las cosas que hace en su vida diaria valen la pena?,"<b>Pensando en tu bienestar emocional, ¿qué tan feliz o ansioso(a) te sentiste ayer?</b>",<b>¿Qué aspecto cambiarías en Tuluá para mejorar tu bienestar y el de los demás?</b>,¿Mejorarías algo en tu Barrio?,¿En que barrio resides y que harías para mejorarlo?,Duración
2024-11-19 15:21:59,phone,1966-05-21,female,6,,Preocupada por la seguridad de mi ciudad,La seguridad es el mejor lugar para vivir pero no hay seguridad vivimos con mucho miedo,SI,Villa campestre.   Mucha  pólvora en diciembre eso perturba la tranquilidad de todos  y las vías están en muy mal estado,02:02
2024-11-19 11:17:08,phone,2001-07-31,male,7,9,Neutral,Más espacios de actividad deportiva gratuitas como running,SI,"Lusitania, actividades de integración con los vecinos",01:27
2024-11-19 09:20:05,phone,1983-05-18,male,7,8,Neutral,"La seguridad, y la estabilidad económica",NO,"José Antonio galan, creo que mi barrio dentro de lo posible está bien.",02:12
2024-11-19 08:58:51,phone,1977-02-22,female,7,8,Un poco ansioso,La seguridad y que generen empleo,SI,"Barrio popular, cooperar para mantener limpias sus calles y que halla seguridad",02:16
2024-11-19 08:47:55,phone,1975-04-27,female,8,8,Feliz,"Seguridad, empleo, recreación",SI,Panamericano  parques o espacios verdes para compartir,02:43
2024-11-19 07:51:14,computer,1957-09-28,male,8,8,Neutral,"El bienestar está en mí, en las cosas que disfruto conmigo mismo como para no pensar en el cómo mejorar mi transcurrir en la ciudad cuando me encuentro un mundo de personas esclavizadas en su vivir como que le tienen miedo a que les pese la libertad.",NO,"Victoria, por ser un barrio de los más antiguos ya hay poco para mejorarlo, darle pequeñas reformas como aprovechar los pequeños espacios .",10:19
2024-11-19 07:43:09,phone,1987-06-03,male,8,5,Neutral,"Darle más vida al río Tuluá, haciéndolo un lugar de recreación y deportivo.",SI,"Aguaclara  Callejón 7 vueltas. Falta parque para niños y abuelos,  mejorar la seguridad.",10:18
2024-11-19 03:21:13,phone,1978-11-04,male,10,10,Muy Feliz,Seguridad,SI,El refugio. Seguridad más policia,03:39
2024-11-19 03:08:21,phone,1989-10-17,male,7,7,Feliz,"Que se mejore la seguridad la tranquilidad es importante, además el comercio las extinciónes varios negocios cerrados acaba la ciudad también que pinten los pare y siga señalizaciones mucho accidente y es q hay varios puntos que uno no sabe quién tiene la vía más campañas en esto tambien",SI,Moralito las vías de acceso a este barrio y el bosque están sin pavimentar y hay mucha piedra,04:17
2024-11-19 01:35:00,phone,2005-04-27,female,8,8,Un poco ansioso,"Pintar los policías acostados , mejor las vías y tener más responsabilidad vial",SI,"En lago , las calles",01:15
2024-11-19 00:23:47,phone,1985-03-08,female,9,10,Feliz,Poder tener un negocio que no saboteen los que quieren el dinero fácil,SI,"Bosques de Maracaibo,  que se hicieran eventos importantes, bosques es una ciudadela prácticamente",07:59
2024-11-19 00:20:25,phone,1989-05-26,female,8,8,Feliz,Tuluá debería tener sitios de recreación familiar,SI,"Villa campestre y para mejorarlo se necesita inversión y acción en las vías que están en pésimo estado, así como mejorar su seguridad",01:52
2024-11-18 23:21:57,phone,1998-05-12,male,6,7,Neutral,Mayor inversión social y educación   Más seguridad,SI,7 de agosto   Más presencia policial,01:14
2024-11-18 23:13:21,phone,1981-05-30,female,7,10,Muy Feliz,La Seguridad,NO,"Lomitas , señalizacion y pavimentar calles que están en tierra",01:46
2024-11-18 22:57:14,phone,1947-06-08,female,,8,Feliz,La seguridad,NO,Me crié en Tuluá pero viv9 en cal8,03:45
2024-11-18 22:43:00,phone,1976-11-15,female,9,8,Feliz,"Más seguridad en los.parques para disfrutar en familia .pavimentación en los barrios ,mejor refrigerios escolares más atención a.los.niños en las escuelas y colegios para evitar bullying, mejor educación .y deportes gratis",SI,Buenos aires .Pavimentación de.emi cuadra para disfrutar conmi familia y vecinos,03:08
2024-11-18 22:04:34,phone,1980-04-04,female,10,10,Triste,La seguridad,SI,Palmar Mas union con los vecinos,02:03
2024-11-18 20:57:18,phone,1979-12-05,male,7,8,Feliz,Oportunidades de trabajo digno,SI,"Victoria, seguridad",01:24
2024-11-18 20:54:16,phone,1983-06-12,female,8,10,Muy Feliz,Mas seguridad,SI,"Alvernia, revisar la facturacion de los servicios publicos",01:45
2024-11-18 18:57:53,phone,1986-03-24,male,6,6,Muy ansioso,"El tema de servicios públicos, pocas oportunidades laborales, la inseguridad, los arrendamientos costosos, la falta de oportunidades",SI,Alvernia,02:43
2024-11-18 17:23:41,phone,1994-01-31,male,10,10,Feliz,La seguridad es lo que le hace mucha falta a los tulueños,SI,En aguaclara vía los caímos mejoraría la vía principal ya que yo vivo en una curva que es peligrosa pondría unos reductores de velocidad,02:53
2024-11-18 14:05:33,phone,1965-06-19,female,4,,Neutral,Volver e estos gratuitos para todos ya se avotaron,SI,Portales del rio.con acuerdos para mejoramiento de cada familia,03:55
2024-11-18 13:05:07,phone,1966-08-15,male,7,8,Feliz,"Aumentar las fuentes de trabajo, y que estas no dependan de los políticos de turno en la administración.",SI,Moralito el bosque sus calles están sin pavimentar.,02:37
2024-11-18 12:54:30,phone,1956-02-19,male,,8,Feliz,"La obra que ponga la ciudad en movilidad,gestionando un cruce vial en la antigua terminal.y un tren urbano de San pedro aguaclara por la línea ferrea.",SI,"Los parques.mas equipos,luz y mantenimiento.debe ser el orgullo de cada sector.",03:34
2024-11-18 11:46:35,phone,1985-12-07,male,10,10,Muy Feliz,Que allá cámaras de seguridad,SI,Tercer milenio calle 5C17-28 señales de pare,04:35
2024-11-18 11:41:59,phone,1988-04-11,male,10,10,Un poco ansioso,Más oportunidades de vivienda,SI,Bosques de maracaibo mejorar que no hagan tanto ruido en las noches,01:45
2024-11-18 11:25:04,phone,1963-12-16,female,9,8,Muy Feliz,La basura regada en tantos lugares. Las heces de los perros en calles andenes para las personas que caminamos es terrible.,NO,,05:57
2024-11-16 11:44:02,phone,1996-05-15,female,10,10,Feliz,La seguridad,SI,Aguaclara  Seguridad,01:12
2024-11-16 11:21:38,phone,1980-03-16,male,7,7,Un poco ansioso,Vida social,SI,Fátima,05:54
2024-11-16 10:29:47,phone,1969-04-14,female,5,5,Un poco ansioso,"Que no molesten los vendedores ,y la gente que vive del diario en sus motos,aveces no tienen papeles al día porque o comen o los adquieren.",SI,"Progresar La bulla ,es demasiada aveces hasta tres días seguidos con un equipo sin parar prendido.",02:32
