"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Respuestas,Navegación,"Visitas al perfil","Toques en stickers",Seguimientos,"Clics en el enlace"
18030369860724146,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/16/2025 13:45",,"Historia de Instagram",,Total,768,651,3,0,0,737,,2,,
18080804215994232,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/16/2025 13:45",,"Historia de Instagram",,Total,794,669,6,0,0,750,1,,,
18072712043192113,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¿Las conoces?🤔",15,"10/27/2025 15:36",,"Historia de Instagram",,Total,739,650,4,0,0,716,,,,
18076302668231343,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Este domingo nos vemos 😎✌🏽",20,"10/27/2025 14:42",,"Historia de Instagram",,Total,757,670,3,2,0,733,,,,
18295013938281282,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/27/2025 14:42",,"Historia de Instagram",,Total,781,693,3,0,0,747,,,,
17990944823855809,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,52,"10/27/2025 13:47",,"Historia de Instagram",,Total,834,733,6,0,0,799,2,6,,
18052505528645211,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","GRACIAS TULUÁ 🔥🙌🏼 Nos vemos el otro año",42,"10/27/2025 08:39",,"Historia de Instagram",,Total,932,806,8,0,0,866,2,,,
18083297677967141,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Así vivimos este domingo ✨✌🏽 Así vivimos este domingo ✨✌🏽 @cuartodemillatulua_2025 🔥",20,"10/26/2025 16:57",,"Historia de Instagram",,Total,2929,2216,7,0,1,896,3,4,,
18070913024461543,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,60,"10/26/2025 16:06",,"Historia de Instagram",,Total,928,842,7,0,0,854,2,,,
18070365143033428,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,20,"10/26/2025 13:41",,"Historia de Instagram",,Total,976,863,6,0,0,942,2,4,,
17976834008944156,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2025 13:41",,"Historia de Instagram",,Total,1014,873,4,0,0,956,,10,,
18076221668323996,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2025 13:40",,"Historia de Instagram",,Total,1002,882,8,0,0,932,2,13,,
18064024397134518,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","1/4 de Milla🔥",28,"10/26/2025 13:39",,"Historia de Instagram",,Total,1015,906,7,0,0,954,3,2,,
18404660209185292,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Domingo familiar 😎 Hoy en el 1/4 de Milla Tuluá💨🔥",20,"10/26/2025 11:41",,"Historia de Instagram",,Total,1081,932,7,0,0,1048,2,6,,
17938633617087889,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/26/2025 11:38",,"Historia de Instagram",,Total,1091,944,4,0,1,1044,2,11,,
18062010896398966,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","1/4 de Milla 😎✌🏽",20,"10/26/2025 11:38",,"Historia de Instagram",,Total,1159,967,2,0,0,1111,,,,
17900107839164386,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,20,"10/26/2025 11:33",,"Historia de Instagram",,Total,1196,1007,3,0,0,1120,,,,
18063381026119577,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,20,"10/25/2025 18:25",,"Historia de Instagram",,Total,1090,910,6,0,0,1046,2,16,,
18537065464050743,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","✨Así vivimos el✨",20,"10/25/2025 18:25",,"Historia de Instagram",,Total,1123,971,8,0,0,1060,,3,,
18023434673776147,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 14:42",,"Historia de Instagram",,Total,1080,931,4,0,0,1052,3,2,,
18093900205666850,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 14:42",,"Historia de Instagram",,Total,1097,936,4,0,0,1069,,3,,
18084186019811622,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,54,"10/25/2025 14:38",,"Historia de Instagram",,Total,2741,2141,30,0,0,1066,,,,
18089049595906032,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 14:37",,"Historia de Instagram",,Total,1108,943,7,0,0,1036,,2,,
18054996794300666,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 14:33",,"Historia de Instagram",,Total,1114,951,7,5,0,1058,,4,,
17934135278984112,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 14:33",,"Historia de Instagram",,Total,1187,961,10,0,0,1116,1,,,
18018649160606039,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,10,"10/25/2025 13:51",,"Historia de Instagram",,Total,2675,2033,11,0,0,1013,9,,,
18419627899119355,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Lilo & Stitch ✨🤩",13,"10/25/2025 12:32",,"Historia de Instagram",,Total,1243,1006,6,0,0,983,,,,
18054655598308776,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","La Granjita 🐷🐓",9,"10/25/2025 12:31",,"Historia de Instagram",,Total,1087,900,7,0,0,995,,,,
17948164935026828,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 12:30",,"Historia de Instagram",,Total,1080,900,8,2,0,1054,1,2,1,
18073089332191032,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,33,"10/25/2025 12:28",,"Historia de Instagram",,Total,1063,906,4,0,0,1041,,,,
18330892738239377,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 12:27",,"Historia de Instagram",,Total,1073,914,4,0,0,990,,,,
18068013353054559,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 12:27",,"Historia de Instagram",,Total,1073,921,3,0,0,969,,,,
17878796445421176,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/25/2025 12:26",,"Historia de Instagram",,Total,1109,932,3,0,0,1084,,6,,
18079988969095579,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 12:26",,"Historia de Instagram",,Total,1159,969,4,0,0,1077,,4,,
17922936846169269,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 12:26",,"Historia de Instagram",,Total,1127,948,3,0,0,1041,2,,,
18184843720339921,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,20,"10/25/2025 12:25",,"Historia de Instagram",,Total,1158,966,5,0,1,1125,,15,,
18532053058031583,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 10:40",,"Historia de Instagram",,Total,1147,985,3,0,0,1126,,,,
18044511905418855,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 10:40",,"Historia de Instagram",,Total,1152,1001,5,1,0,1125,,2,,
18508124815069600,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 10:40",,"Historia de Instagram",,Total,1173,1018,3,0,0,1055,,,,
18080187193858727,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 10:40",,"Historia de Instagram",,Total,1229,1043,5,0,0,1187,,,,
18072786368257880,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 10:39",,"Historia de Instagram",,Total,1288,1069,2,0,0,1220,1,12,,
17891681970221885,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 10:30",,"Historia de Instagram",,Total,1269,1074,7,0,0,1174,,2,,
18023502536585594,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 10:25",,"Historia de Instagram",,Total,1238,1073,3,0,0,1102,1,2,,
18062046131166762,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Mago de Oz🪄",26,"10/25/2025 10:20",,"Historia de Instagram",,Total,1262,1079,6,0,0,1204,,,,
18128770378490915,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 10:15",,"Historia de Instagram",,Total,1281,1081,6,0,0,1132,,,,
18509970673067911,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","La Bella Durmiente 🤩✨",7,"10/25/2025 10:14",,"Historia de Instagram",,Total,1299,1095,7,0,0,1096,1,,,
17919019926056388,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","✨Cenicienta ✨",25,"10/25/2025 10:08",,"Historia de Instagram",,Total,1318,1110,13,0,0,1229,1,,,
17946358035027169,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,22,"10/25/2025 09:53",,"Historia de Instagram",,Total,1363,1110,7,0,0,1262,,,,
18151164655409874,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 09:53",,"Historia de Instagram",,Total,1425,1119,5,0,0,1259,,2,,
17960843990851058,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","La sirenita 🧜‍♀️",7,"10/25/2025 09:49",,"Historia de Instagram",,Total,1429,1152,11,0,0,1151,,,,
18101050162638010,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Rin rin Renacuajo 🐸",5,"10/25/2025 09:38",,"Historia de Instagram",,Total,1385,1173,6,0,0,1072,,,,
18077217215146326,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,9,"10/25/2025 09:31",,"Historia de Instagram",,Total,1377,1175,7,0,0,1290,,,,
17897285751321653,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Llegó el",15,"10/25/2025 09:17",,"Historia de Instagram",,Total,1437,1182,5,0,0,1372,3,,,
17919009792056711,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Nuestro Coliseo ya abrió las puertas! 🤩🙌🏽",3,"10/25/2025 09:05",,"Historia de Instagram",,Total,1444,1218,6,1,1,1039,,,,
18075181040177043,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,7,"10/25/2025 08:58",,"Historia de Instagram",,Total,1543,1260,12,2,0,1210,1,2,,
18063587690141983,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡YA ABRIMOS NUESTRAS PUERTAS! Ven ahora ✌🏽🤩",6,"10/25/2025 08:39",,"Historia de Instagram",,Total,1804,1408,7,1,0,1126,2,2,,
18024901082572651,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,13,"10/25/2025 05:58",,"Historia de Instagram",,Total,1563,1258,8,2,0,1498,5,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18071034419524192.",Total,1477,1229,5,0,0,1280,3,,,
18055880873639909,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2025 05:47",,"Historia de Instagram",,Total,1534,1320,5,1,0,1474,2,8,,
18062884805435492,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","DESDE LAS 10:00 a. m.😎🤩 ¡Entrada gratis!✌🏽",41,"10/25/2025 04:32",,"Historia de Instagram",,Total,1540,1307,5,0,0,1503,2,,,
18076267756922220,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS HOY ✨🤩",59,"10/25/2025 04:31",,"Historia de Instagram",,Total,1664,1396,12,1,4,1585,1,,,
18083431972998957,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","MAÑANA 😎😎😎",58,"10/24/2025 17:02",,"Historia de Instagram",,Total,1469,1236,5,1,8,1390,5,,,
18109792942607954,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/24/2025 17:02",,"Historia de Instagram",,Total,1470,1266,7,0,0,1421,1,4,,
18058522850218742,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/24/2025 17:01",,"Historia de Instagram",,Total,1491,1282,6,1,0,1414,,,,
18061001177630583,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/24/2025 17:01",,"Historia de Instagram",,Total,1633,1318,2,0,1,1585,1,1,,
17848706628555049,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,20,"10/24/2025 16:06",,"Historia de Instagram",,Total,1762,1324,2,0,0,1659,,,,105
18390002383125003,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,18,"10/24/2025 15:05",,"Historia de Instagram",,Total,1580,1307,2,0,1,1487,1,,,
18055584722634331,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,28,"10/24/2025 09:14",,"Historia de Instagram",,Total,1167,978,6,0,0,1056,1,,1,
18086689310310234,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,20,"10/24/2025 09:10",,"Historia de Instagram",,Total,2263,1688,8,1,1,1113,1,,,
18048943799368409,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,58,"10/23/2025 17:05",,"Historia de Instagram",,Total,884,720,5,0,0,791,3,,2,
17914853550209223,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/23/2025 12:04",,"Historia de Instagram",,Total,726,627,3,0,0,674,5,,,
18311308519220106,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/23/2025 09:18",,"Historia de Instagram",,Total,713,621,5,0,0,665,3,4,,
18092368495854925,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/23/2025 09:18",,"Historia de Instagram",,Total,709,630,6,1,1,651,2,,,
18406050325190522,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/23/2025 09:18",,"Historia de Instagram",,Total,709,645,6,0,1,635,1,3,,
18056476910560884,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/23/2025 09:18",,"Historia de Instagram",,Total,728,657,4,0,0,680,,,,
18087386770737773,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Faltan 7 días para pagar con el descuento del 90%😎✌🏽 ¡APROVECHA!✅",15,"10/23/2025 08:16",,"Historia de Instagram",,Total,773,670,3,0,1,738,1,,,
17944078109935020,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@gobvalle @vallebienestaranimal",20,"10/23/2025 08:15",,"Historia de Instagram",,Total,962,820,3,0,0,753,,,,
18115177588552779,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Atendiendo las afectaciones tras fuertes lluvias 💪🏼 Estamos",18,"10/22/2025 17:53",,"Historia de Instagram",,Total,827,694,5,6,0,741,2,,,
17909033196248086,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","En 4 días volveremos a vivir esta gran experiencia ✨🤩😎",60,"10/22/2025 13:59",,"Historia de Instagram",,Total,651,548,4,1,0,608,,,,
17870408343450603,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,10,"10/22/2025 13:57",,"Historia de Instagram",,Total,659,561,5,0,0,580,,,1,
18083205986315325,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/22/2025 13:48",,"Historia de Instagram",,Total,671,567,3,0,0,641,,,,
17962355595005101,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,25,"10/22/2025 13:20",,"Historia de Instagram",,Total,1210,988,9,0,0,614,1,,,
17882460786400110,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,34,"10/22/2025 10:46",,"Historia de Instagram",,Total,747,619,8,1,0,677,1,,,
17862422847436763,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"10/22/2025 10:12",,"Historia de Instagram",,Total,734,628,5,0,0,699,,,,
17874544146429467,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,31,"10/22/2025 08:49",,"Historia de Instagram",,Total,778,672,4,0,0,736,,,,
18064961789096705,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Con efectividad del Protocolo de Respuesta ✅👌🏼",19,"10/22/2025 08:46",,"Historia de Instagram",,Total,1089,835,5,1,0,742,1,,,
17999153600828532,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nos unimos al  PRIMER SIMULACRO NACIONAL DE RESPUESTA A EMERGENCIAS ‼️ 🚨",60,"10/22/2025 08:44",,"Historia de Instagram",,Total,1297,988,11,0,0,807,,,,
18128463475489667,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,41,"10/22/2025 06:51",,"Historia de Instagram",,Total,1629,1216,7,0,0,803,,,,
17860090626519264,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,59,"10/21/2025 18:04",,"Historia de Instagram",,Total,921,783,13,0,0,855,2,,,
18061992392428559,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@robertposadarosero,49,"10/21/2025 15:49",,"Historia de Instagram",,Total,913,790,10,0,0,869,,,,
18002586773816661,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@parquedelaguadua,45,"10/21/2025 14:45",,"Historia de Instagram",,Total,951,795,4,1,0,897,2,5,1,
18486488089074513,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy participando del Encuentro Departamental de Innovación y Agro ✌🏽✅ El alcalde @gustavovelezr",15,"10/21/2025 11:37",,"Historia de Instagram",,Total,1004,802,4,0,0,941,2,2,,
17965611995828001,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/21/2025 11:34",,"Historia de Instagram",,Total,1008,820,8,1,1,963,1,,,
18391026925121776,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/21/2025 11:34",,"Historia de Instagram",,Total,1041,879,5,0,0,939,1,2,,
17945406015062106,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/20/2025 19:28",,"Historia de Instagram",,Total,674,552,6,0,0,640,1,,,
18416728171119362,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/20/2025 17:38",,"Historia de Instagram",,Total,636,534,3,0,0,612,1,,,
18075776789277990,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/20/2025 17:38",,"Historia de Instagram",,Total,658,564,4,0,0,627,1,,,
18535077787026383,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/20/2025 10:25",,"Historia de Instagram",,Total,586,482,4,0,0,568,,4,,
18049499135339696,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Y ESTE DOMINGO 😎",15,"10/20/2025 10:21",,"Historia de Instagram",,Total,581,494,4,3,0,556,,4,,
18146369563423958,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,30,"10/20/2025 10:15",,"Historia de Instagram",,Total,594,502,5,7,0,566,,5,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18103724698628464.",Total,604,504,3,1,1,571,1,,1,
17848173084581647,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","📍 San Lorenzo  90% de avance en la 90% de avance en la Construcción de Muro 🚧 ✅",11,"10/20/2025 07:36",,"Historia de Instagram",,Total,620,530,5,0,0,592,,,,
18083007533062315,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/20/2025 07:26",,"Historia de Instagram",,Total,648,567,4,0,1,607,2,,,
17979575960768636,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/19/2025 13:44",,"Historia de Instagram",,Total,1367,1133,3,0,0,1057,2,,,
17987777009728641,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Ejerce tu derecho al voto 🗳️",0,"10/19/2025 06:46",,"Historia de Instagram",,Total,1586,1218,3,0,0,1421,3,,,
17903573088268107,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Puesto de Mando Unificado Elecciones de Consejo Municipal de Juventudes ✅",11,"10/19/2025 05:50",,"Historia de Instagram",,Total,1569,1334,6,1,0,1430,2,,,
18536469925000416,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,58,"10/18/2025 13:09",,"Historia de Instagram",,Total,960,856,7,0,0,908,2,,,
18074257724179200,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Míralo ahora: @camaratulua @supercentrotulua",11,"10/18/2025 11:04",,"Historia de Instagram",,Total,1157,987,2,0,0,822,1,,,2
18034468235710918,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Primer día de la Feria de AgroTurismo 😎💪🏼 Y Negocios  @gustavovelezr  @camaratulua",30,"10/18/2025 06:26",,"Historia de Instagram",,Total,2076,1615,7,0,0,812,1,,,
18071840825212749,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Este 16 de noviembre 😎 Regresa la @mediamaratontulua",37,"10/18/2025 06:11",,"Historia de Instagram",,Total,1809,1507,5,0,0,850,,,,
17925599766115912,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","El alcalde @gustavovelezr presente en la Feria AgroTurismo de la @camaratulua 😎😎",15,"10/17/2025 18:41",,"Historia de Instagram",,Total,831,681,2,0,0,596,2,,,
18022405697767728,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/17/2025 18:40",,"Historia de Instagram",,Total,654,555,1,0,0,633,,,,
18081301457083880,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/17/2025 18:16",,"Historia de Instagram",,Total,708,566,2,0,0,675,,4,,
17948287770026396,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/17/2025 18:16",,"Historia de Instagram",,Total,731,596,9,0,0,683,3,,,
18155019421364401,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,9,"10/17/2025 16:25",,"Historia de Instagram",,Total,665,563,6,1,0,590,,,,
18132210922424348,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@camaratulua  12 Feria de AgroTurismo y Negocios 💪🏼",8,"10/17/2025 16:02",,"Historia de Instagram",,Total,949,767,6,0,0,555,2,,,
17878890006309430,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/17/2025 15:18",,"Historia de Instagram",,Total,678,556,7,0,0,645,1,5,,
18105290524621419,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/17/2025 14:49",,"Historia de Instagram",,Total,741,573,12,2,0,706,2,10,,
