"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Segundos reproducidos","Segundos en promedio reproducidos","CPM del anuncio (USD)","Impresiones del anuncio","Total de clics","Clics de otro tipo","Clics en el enlace","Consumo de segmentación del público coincidente (Photo Click)","Comentarios negativos de los usuarios: Ocultar todo","Ingresos estimados (USD)"
1276563701177626,100064720237286,"Alcaldía de Tuluá","#Halloween | Más de 10.000 sonrisas iluminaron el Mundo de la Fantasía 2025.

El Coliseo de Ferias Manuel Victoria Rojas se llenó de alegría, color y diversión con la llegada de más de 10.000 tulueños que disfrutaron de un día mágico en el Mundo de la Fantasía 2025.

Lee la noticia completa: ⬇⬇⬇
",,0,"10/27/2025 15:41",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0Q2y8scURouHcrst9JrUn6N8WykuE3spo5kRRky9wjULMd4jhTBP21t97jcMisbqjl,0,0,Enlaces,,,,,Total,3584,2385,19,18,1,0,,,,,49,23,26,,,
1276562771177719,100064720237286,"Alcaldía de Tuluá","#Noticias | 1/4 de Milla Tuluá cerró el año con una jornada llena de adrenalina y velocidad.

El 1/4 de Milla Tuluá  vivió su última válida del año con una jornada cargada de emoción, velocidad y adrenalina, que reunió a miles de aficionados del automovilismo en el Aeropuerto Heriberto Gil Martínez, una de las pistas más importante de esta categoría en el país.

Lee la noticia completa: ⬇⬇⬇
",,0,"10/27/2025 15:39",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0uKjQQ7NkbbjzyB3pX3BJjr5TMA1e71FCMm2EYbHFHux6mhtERQEiwXQt98mY24Cgl,0,0,Enlaces,,,,,Total,965,638,9,8,0,1,,,,,5,2,3,,,
1276498444517485,100064720237286,"Alcaldía de Tuluá","¿Qué son las violencias basadas en género y cómo identificarlas?🚫💜

Desliza 👉🏼 y descubre cómo prevenirlas y decir ¡basta! 🚫
 
Toda acción o conducta que cause daño, sufrimiento o afecte la vida de una persona por su género, identidad o expresión de género es una forma de violencia que debemos rechazar. 🙅🏽‍♀️

💬 Reconocerlas es el primer paso para prevenirlas.

📞 Si necesitas ayuda, comunícate con la Línea 155 o con la Patrulla Violeta: 317 648 8146",,0,"10/27/2025 13:26",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02HkkbBjAz6uLo9veUn7QpHb6HrJwHEjzRUjS4KGpSpny75ACayarJt9GhRDP7MPjHl,0,0,Fotos,,,,,Total,1343,837,25,15,0,10,,,,,23,4,,19,,
1276326844534645,100064720237286,"Alcaldía de Tuluá","#Obras | Nuevas vías para la montaña tulueña

Estas obras, avanzan significativamente en sectores como Quebradagrande, donde ya se registra un progreso del 80% al 90% en su construcción, con aportes del municipio en materiales, maquinaria y adecuación de la vía.

Lee la noticia completa: ⬇⬇⬇
",,0,"10/27/2025 08:46",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid03Fj4EyDeKY2zBN3bnbQ9wAN2YxAupX2YHMyRr1N51ytkFw58bwAtLVak6rQ94Frsl,0,0,Enlaces,,,,,Total,4323,3001,47,34,5,8,,,,,64,36,28,,1,
1276321381201858,100064720237286,"Alcaldía de Tuluá","🏁 ¡Así cerramos con toda la fuerza del motor! 💥

El Cuarto de Milla Tuluá 2025 rugió por última vez este año con una jornada llena de adrenalina, velocidad y emoción. 🚗💨
Pilotos de todo el país y miles de asistentes hicieron vibrar la pista en un espectáculo que une familias, equipos y pasión por el automovilismo. 🔥

💪 ¡Nos vemos en la próxima temporada, porque en Tuluá… la emoción no se detiene! 🏁 #ParaSerFelices","🏁 ¡Así cerramos con toda la fuerza del motor! 💥

El Cuarto de Milla Tuluá 2025 rugió por última vez este año con una jornada llena de adrenalina, velocidad y emoción. 🚗💨
Pilotos de todo el país y miles de asistentes hicieron vibrar la pista en un espectáculo que une familias, equipos y pasión por el automovilismo. 🔥

💪 ¡Nos vemos en la próxima temporada, porque en Tuluá… la emoción no se detiene! 🏁 #ParaSerFelices",42,"10/27/2025 08:38",N/A,https://www.facebook.com/reel/24973048875716051/,1,0,Videos,,,,,Total,1487,1286,36,26,0,10,7296.491,5.272,0,0,4,4,,,,0
1275729404594389,100064720237286,"Alcaldía de Tuluá","#Noticias | Desde el #MundodelaFantasía2025, te traemos las noticias más importantes de la semana en 45 Segundos #ParaSerFelices 🤩✌🏽","#Noticias | Desde el #MundodelaFantasía2025, te traemos las noticias más importantes de la semana en 45 Segundos #ParaSerFelices 🤩✌🏽",79,"10/26/2025 16:03",N/A,https://www.facebook.com/reel/1286767336557665/,1,0,Videos,,,,,Total,1397,1295,29,23,0,6,11048.78,8.545,0,0,9,9,,,,0
1275664101267586,100064720237286,"Alcaldía de Tuluá",,,0,"10/26/2025 13:59",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0f7QxzNdsGG5oS5MjQjKekKh6xiv2pCC3uxEsb2USEFJKZ2K5jsuVs1koCRmz8BX5l,0,1,Fotos,,,,,Total,2722,1512,20,17,0,0,,,,,290,77,,213,,
1275662941267702,100064720237286,"Alcaldía de Tuluá","🏁 ¡Último día del 1/4 de milla! 🏁

Por tercera vez en el año, este emocionante encuentro vuelve a reunir a las familias tulueñas en una jornada llena de adrenalina, velocidad y diversión. 🚗💨

🔥 Más de 200 pilotos de todo el país se dan cita en Tuluá
🙌 Y más de 4.000 asistentes viven esta gran experiencia.",,0,"10/26/2025 13:58",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0KTNPtixY1omthPkWumh5sBT85SF1uwzvpTgz64EHLPM3PCFXn9EaFD1xxQtiMsqGl,0,0,Fotos,,,,,Total,9116,5866,53,44,1,8,,,,,517,161,,356,,
1274871664680163,100064720237286,"Alcaldía de Tuluá","✨💫 ¡10.000 personas vivieron una mágica tarde en el Mundo de la Fantasía 2025! 💫✨

El Coliseo de Ferias Manuel Victoria Rojas se llenó nuevamente de alegría, color, dulces, música, premios, rifas y mucha diversión 🍭🎶🎁.

Historias y cuentos tradicionales cobraron vida para hacer soñar a grandes y pequeños 🌈📖💖

Gracias a todas las familias tulueñas por ser parte de esta experiencia inolvidable 🙌🏼💙✨🏙️💪🏼",,0,"10/25/2025 18:19",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid022APAkCaCSB79iN5PNXvuJ9UqpwQC3gWwaBPgA8Gu54TjbdVgopsdYkYi2riYZvKPl,0,0,Fotos,,,,,Total,66847,34928,570,434,39,85,,,,,6205,2197,,4008,1,
1274620698038593,100064720237286,"Alcaldía de Tuluá","🍭🎭 ¡Así estamos viviendo El Mundo de la Fantasía! 🌈💫

Dulces, disfraces, diversión y mucho tiempo en familia 💕👨‍👩‍👧‍👦
Los tulueños ya disfrutan de este mundo mágico en el Coliseo de Ferias 🎪✨
🕔 ¡Estaremos hasta las 5 de la tarde!
Ven con tu mejor actitud y tu mejor disfraz #ParaSerFelices juntos 😄🎉💙",,0,"10/25/2025 10:53",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02vV1CjjPm3EuAsWAUwjB2x1zEudneQR2WavSoFRGAtnagKMxf9qVZFverYi1RSg6vl,0,0,Fotos,,,,,Total,31990,16592,189,159,6,24,,,,,3997,1084,,2913,,
