"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,"Me gusta","Veces que se compartió",Comentarios,"Veces que se guardó",Alcance,Seguimientos
18114484558530034,17841411919702656,hospitalrubencruzvelez,"Hospital Rubén Cruz Vélez E.S.E","🌟🚴 ¡Un día de alegría, deporte y unión!
En Tuluá pedaleamos juntos, porque la salud de nuestra gente es la verdadera felicidad 💪💚",0,"10/03/2025 17:15",https://www.instagram.com/p/DPXejmlDdFE/,"Secuencia de Instagram",,Total,28549,361,23,7,4,9326,9
17860074666502937,17841440597983973,sincomidanohayalegria,"Encuentro de Cocinas Tradicionales","Cápsulas de tradición 🐟

Historias con sabor contadas por quienes llevan el legado gastronómico a la mesa de los vallecaucanos.

Tradición con sabor a…

Un proyecto de @artejoven_corporacion.

Con el apoyo de @mincultura a través de la Lista Bienal de proyectos de interés nacional 2024-2025.

#comidatradicional #valle",88,"10/03/2025 17:28",https://www.instagram.com/reel/DPXfl9bAGCS/,"Reel de Instagram",,Total,2901,81,2,0,0,,
18077589688844876,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚴‍♀️✨ ¡Con alegría vivimos el gran Ciclopaseo Nocturno “Pedalea tu Salud”!

Más de 300 tulueños se unieron en bicicleta para recorrer las calles del municipio y disfrutar de un espacio lleno de salud, deporte y unión familiar.✨💙

Seguimos transformando los espacios para todos y promoviendo el bienestar de nuestras comunidades. 🌟💪 #ParaSerFelices 💙",47,"10/04/2025 12:33",https://www.instagram.com/reel/DPZjFGrj6zf/,"Reel de Instagram",,Total,2971,87,4,0,0,1930,0
18424459546102337,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","#Noticias | Desde el Ciclopaseo Nocturno “Pedalea tu Salud” te traemos las noticias más importantes de la semana en el nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽",74,"10/04/2025 16:00",https://www.instagram.com/reel/DPZ6ye3j9eE/,"Reel de Instagram",,Total,7323,170,5,0,3,4219,1
18056047271221508,17841440597983973,sincomidanohayalegria,"Encuentro de Cocinas Tradicionales","Cápsulas de tradición 

Historias con sabor contadas por quienes llevan el legado gastronómico a la mesa de los vallecaucanos.

Tradición con sabor a…

Un proyecto de @artejoven_corporacion.

Con el apoyo de @mincultura a través de la Lista Bienal de proyectos de interés nacional 2024-2025.

#comidatradicional #valle",73,"10/04/2025 17:14",https://www.instagram.com/reel/DPaCnHWgOrA/,"Reel de Instagram",,Total,3467,82,4,3,0,,
18081627944061681,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Listo el tramo que conecta la 40 con el Fátima!🚧🏗️

Así avanza la construcción del Intercambiador de la 40 con el  nuevo tramo que consta de 800 m² de pavimento rígido para mejorar la movilidad y la calidad de vida de los tulueños. ¡Estas son obras que transforman a Tuluá! 💪 #ParaSerFelices",0,"10/06/2025 10:26",https://www.instagram.com/p/DPeeIhOgNpP/,"Secuencia de Instagram",,Total,7775,106,6,0,2,2382,1
18098702440634481,17841407739133684,emtulua,"Emtulua Esp","✨ Que el agua fluya, no la basura 🌧️
Cuida los sumideros, evita arrojar residuos y mantén nuestras calles seguras. 💙

#emtuluá #CuidemosElAgua #TuluáMásLimpia",60,"10/06/2025 11:49",https://www.instagram.com/reel/DPengsrERUT/,"Reel de Instagram",,Total,4295,50,10,0,0,,
18075645355895804,17841440597983973,sincomidanohayalegria,"Encuentro de Cocinas Tradicionales","Cápsulas de tradición 

Historias con sabor contadas por quienes llevan el legado gastronómico a la mesa de los vallecaucanos.

Un proyecto de @artejoven_corporacion.

Con el apoyo de @mincultura a través de la Lista Bienal de proyectos de interés nacional 2024-2025.

#comidatradicional #valle",77,"10/06/2025 16:24",https://www.instagram.com/reel/DPfG71PgNp_/,"Reel de Instagram",,Total,2408,60,5,2,0,,
17897404899316917,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💪🏫 ¡El techo de la Antonia Santos ya está en transformación!

Durante años, estudiantes, docentes y padres de familia soñaron con este cambio… y hoy es una realidad 🙌✨

Más de 300 niños y niñas se verán beneficiados con espacios más seguros y dignos para aprender y crecer.

💙 En Tuluá seguimos transformando la educación y los espacios para nuestros niños y niñas. #ParaSerFelices",29,"10/07/2025 09:10",https://www.instagram.com/reel/DPg6R8fgBn4/,"Reel de Instagram",,Total,4747,91,8,3,3,3063,5
18081345694966228,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎉🍲 ¡Prepárate para vivir el Primer Festival María Antonia Ruiz!

Este 11, 12 y 13 de octubre el Coliseo de Ferias Manuel Victoria Rojas se llenará de sabor, tradición, cultura y mucha música para todos 🎶✨

En el marco del Sexto Encuentro de Cocinas Tradicionales, celebramos lo que más nos une: la comida, las raíces y la alegría 💛

Nosotros ya estamos listos #ParaSerFelices… ¿y vos? 👀 Déjanos saber en los comentarios ⬇️",47,"10/07/2025 11:03",https://www.instagram.com/reel/DPhHHVdAOtw/,"Reel de Instagram",,Total,11261,258,80,7,8,6093,4
