"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó"
17864134767484995,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚧 ¡Remodelamos el CAI de Tres Esquinas! 👮‍♂️✨

Con trabajos de reparación y adecuación interna, estamos recuperando este espacio que por años estuvo en malas condiciones. 🧱💪 Además de ser el punto de apoyo para la Fuerza Pública que opera en este sector, funcionará como lugar transitorio para albergar temporalmente a Personas Privadas de la Libertad.

Seguimos mejorando la seguridad y el entorno de nuestros barrios. 💙 #ParaSerFelices",54,"10/28/2025 10:33",https://www.instagram.com/reel/DQXIPOjD8cM/,"Reel de Instagram",,Total,6436,3827,130,7,1,2,5
17977303619943408,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","📚✨ ¡Tuluá le apuesta al bilingüismo! 🇬🇧💙

Hoy, junto a @fundacionlevapan y @corazondecana, visitamos siete instituciones donde ya habilitamos nuevas aulas de inglés renovadas y dotadas con tecnología para nuestros estudiantes. 🚀📖

🤝 Gracias a esta alianza público-privada, más de 6.000 estudiantes se verán beneficiados con mejores espacios y más oportunidades de aprendizaje.

🌟 En Tuluá, la educación se transforma. #ParaSerFelices",39,"11/19/2025 08:25",https://www.instagram.com/reel/DRPp1wWAKln/,"Reel de Instagram",,Total,1148,804,16,2,0,1,0
17974946168953154,17841436811933031,sec.deportetulua,"Sec. Deporte y Recreación Tuluá","🚴‍♀️💙 ¡Muy pronto llega la Ciclovía en Tuluá! 💙🚴‍♂️
Un espacio pensado para que todas las familias salgan a disfrutar, moverse, hacer ejercicio y compartir momentos especiales.
Prepárate… porque lo que se viene es deporte, alegría y vida saludable para todos. #ParaSerFelices 
¡Espérala, que ya casi llega! 🌟",35,"11/19/2025 05:01",https://www.instagram.com/reel/DRPSp5oEX9C/,"Reel de Instagram",,Total,2622,,71,14,,5,0
17900846763318947,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💰✨ Si octubre se te pasó volando… en noviembre todavía alcanzas!

Aprovecha el 80% de descuento en intereses y sanciones de tus impuestos Predial, Alumbrado Público, Industria y Comercio y Circulación y Tránsito. ✔️🏙️ Ponte al día y sigamos construyendo juntos la Tuluá que soñamos. ¡No dejes pasar esta oportunidad! 💙💪 #ParaSerFelices",34,"11/18/2025 13:01",https://www.instagram.com/reel/DRNk7Z3D_Cb/,"Reel de Instagram",,Total,1218,831,25,6,0,0,0
17881637820309153,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","✨💜 Hoy avanzamos juntas por las mujeres de Tuluá 💜✨

Con el respaldo de nuestra Gestora Social Luz Elena Londoño, seguimos construyendo la Política Pública de la Mujer, un proceso que nace del corazón de las tulueñas y de sus realidades.

A través de las Mesas Técnicas de Participación Ciudadana, hemos escuchado sus voces, sus necesidades, sus anhelos y sus problemáticas. 🤝💬Así, juntas, estamos logrando una política pública que realmente las represente y beneficie a todas las mujeres de Tuluá. 💪🌸✨

#ParaSerFelices",33,"11/18/2025 08:48",https://www.instagram.com/reel/DRNH6Uaj3s7/,"Reel de Instagram",,Total,2615,1664,73,1,0,0,3
17866858149481614,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🏁 Así cerramos una jornada histórica en Tuluá 🏁

Hoy vivimos nuevamente la experiencia de la Media Maratón Tuluá… y los corredores lo confirman, sus propias palabras lo dicen todo. 💬💙

Gracias a cada atleta que nos eligió, a quienes nos visitaron por primera vez y a quienes siguen creyendo en lo que aquí estamos construyendo. 🏃‍♀️🔥🏃‍♂️

Aquí siguen pasando cosas buenas. 🌟🌄 #ParaSerFelices",78,"11/16/2025 12:05",https://www.instagram.com/reel/DRIU98bjxO5/,"Reel de Instagram",,Total,5706,3515,277,13,2,5,3
17928232653118652,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🏃‍♂️✨ Tuluá fue ritmo y resistencia este domingo ✨🏃‍♀️

Corredores de todo el país llegaron a Tuluá a demostrar de qué están hechos. Unos vinieron a visitar, otros a conocer nuestra tierra… y todos se llevaron lo mismo: que aquí somos alegría, sabor y mucha resiliencia. 💙💪🌟

En Tuluá estamos transformando el deporte y, de la mano de la Media Maratón Tuluá, seguimos haciendo que pasen cosas buenas. 🏅🔥🌄 #ParaSerFelices",0,"11/16/2025 08:54",https://www.instagram.com/p/DRH_Jydj6LU/,"Secuencia de Instagram",,Total,43074,10697,1185,75,13,6,15
17891317188365249,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","La Media Maratón de Tuluá nos dio alegría, esfuerzo y el poder de una ciudad que siempre se supera.👏🏽💪🏽

Cada paso fue un sueño , cada meta un triunfo para nuestra gente.🏅

¡Gracias, atletas y familias, por llenar nuestras calles de energía y corazón ❤️!

En Tuluá están pasando cosas buenas 💙🙌🏽",21,"11/16/2025 07:28",https://www.instagram.com/reel/DRH1LUhiELu/,"Reel de Instagram",,Total,21645,10570,968,34,10,20,8
18057067808641335,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Ya se siente la emoción en las calles! 🏃‍♂️🔥

Arrancamos la Media Maratón Tuluá 2025 con los 21K, y más de 3.300 corredores llegaron de todos los rincones de Colombia para vivir una de las carreras más rápidas del país.

Tuluá sigue demostrando que aquí están pasando cosas buenas, que somos una ciudad que corre, que se mueve, que transforma y que inspira. 💙✨ #ParaSerFelices",0,"11/16/2025 03:25",https://www.instagram.com/p/DRHZdVmgFHh/,"Secuencia de Instagram",,Total,53934,12384,1191,36,11,16,9
18063138530163095,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy desde el @concejomunicipaltulua, te presentamos las noticias más importantes de la semana en 45 Segundos #ParaSerFelices 😎",78,"11/15/2025 15:10",https://www.instagram.com/reel/DRGFXOLj1My/,"Reel de Instagram",,Total,2788,1840,52,4,0,1,0
18073373390005883,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🛒💙 ¡Control a precios: Cuidamos el bolsillo de los tulueños!

Realizamos una jornada de monitoreo de precios, pesas y medidas en 📍La Galería para garantizar precios justos en los productos de la canasta familiar. 🥦🍅🍌

En articulación con la Policía Nacional y Departamento de Movilidad, revisamos establecimientos para evitar irregularidades, acaparamiento o especulación que afecten a las familias tulueñas.

📊 Seguimos protegiendo la economía de todos. #ParaSerFelices",28,"11/14/2025 15:00",https://www.instagram.com/reel/DRDfbMfD3_9/,"Reel de Instagram",,Total,2139,1535,35,15,0,1,0
17929500333139531,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🏃‍♂️💙 ¿No alcanzaste a conseguir tu kit? ¡Este es tu momento!
La Administración Municipal del alcalde @gustavovelezr te regala un kit para correr en la Media. 😎🤩

Participa por un kit oficial de la Media Maratón Tuluá 2025 y corre los 10K con camiseta y medalla incluida. 🙌✨

Solo debes subir un reel contándonos ¿Por qué en Tuluá pasan cosas buenas?
📲 SIGUE y Etiqueta a @alcaldiadetulua y @mediamaratontulua

⏰ Tienes hasta este sábado, 15 de noviembre, a las 4:00 p. m.

🔥 ¡Corre, participa y vive la Media Maratón Tuluá!
#PorTuluáCorremosTodos #ParaSerFelices",0,"11/14/2025 08:12",https://www.instagram.com/p/DRCwuFmAM8q/,"Imagen de Instagram",,Total,13719,4806,149,10,15,4,0
17952938373030445,17841407739133684,emtulua,"Emtulua Esp","Tuluá está cambiando y tú eres parte de esta transformación. 💙👏🏻

E.P.T Empresas Públicas de Tuluá: construyendo el futuro con nuestra gente.🚰⚡️",67,"11/14/2025 05:49",https://www.instagram.com/reel/DRCfgDGkfRr/,"Reel de Instagram",,Total,3000,,71,5,,1,0
18086327059953995,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🌿💧 ¡Nuestros campesinos recibieron incentivos económicos! 🙌

El alcalde @gustavovelezr entregó $2.500.000 a cada una de las 36 familias de Monteloro y Santa Lucía que protegen la cuenca del río Tuluá y nuestras montañas. 🌱💙

Este apoyo hace parte del programa Pagos por Servicios Ambientales, una iniciativa que impulsa la conservación, la reforestación y el cuidado de los nacimientos de agua. Tuluá es uno de los pocos municipios del Valle que implementa este modelo, y ya garantizamos recursos para 2026 y 2027.🌎✨",24,"11/13/2025 14:55",https://www.instagram.com/reel/DRA526TD_BA/,"Reel de Instagram",,Total,2177,1472,42,2,0,1,0
18093804844846758,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💧✨¡Doña Alicia ahora tiene agua potable!

Durante años, recibieron agua contaminada en el sector de Bocas de Tuluá. Gracias a la gestión del alcalde Gustavo Vélez, que puso en marcha la nueva Planta de Tratamiento de Agua Potable, su casa y todo este sector, ya cuenta con un servicio óptimo, seguro y de calidad.

💙Un cambio que transforma la salud, la tranquilidad y la vida de toda una comunidad. #ParaSerFelices",54,"11/13/2025 12:25",https://www.instagram.com/reel/DRAoyK7D_FU/,"Reel de Instagram",,Total,2333,1586,33,36,0,1,0
17858605965550141,17841400066779739,gustavovelezr,"Gustavo Adolfo Vélez Román","Hoy demostramos que cuando trabajamos unidos por una misma causa podemos lograr cosas magníficas. Hoy CAVI y la Fundación @corazondecana entregó a la comunidad un salón múltiple en la 📍I. E. Julio César Zuluaga – sede Camilo Torres.

Este nuevo espacio va a fortalecer la educación de nuestros niños y niñas, para que puedan aprender, jugar y crecer en un lugar seguro, amplio y totalmente renovado. #ParaSerFelices 🏫✨",54,"11/13/2025 08:49",https://www.instagram.com/reel/DRAPzK4ESUj/,"Reel de Instagram",,Total,3542,,82,9,,3,0
18350203426166142,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🏃‍♂️💙 ¡Este domingo regresa la Media Maratón Tuluá!

Llegamos más recargados que nunca. El año pasado fuimos 1.200… ¡hoy seremos 3.300 corredores de todo el país llenando nuestras calles de energía, pasión y orgullo tulueño! 🇨🇴✨

Gracias al apoyo del alcalde Gustavo Adolfo Vélez Román y al trabajo en equipo con nuestras marcas aliadas, este gran sueño de ciudad vuelve para demostrar que Tuluá sigue siendo epicentro del running nacional. 🏅🔥

💫 Nos vemos este domingo para correr por Tuluá… porque por Tuluá, corremos todos. 💙🏃‍♀️🏃‍♂️ #ParaSerFelices",58,"11/12/2025 15:55",https://www.instagram.com/reel/DQ-b9LPj1Dh/,"Reel de Instagram",,Total,11044,6214,362,47,2,2,3
18059742449220848,17841436811933031,sec.deportetulua,"Sec. Deporte y Recreación Tuluá","🏐🏀🤾‍♀️ ¡Inscripciones abiertas!
Si te apasiona el voleibol, baloncesto o balonmano, esta es tu oportunidad 💪

📍 Lugar: Polideportivo de Buenos Aires
🕒 Horario: de 3:00 p.m. a 6:00 p.m.

¡Aprovecha y haz parte de nuestros procesos deportivos! 🙌
Porque en Tuluá seguimos transformando el deporte #ParaSerFelices 💛💚",21,"11/12/2025 13:19",https://www.instagram.com/reel/DQ-KNtIEWgH/,"Reel de Instagram",,Total,3910,,71,15,,6,0
17975885162791258,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🏫💙 ¡Programas de salud llegan a las instituciones educativas de Tuluá! 🙌

En un trabajo articulado entre la Secretaría de Educación Municipal y la Secretaría de Salud del Valle del Cauca, llegamos a la Institución Educativa Técnica Industrial Carlos Sarmiento Lora con los proyectos Gestores Escolares y Escuelas de Familia. 👩‍🏫👨‍👩‍👧

💬 A través de estas estrategias seguimos informando, formando y educando a nuestros jóvenes y padres de familia en temas de convivencia, salud sexual y reproductiva y crianza positiva. 🌱✨",50,"11/11/2025 14:42",https://www.instagram.com/reel/DQ7u2d-jwpZ/,"Reel de Instagram",,Total,1762,1143,48,0,0,1,0
18336589204231990,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚔Alcalde entregó vehículos y condecoraciones en el aniversario 134 de la Policía Nacional 💚🤍🇨🇴

Durante esta conmemoración, el alcalde @gustavovelezr realizó la segunda entrega de vehículos del año a la Fuerza Pública: un panel, dos motocicletas y una camioneta 🚓🏍️🚙 para fortalecer el trabajo de nuestras instituciones de seguridad.  Asimismo, entregó reconocimientos a 4 oficiales y 20 suboficiales de la Policía Nacional, exaltando su compromiso y dedicación con Tuluá. 💪🇨🇴",0,"11/11/2025 12:00",https://www.instagram.com/p/DQ7cavUD82M/,"Secuencia de Instagram",,Total,12813,4075,170,8,2,2,1
18101867809674135,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Beneficiamos a 700 adultos mayores con talleres deportivos! 😎✌🏽👵🏽👴🏼

Transformamos la vida de los abuelitos en 31 grupos, con programas deportivos y de habilidades motrices a través de la Secretaría del Deporte y la Recreación.✅

Seguimos fortaleciendo el bienestar, la actividad física y la alegría de nuestros adultos mayores.
💪💙¡Porque el deporte en Tuluá se está transformando!
#ParaSerFelices",88,"11/11/2025 07:52",https://www.instagram.com/reel/DQ6_sVgADv_/,"Reel de Instagram",,Total,3121,2115,36,6,0,2,0
18075186296233830,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🗳️💙 ¡Tuluá tiene nuevos Consejeros de Juventud! 🙌🏼✨

17 jóvenes tulueños recibieron oficialmente sus credenciales que los acreditan como Consejeros Municipales de Juventud electos para el periodo 2026–2029, un compromiso que asumirán durante los próximos cuatro años para representar, proponer y trabajar por las juventudes tulueñas. 💪🏼👩🏻‍🎓👨🏽‍🎓

El acto contó con el acompañamiento del alcalde Gustavo Vélez, la Registraduría Nacional y el Consejo Nacional Electoral, reafirmando el compromiso institucional con la democracia juvenil y la participación ciudadana. 🌟🤝",75,"11/10/2025 16:37",https://www.instagram.com/reel/DQ5XVJDj61T/,"Reel de Instagram",,Total,4358,2800,94,8,0,0,1
