"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics en el enlace","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Comentarios negativos de los usuarios: Ocultar","Comentarios negativos de los usuarios: Ocultar todo","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio"
1295995275901135,100064720237286,"Alcaldía de Tuluá",,,0,"11/19/2025 08:53",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02Bo7ZMdi1V1pWaMbTcSvUwto17yYBc7dFeZ8UqETz79yEzVKtCK7NxjAPsc5ABdrAl,0,1,Texto,,,,,Total,,88,2,2,0,0,4,,,4,,,,,,,
1295978345902828,100064720237286,"Alcaldía de Tuluá","📚✨ ¡Tuluá le apuesta al bilingüismo! 🇬🇧💙

Hoy, junto a @fundacionlevapan y @corazondecana, visitamos siete instituciones donde ya habilitamos nuevas aulas de inglés renovadas y dotadas con tecnología para nuestros estudiantes. 🚀📖

🤝 Gracias a esta alianza público-privada, más de 6.000 estudiantes se verán beneficiados con mejores espacios y más oportunidades de aprendizaje.

🌟 En Tuluá, la educación se transforma. #ParaSerFelices","📚✨ ¡Tuluá le apuesta al bilingüismo! 🇬🇧💙

Hoy, junto a @fundacionlevapan y @corazondecana, visitamos siete instituciones donde ya habilitamos nuevas aulas de inglés renovadas y dotadas con tecnología para nuestros estudiantes. 🚀📖

🤝 Gracias a esta alianza público-privada, más de 6.000 estudiantes se verán beneficiados con mejores espacios y más oportunidades de aprendizaje.

🌟 En Tuluá, la educación se transforma. #ParaSerFelices",40,"11/19/2025 08:25",N/A,https://www.facebook.com/reel/1150696060376203/,1,0,Videos,,,,,Total,370,268,34,23,1,10,11,,,11,,,2693.322,9.483,0,0,0
1295965985904064,100064720237286,"Alcaldía de Tuluá","🚴‍♀️💙 ¡Muy pronto llega la Ciclovía en Tuluá! 💙🚴‍♂️","🚴‍♀️💙 ¡Muy pronto llega la Ciclovía en Tuluá! 💙🚴‍♂️
Un espacio pensado para que todas las familias salgan a disfrutar, moverse, hacer ejercicio y compartir momentos especiales.
Prepárate… porque lo que se viene es deporte, alegría y vida saludable para todos. #ParaSerFelices
¡Espérala, que ya casi llega! 🌟",35,"11/19/2025 08:05",N/A,https://www.facebook.com/reel/25272777719078765/,0,0,Videos,,,,,Total,931,861,46,32,7,7,77,,,77,,,6491.38,8.463,0,0,0
1295949195905743,100064720237286,"Alcaldía de Tuluá","🎄🗞️ ¡Compra a nuestros comerciantes y transforma a Tuluá !

Desde la Alcaldía de Tuluá y nuestros aliados del sector comercio los invitamos al lanzamiento oficial de la campaña navideña “Compra en Tuluá y vive la alegría de la Navidad”, una apuesta por impulsar el crecimiento del comercio local en esta temporada tan especial.

📅 Fecha: 20 de noviembre de 2025
⏰ Hora: 3:00 p.m.
📍 Lugar: Plazoleta de Comidas – Central de Transportes de Tuluá

Acompáñennos a compartir esta estrategia que busca fortalecer nuestra economía y apoyar a los comerciantes tulueños.

🎁✨ ¡Los esperamos!",,0,"11/19/2025 07:40",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02p68zv4DwodsXp1jCQyagsD7qk7kgHPeYx4YjTEPoTLHfnoZ3jtrPmHDTjorCrw51l,0,0,Fotos,,,,,Total,914,599,14,8,3,3,20,,7,13,,,,,,,
1295944002572929,100064720237286,"Alcaldía de Tuluá","#Salud | Secretaría de Salud adelanta jornada de Inspección, Vigilancia y Control al PAE

Con una jornada de inspección, vigilancia y control en tres instituciones educativas del municipio, la Secretaría de Salud busca verificar las condiciones de salubridad y el cumplimiento de los lineamientos del Programa de Alimentación Escolar (PAE). 

Lee la noticia completa: ⬇⬇⬇
",,0,"11/19/2025 07:31",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02yhKzYqEzWSVD3kqVy25W7kz5y2iVLJCnCwuxxgELPCaKFeipHYdpy6WcnndDtwTUl,0,0,Enlaces,,,,,Total,330,220,0,0,0,0,6,6,,,,,,,,,
1295943355906327,100064720237286,"Alcaldía de Tuluá","#BienestarSocial | Comedor Comunitario Sazón Para Ser Felices alimentó a 100 abuelitos del hogar Buen Samaritano.

Con el propósito de brindar acompañamiento y garantizar la ración alimentaria a la población vulnerable que allí recibe atención, el programa Sazón Para Ser Felices, llegó al Hogar “Buen Samaritano”. Esta iniciativa busca fortalecer la seguridad alimentaria y asegurar que las personas con mayores necesidades cuenten con un apoyo permanente y digno.

Lee la noticia completa: ⬇⬇⬇
",,0,"11/19/2025 07:30",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02B7uavskvCKW3mNT6wq8Amps8BTSSWzA5N6BujgFFZKQmo8Um1q249qKnb1KZfa1ul,0,0,Enlaces,,,,,Total,290,208,5,4,0,1,2,2,,,,,,,,,
1295347775965885,100064720237286,"Alcaldía de Tuluá","💰✨ Si octubre se te pasó volando… en noviembre todavía alcanzas!

Aprovecha el 80% de descuento en intereses y sanciones de tus impuestos Predial, Alumbrado Público, Industria y Comercio y Circulación y Tránsito. ✔️🏙️ Ponte al día y sigamos construyendo juntos la Tuluá que soñamos. ¡No dejes pasar esta oportunidad! 💙💪 #ParaSerFelices","💰✨ Si octubre se te pasó volando… en noviembre todavía alcanzas!

Aprovecha el 80% de descuento en intereses y sanciones de tus impuestos Predial, Alumbrado Público, Industria y Comercio y Circulación y Tránsito. ✔️🏙️ Ponte al día y sigamos construyendo juntos la Tuluá que soñamos. ¡No dejes pasar esta oportunidad! 💙💪 #ParaSerFelices",34,"11/18/2025 13:01",N/A,https://www.facebook.com/reel/4230030247316692/,1,0,Videos,,,,,Total,703,646,19,12,1,6,7,,,7,,,3441.974,5.336,0,0,0
1295224932644836,100064720237286,"Alcaldía de Tuluá","#Obras | Villa Campestre tendrá calles nuevas.

Con más de 2.600 metros lineales programados para intervenir, el alcalde Gustavo Adolfo Vélez Román iniciará en los próximos días la recuperación de la malla vial en el sector de Villa Campestre, mediante obras de topping que mejorarán la movilidad y la calidad de vida de los habitantes de esta zona. 

Lee la noticia completa: ⬇⬇⬇
",,0,"11/18/2025 08:58",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0PBWSePVLmMT8feJUP5FapDZQvDAUS554cEdfHLrqFbDY89QVxz4QRvSUduRCgVtql,0,0,Enlaces,,,,,Total,9521,5544,177,114,43,20,464,76,,388,,,,,,,
1295219342645395,100064720237286,"Alcaldía de Tuluá","✨💜 Hoy avanzamos juntas por las mujeres de Tuluá 💜✨

Con el respaldo de nuestra Gestora Social Luz Elena Londoño, seguimos construyendo la Política Pública de la Mujer, un proceso que nace del corazón de las tulueñas y de sus realidades.

A través de las Mesas Técnicas de Participación Ciudadana, hemos escuchado sus voces, sus necesidades, sus anhelos y sus problemáticas. 🤝💬Así, juntas, estamos logrando una política pública que realmente las represente y beneficie a todas las mujeres de Tuluá. 💪🌸✨

#ParaSerFelices","✨💜 Hoy avanzamos juntas por las mujeres de Tuluá 💜✨

Con el respaldo de nuestra Gestora Social Luz Elena Londoño, seguimos construyendo la Política Pública de la Mujer, un proceso que nace del corazón de las tulueñas y de sus realidades.

A través de las Mesas Técnicas de Participación Ciudadana, hemos escuchado sus voces, sus necesidades, sus anhelos y sus problemáticas. 🤝💬Así, juntas, estamos logrando una política pública que realmente las represente y beneficie a todas las mujeres de Tuluá. 💪🌸✨

#ParaSerFelices",34,"11/18/2025 08:48",N/A,https://www.facebook.com/reel/846569927732672/,1,0,Videos,,,,,Total,2720,2405,80,58,6,16,85,,,85,,,24403.666,10.055,0,0,0
1295210782646251,100064720237286,"Alcaldía de Tuluá","#Seguridad | Alcaldía informa Medidas Especiales para la seguridad este fin de semana

Nuevas medidas especiales de orden público, seguridad y movilidad regirán desde este viernes 14 de noviembre a las 8:00 p. m. hasta el martes, 21 de noviembre a las 7:00 a. m. Estas acciones se implementaron después de un Consejo de Seguridad Ordinario con todas las autoridades.

Lee la noticia completa: ⬇⬇⬇
",,0,"11/18/2025 08:32",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0gKYCw55znUPGAzZybkTiquf3sPoexskRWFDMb7fXtN2xRiTotQHPCk5fZSMbnz5hl,0,0,Enlaces,,,,,Total,405,288,1,1,0,0,6,3,,3,,,,,,,
