"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,"Me gusta","Veces que se compartió",Reproducciones,Comentarios,"Veces que se guardó",Impresiones,Alcance,Seguimientos
18278357134171627,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Dignificar la vida y la muerte es nuestra prioridad. Desde la Secretaría de Gobierno con el apoyo de Medicina Legal, acompañamos a familias tulueñas en la búsqueda de seres queridos no reclamados, brindando paz y respeto.🙌🏽🤍",0,"10/01/2024 14:08",https://www.instagram.com/p/DAmJeimvCbK/,"Secuencia de Instagram",,Total,158,3,,4,5,5392,4211,
18039727193111204,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡La integridad de los tulueños es nuestra prioridad! 🚖✨

Desde el Departamento Administrativo de Movilidad y Seguridad Vial, seguimos comprometidos en ofrecer un servicio de transporte de calidad y seguro para todos los tulueños. Únete a la campaña #TaxiSeguroTulua. Juntos, construimos un futuro más seguro. 💙🙌🏽 #YosoyTaxiSeguro #ParaSerFelices #Taxi",37,"09/30/2024 15:19",https://www.instagram.com/reel/DAjsxVtRGQ9/,"Reel de Instagram",,Total,50,2,,2,2,2275,1756,1
17983456880768930,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡23 motos inmovilizadas y 33 comparendos durante caravanas ilegales!🚨🚔

Con más de 30 órdenes de comparando, 23 motos inmovilizadas y 5 menores aprehendidos, la Administración Municipal y la Fuerza Pública, realizó un exitoso operativo de control que garantizó la seguridad y tranquilidad de nuestras calles. Sin homicidios ni accidentes, nuestra comunidad disfrutó de la celebración con paz. Agradecemos a todos por su colaboración y recordamos que seguimos trabajando juntos para promover la convivencia y la felicidad en nuestro municipio. 🙌🏼#ParaSerFelices 💙",85,"11/01/2024 12:06",https://www.instagram.com/reel/DB1wD2HvJR1/,"Reel de Instagram",,Total,107,10,,3,3,3809,3532,
17857319841288444,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚧 ¡Alcaldía recuperó las vías del Callejón morales !🚧 

Con la Secretaría de Hábitat e Infraestructura, avanzamos en el Mejoramiento de la infraestructura vial con 2 kilómetros de fresado en el Callejón Morales. Esta importante obra busca conectar nuestro municipio y mejorar la movilidad, gracias al trabajo articulado con la empresa PISA. ¡Juntos construimos un mejor futuro! #ParaSerFelices 💙🙌🏼",61,"11/01/2024 08:23",https://www.instagram.com/reel/DB1Wk0xvMDK/,"Reel de Instagram",,Total,87,6,,4,0,2782,2379,
17881119672156720,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎃 ¡Halloween mágico en Tuluá! 👻

Hoy los niños y niñas pasaron una tarde mágica en la celebración de Halloween de la Central de Transportes. Con un espacio lleno de sorpresas: regalos, rifas emocionantes y magia que nos hizo felices a todos. 🪄✨

Los niños disfrutaron, jugaron y se llevaron recuerdos inolvidables.

💖 ¡Gracias por un Halloween espectacular #ParaSerFelices!🎉",0,"10/31/2024 17:22",https://www.instagram.com/p/DBzvflEPQj5/,"Secuencia de Instagram",,Total,155,9,,1,2,4616,3461,
18064966537734663,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎃✨ ¡Trabajamos articulados por un Halloween feliz!🎉 

La Administración Municipal y la Policía Nacional se unen para garantizar que todos disfruten de esta celebración con tranquilidad. Juntos, estamos comprometidos con la seguridad de nuestros tulueños.
 ¡Celebremos con alegría y responsabilidad! 👮‍♂️👻 #HalloweenSeguro #ParaSerFelices",60,"10/31/2024 11:27",https://www.instagram.com/reel/DBzG1DzPNq5/,"Reel de Instagram",,Total,117,2,,1,5,2503,2357,
18065821984659342,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎃👻 Halloween Seguro y Saludable 💪🏼

¡Este Halloween, te invitamos a disfrutar de una noche llena de diversión y seguridad! Aquí te dejamos algunos tips para garantizar un Halloween seguro para tus pequeños. ¡Disfrutemos de un Halloween en familia y seguros! 🎉👻💙 #ParaSerFelices #HalloweenSeguro",0,"10/31/2024 08:22",https://www.instagram.com/p/DByxtflv2_a/,"Secuencia de Instagram",,Total,58,4,,0,1,2215,1679,2
18051735568931528,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Mejoramos la conectividad en nuestra zona rural! 🚜✨

Hemos intervenido más de 18 kilómetros lineales con canalización, embalastramiento y cuneteo, gracias al trabajo de la Administración Municipal a través de la Secretaría de Hábitat e Infraestructura. 🛤️💪 Nuestro objetivo es asegurar que todas las comunidades tengan acceso a vías en óptimas condiciones. ¡Seguimos construyendo un Tuluá más conectado! 🌱 #ParaSerFelices 💙💪🏼",68,"10/30/2024 16:40",https://www.instagram.com/reel/DBxFjKPvOnj/,"Reel de Instagram",,Total,40,3,,1,0,2110,1744,
17979764387767583,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚨 ¡Caen integrantes de “La Inmaculada”! 📣

La Policía Nacional realizó la captura de Darlien “Peluco” Acevedo, implicado en los asesinatos del exconcejal Carlos Arturo Londoño y la funcionaria Clarivet Ocampo. ¡Continuamos trabajando por la justicia en nuestro municipio! 💥💪🏼 #ParaSerFelices #OperaciónTuluá",67,"10/30/2024 14:03",https://www.instagram.com/reel/DBwz4RIPmCt/,"Reel de Instagram",,Total,81,10,,0,4,2539,2325,2
18051901909767231,17841431512646378,puntos_innova_tulua,"Punto Innova","Con éxito total se dio el lanzamiento de #TalentoTech un programa del ministerio de las TIC que busca formar a más a 113.000 jóvenes en habilidades digitales.

Gracias a la gestión de la Administración Municipal y al Departamento TIC se hizo posible que estos programas estén con los jóvenes tulueños. #ParaSerFelices",0,"10/30/2024 09:54",https://www.instagram.com/p/DBwXejLODWS/,"Secuencia de Instagram",,Total,77,2,,1,0,,,
