fecha_de_registro,Edad,sexo,calificacion_del_servicio,calificacion_de_la_rapidez_del_servicio,id_publicacion,Me gustas,Comentarios,Alcance,impresiones,id_del_paciente,veces_compartido
2024-11-20,64,F,3.9,1.4,4851,161,5,2885,1460,26040,35
2024-11-13,58,M,2.4,3.6,1240,9,34,6116,14179,14950,50
2024-11-07,34,F,3.3,2.9,8788,290,19,8784,3072,26982,7
2024-11-02,66,F,2.4,2.3,6197,488,55,5162,1447,96778,41
2024-11-07,48,M,5.0,3.5,6977,152,60,6145,3451,49536,50
2024-10-28,62,F,1.2,1.7,2774,94,82,5283,6924,88309,28
2024-11-16,53,F,3.1,3.6,9447,424,73,9778,4612,94272,46
2024-11-13,39,M,4.5,4.0,1560,35,66,4704,7517,38548,2
2024-11-15,34,F,4.2,2.4,4406,365,93,6015,9801,79565,46
2024-11-09,31,F,3.9,3.6,2100,20,61,6798,2197,36322,8
2024-11-06,49,F,3.4,2.5,6142,160,60,1814,12152,17432,46
2024-11-05,40,F,2.1,1.6,1156,469,94,3653,11031,79156,9
2024-11-19,59,M,3.3,2.1,2766,422,4,6183,3026,69919,33
2024-11-07,43,F,4.8,4.6,8266,116,6,519,9207,85329,7
2024-11-09,46,M,2.5,4.8,3694,217,4,9026,9559,73338,42
2024-11-03,48,M,4.4,1.8,6029,120,66,3904,10150,11942,46
2024-10-31,36,M,1.9,2.6,6331,152,67,1083,3180,27719,18
2024-11-14,49,M,3.9,1.1,9084,430,72,9135,9286,56400,32
2024-10-29,67,F,1.1,2.4,9040,275,51,9419,13152,54652,18
2024-11-08,48,M,1.8,1.6,2854,176,74,5959,9420,80017,36
2024-11-08,48,M,1.6,2.4,7656,408,10,6594,14138,31275,13
2024-11-13,24,M,3.5,1.9,2333,101,100,2907,2086,93395,17
2024-11-20,56,F,1.7,3.0,1713,252,85,2533,12575,94571,1
2024-10-26,36,M,2.8,3.3,1204,40,54,6920,13507,43370,48
2024-11-02,20,M,3.6,2.2,7642,285,8,9025,12277,76046,39
2024-11-09,24,F,4.2,2.1,6230,479,22,7450,10857,19069,35
2024-10-27,25,F,3.0,2.0,2452,252,39,6241,9239,62774,47
2024-11-08,49,F,3.3,3.2,1814,373,89,1818,5268,29509,49
2024-11-19,29,M,2.3,3.4,2059,469,34,9822,5618,68622,27
2024-10-28,70,M,2.0,4.5,3034,198,57,2742,10999,36555,48
2024-10-24,46,M,3.8,2.9,1962,475,97,3259,239,18258,8
2024-10-25,29,M,1.6,3.7,8244,300,53,3369,14579,19305,17
2024-10-23,62,F,1.7,2.5,9233,430,53,2929,10861,64905,23
2024-11-20,46,M,4.5,2.4,9423,414,73,6445,2556,14241,47
2024-11-19,42,M,4.4,2.3,6958,127,10,1202,713,91149,5
2024-11-12,29,F,1.4,1.4,4752,128,39,5919,6858,54152,20
2024-11-04,44,F,4.1,1.5,2684,31,62,8120,10323,46812,10
2024-10-20,25,F,2.4,4.4,8485,197,71,7399,11873,39771,49
2024-10-20,41,F,3.2,2.5,1533,448,60,3969,13039,19226,3
2024-10-24,32,F,2.7,5.0,2055,328,9,4493,1439,59731,4
2024-10-29,41,F,1.8,4.2,3054,295,96,5466,8795,73920,18
