Barrio,Mejora_barrio,Comuna
Nuevo Príncipe,zonas verdes,Comuna 5
La Paz,zación la paz q todos los niños sean felices,Comuna 10
La Paz,zación la paz más oportunidades,Comuna 10
La Paz,zación la paz más cultura,Comuna 10
El Centro,"z velez  infraestructura vial, mayor aprovechamiento del centro cultural, más actividades de integración con la comunidad",Comuna 4
Portales del Río,yo mejoraría la seguridad en el,Comuna 9
"",ya vamos vo en veteda,""
Bosques de Maracaibo,"ya se vive con temor de ser atracado o extorsionado, seguridad es lo que se necesita",Comuna 8
Guayacanes,"ya que lo convirtieron en un basurero, corregir esto y paimentarlo",Comuna 7
Popular,y sería bueno mejorarlo con más espacios de esparcimiento,Comuna 3
Progresar,y progreso,Comuna 6
Villa Campestre,"y para mejorarlo se necesita inversión y acción en las vías que están en pésimo estado, así como mejorar su seguridad",Comuna 1
Bolívar,y no hay cuadrante y no hay cámaras de seguridad! tampoco se cumple con el plan de seguridad que iban a colocar cámaras hd,Comuna 6
Pueblo Nuevo,y no haría nada para mejorarlo ya que me gusta mucho el ambiente donde resido,Comuna 6
El Príncipe,"y mejoraría sus calles, muchos huecos por donde ha pasado el gas domiciliario",Comuna 5
La Graciela,y mejoraría la iluminación,Comuna 9
Guayacanes,y mejoraría el botadero indiscriminado de basura ya que esto se presta para robos y que consumidores de alucinógenos,Comuna 7
Fátima,y maracaibo,Comuna 1
Aguaclara,y hay mucha delincuencias muy peligrosos  hay que poner cámaras de seguridad en los postes,Comuna 10
La Graciela,y haría un cai,Comuna 9
Rojas,y apoyar a los jóvenes con recreaciones,Comuna 7
Guayacanes,volver a 7 canchas menos peligroso,Comuna 7
"",volvemos a lo mismo taparia todos los huecos y si pudiera acabaria con todas esas ratas de dos patas,""
Las Nieves,vivo en las nieves y ningun alcalde a sido capas de pavimentar por la carrera 9a oeste conser que mi niño.y yo somos personas mui,Comuna 7
"",vivo en el corregimiento de la marina me gustaría poder insetibar alas personas para que tuvieran más amor por las áreas en común,""
"","vivo en el campo,pero todo lo compro en tulua",""
"",vivo en el  el  paraiso . ser un veedor y terminar de darle un mejor aspecto a la cancha de futbol. embellecerla.,""
"","vivo en casa arrendada y he estado en varios s. haría actividades de carácter ludico, como pintura, recreativo y social con los niños",""
"",vivo a las afueras de tulua pero trabajaría mucho en lo social y la seguridad,""
"","villa margarita, sembrar más arbolitos",""
"",villa de las palmas 2da etapa,""
"",villa de las palmas 2 la entrada no está pavimentada y es un peligro,""
"",villa  margarita parque mas iluminados para así no tener delincuentes escondidos,""
Prados del Norte,vigilancia de las autoridades  prados del norte,Comuna 7
Farfán,"viejo, el tema de las basuras porque muchos han tomado las calle como basurero",Comuna 7
Farfán,viejo,Comuna 7
Nuevo Príncipe,vias sin pavimentar,Comuna 5
"",vías,""
Alvernia,vernia. apoyar con recursos la seguridad. requerimos autoridad estratégica para todo tuluá,Comuna 2
