"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)","Consumo de segmentación del público coincidente (Video Click)",Reach
1076160204551311,100064720237286,"Alcaldía de Tuluá","🏁🔥 ¡La velocidad y la emoción están de vuelta en Tuluá! 🔥🏁

Este fin de semana regresa el 1/4 de milla a la mejor pista del país. Un espectáculo imperdible para los amantes de la adrenalina, la potencia y la velocidad. 🚗💨💥

Vive la pasión del motor y apoya el comercio local en este gran evento. ¡Te esperamos!

📍 Tuluá, el epicentro de la velocidad.  #ParaSerFelices 💪🏼💙","🏁🔥 ¡La velocidad y la emoción están de vuelta en Tuluá! 🔥🏁

Este fin de semana regresa el 1/4 de milla a la mejor pista del país. Un espectáculo imperdible para los amantes de la adrenalina, la potencia y la velocidad. 🚗💨💥

Vive la pasión del motor y apoya el comercio local en este gran evento. ¡Te esperamos!

📍 Tuluá, el epicentro de la velocidad.  #ParaSerFelices 💪🏼💙",32,"02/27/2025 14:38",uploaded,https://www.facebook.com/reel/1012623967440902/,1,0,Reels,,,,,Total,3911,,170,113,4,53,60,60,,,28086.071,7.951,0,0,,,2228
1076013484565983,100064720237286,"Alcaldía de Tuluá","#MedioAmbiente | Sedama realiza control de plagas en San Pedro Claver.

En respuesta a las necesidades de la comunidad del barrio San Pedro Claver, la Administración Municipal, a través de la Secretaría de Desarrollo Agropecuario y Medio Ambiente (SEDAMA), llevó a cabo una intervención en los árboles del sector afectados por una plaga de chinches.

Lee la noticia completa: ⬇⬇⬇
",,0,"02/27/2025 09:34",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0283Vx4SMHKQMeeTnX2wtnv6qm8V7Joe2LzCFAZDyFYn8i1KwYir8E9FH2k4by2xsDl,0,0,Enlaces,,,,,Total,2533,,35,27,0,8,15,7,,8,,,,,,,1756
1102808555219809,100064720237286,"Alcaldía de Tuluá","🔊 ¿El exceso de ruido te molesta? 🚫🎧

Esta es una problemática que nos afecta a todos 😖 y es importante ponerle control. Si tienes una denuncia, ¡actúa! 📢⚖️

📍 Conoce aquí dónde puedes comunicarte y denunciar.
✅ El cambio comienza contigo. 💪🌎

#ParaSerFelices","🔊 ¿El exceso de ruido te molesta? 🚫🎧

Esta es una problemática que nos afecta a todos 😖 y es importante ponerle control. Si tienes una denuncia, ¡actúa! 📢⚖️

📍 Conoce aquí dónde puedes comunicarte y denunciar.
✅ El cambio comienza contigo. 💪🌎

#ParaSerFelices",50,"03/31/2025 16:52",uploaded,https://www.facebook.com/reel/668264469228593/,1,0,Reels,,,,,Total,4828,,146,85,26,35,332,332,,,58429.056,13.878,0,0,,,3334
1102703821896949,100064720237286,"Alcaldía de Tuluá","#JornadasDescentralizadas | Llegamos con la Ruta de la Felicidad a Siete Vueltas.

La alcaldesa encargada, Alexandra Cardona, destacó el compromiso de la Administración Municipal en generar impacto social positivo a través del trabajo en equipo. “ El compromiso que hoy tenemos con esta comunidad es hacer un trabajo social humanitario”, mencionó.

Lee la noticia completa: ⬇⬇⬇
",,0,"03/31/2025 13:22",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02ZDe2A7A3coE5mZ2DxFgWg4mm7be5fqDx7ZcpLYwyhS7dLBBegUg4nrRA9nWKdmHAl,0,0,Enlaces,,,,,Total,2216,,48,37,0,11,40,6,,34,,,,,,,1537
1102701361897195,100064720237286,"Alcaldía de Tuluá","🌟✨ ¡Fin de semana de #RutaDeLaFelicidad en Siete Vueltas! 🎨🎭🎈

Llevamos arte, cultura y recreación a esta comunidad, reafirmando nuestro compromiso de construir un Tuluá más unido y solidario. 💙🏡

💪🏼 ¡Sigamos trabajando juntos por una Tuluá llena de oportunidades y bienestar #ParaSerFelices! 🌍","🌟✨ ¡Fin de semana de #RutaDeLaFelicidad en Siete Vueltas! 🎨🎭🎈

Llevamos arte, cultura y recreación a esta comunidad, reafirmando nuestro compromiso de construir un Tuluá más unido y solidario. 💙🏡

💪🏼 ¡Sigamos trabajando juntos por una Tuluá llena de oportunidades y bienestar #ParaSerFelices! 🌍",46,"03/31/2025 13:16",uploaded,https://www.facebook.com/reel/878080901077768/,1,0,Reels,,,,,Total,1396,,89,37,1,51,17,17,,,6766.575,5.091,0,0,,,855
1101708071996524,100064720237286,"Alcaldía de Tuluá","🎙️ ElPodcastdeVélez | Episodio 10. Haciendo trabajo social por Tuluá. 

En el décimo episodio de #ElPodcastdeVélez, tenemos una invitada especial: Alexandra Cardona, quien es la Directora de Planeación Municipal y se encuentra como alcaldesa encargada. Habla de las nuevas alianzas y acercamientos que realizó durante esta semana con periodistas y comerciantes y el trabajo social que realizó con la comunidad de Siete Vueltas.","🎙️ ElPodcastdeVélez | Episodio 10. Haciendo trabajo social por Tuluá. 

En el décimo episodio de #ElPodcastdeVélez, tenemos una invitada especial: Alexandra Cardona, quien es la Directora de Planeación Municipal y se encuentra como alcaldesa encargada. Habla de las nuevas alianzas y acercamientos que realizó durante esta semana con periodistas y comerciantes y el trabajo social que realizó con la comunidad de Siete Vueltas.",1217,"03/30/2025 11:01",N/A,https://www.facebook.com/AlcaldiaDeTulua/videos/439575999213041/,0,0,Videos,,,,,Total,2141,,173,120,28,25,85,85,,,67233.37,34.835,0,0,0,,1758
1101596772007654,100064720237286,"Alcaldía de Tuluá","🚫💰En Tuluá decimos NO A LA LIMOSNA 🍽️🤝                              Salimos a las calles para hablar con comerciantes y ciudadanos sobre la importancia de mitigar la mendicidad. 🌃🚶‍♂️💬 Dar monedas prolonga la situación de quienes viven en la calle. ❌🏚️Por eso, apoyamos programas y acciones que brinden oportunidades reales. 💼🍽️💙 ¡Juntos podemos hacer la diferencia! 💪✨","🚫💰En Tuluá decimos NO A LA LIMOSNA 🍽️🤝                              Salimos a las calles para hablar con comerciantes y ciudadanos sobre la importancia de mitigar la mendicidad. 🌃🚶‍♂️💬 Dar monedas prolonga la situación de quienes viven en la calle. ❌🏚️Por eso, apoyamos programas y acciones que brinden oportunidades reales. 💼🍽️💙 ¡Juntos podemos hacer la diferencia! 💪✨",33,"03/30/2025 08:27",N/A,https://www.facebook.com/reel/535690439563062/,0,0,Reels,,,,,Total,4609,,223,154,14,55,258,258,,,38073.983,9.065,0,0,,,2414
1101044655396199,100064720237286,"Alcaldía de Tuluá","🌞🌙 Así lucen las obras de Tuluá de día y de noche al estilo #ChatGPT con el toque mágico de #StudioGhibli: llenas de progreso, color y alegría para todos. 💙🏗️✨

🚧¡Tuluá brilla con cada obra que hacemos #ParaSerFelices💪😊",,0,"03/29/2025 19:14",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid03GKqyHjSYbdcCxoLWCMWUVWooKdsHpaw2CHrVqMZ4qmMKdgwqjUXroHBJ69GzJ2Al,0,0,Fotos,,,,,Total,11215,,173,135,11,27,1105,413,692,,,,,,,,7287
1100942042073127,100064720237286,"Alcaldía de Tuluá","#ResumenSemanal | Conoce aquí las noticias más destacadas de la semana ➡️➡️ 45 segundos #ParaSerFelices ✅✌🏽","#ResumenSemanal | Conoce aquí las noticias más destacadas de la semana ➡️➡️ 45 segundos #ParaSerFelices ✅✌🏽",70,"03/29/2025 16:04",N/A,https://www.facebook.com/reel/666212469333232/,1,0,Reels,,,,,Total,2263,,106,83,2,21,34,34,,,24997.247,12.046,0,0,,,1231
1100705252096806,100064720237286,"Alcaldía de Tuluá","🚍💙 Sábado de Ruta de la Felicidad en Siete Vueltas 💙✨

Hoy llevamos nuestra oferta institucional con una jornada integral que incluyó:

👕 Perchero de la Felicidad.
🛍️ Canasta Solidaria (entrega de mercados).
🩺 Atención médica del Hospital Rubén Cruz Vélez.
🎭 Presentaciones artísticas y culturales.
🇨🇴 Programas nacionales y mucho más.

¡Seguimos construyendo espacios #ParaSerFelices! 💙✅",,0,"03/29/2025 09:52",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02ygw75yh6i7UTY7KF1tYQHYyPvDruz55PEm9xDYFH9eoV8DrjnfC2HFqAutC57tpCl,0,0,Fotos,,,,,Total,6014,,104,73,4,27,641,216,424,1,,,,,,,3757
