"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)"
1126026416231356,100064720237286,"Alcaldía de Tuluá","#BienestarSocial | Ni la lluvia opacó la alegría de más de 1500 niños en Tuluá.

La alegría fue la protagonista en Tuluá durante la celebración del Día del Niño, donde más de 1.500 pequeños, acompañados de sus familias, participaron en una jornada llena de juegos y diversión. Ni la lluvia logró empañar este evento, que fue organizado por la Administración Municipal en el marco de la estrategia ""Brújula"". 

Lee la noticia completa: ⬇⬇⬇
",,0,"04/28/2025 10:23",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid04VCjQpZB4JMJP1azBYtnx3iRvHkA43xJZ4XdvME5NBySwRSvMGgYPzC7azikQbEyl,0,0,Enlaces,,,,,Total,2725,1959,46,38,1,7,52,,23,29,,,,,
1151175230383141,100064720237286,"Alcaldía de Tuluá","➡️Conoce las noticias más importantes de la semana en nuestro resumen semanal “45 segundos” #ParaSerFelices 💙✅","➡️Conoce las noticias más importantes de la semana en nuestro resumen semanal “45 segundos” #ParaSerFelices 💙✅",78,"05/31/2025 16:10",uploaded,https://www.facebook.com/reel/1357477342145161/,1,0,Reels,,,,,Total,3610,1820,119,94,5,20,73,,73,,43683.873,13.261,0,0,
1150943927072938,100064720237286,"Alcaldía de Tuluá","#Educación | Tuluá realizó con éxito la primera Mesa Pública del Programa de Alimentación Escolar.

Durante el encuentro, la Secretaría de Educación expuso los avances y acciones realizadas en materia de inspección, control y vigilancia del PAE, destacando las visitas periódicas a las instituciones educativas y la atención oportuna a las quejas ciudadanas, en un esfuerzo constante por garantizar la transparencia y el buen uso de los recursos públicos.

Lee la noticia completa:⬇️⬇️⬇️
",,0,"05/31/2025 08:47",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02NMVmNiLSvbaF1Kcx3Wresk1P5CL3p1yCTMawdWxatSoEU1wZocX3UAAEmH3f4qfal,0,0,Enlaces,,,,,Total,1837,1236,36,31,0,5,17,,9,8,,,,,
1150905053743492,100064720237286,"Alcaldía de Tuluá","🍎 ¡Tuluá realizó con éxito la primera Mesa Pública del PAE! 🗣️📚

Escuchamos a la comunidad, estuvimos con padres de familia, estudiantes, docentes, y con la asistencia de las autoridades competentes, compartimos avances y reafirmamos nuestro compromiso con la alimentación y el bienestar de nuestros estudiantes 💙.

¡Seguimos trabajando con transparencia y amor por la educación! 👧👦✨#ParaSerFelices","🍎 ¡Tuluá realizó con éxito la primera Mesa Pública del PAE! 🗣️📚

Escuchamos a la comunidad, estuvimos con padres de familia, estudiantes, docentes, y con la asistencia de las autoridades competentes, compartimos avances y reafirmamos nuestro compromiso con la alimentación y el bienestar de nuestros estudiantes 💙.

¡Seguimos trabajando con transparencia y amor por la educación! 👧👦✨#ParaSerFelices",63,"05/31/2025 07:55",N/A,https://www.facebook.com/reel/1334254617661700/,1,0,Reels,,,,,Total,3310,1448,260,163,4,93,22,,22,,23034.412,7.471,0,0,
1150408767126454,100064720237286,"Alcaldía de Tuluá","🎉 ¡Celebramos 200 años de historia, tradición y pujanza! 🇨🇴💙

Hoy conmemoramos nuestro Bicentenario, honrando a una tierra construida con el esfuerzo y la resiliencia de su gente 💪.

Agradecemos a la Gobernadora Dilian Francisca Toro, al Concejo Municipal, representantes a la cámara, diputados, concejales y demás asistentes por acompañarnos en esta fecha tan especial 🙌.

📸 Desliza y revive esta celebración inolvidable. 🎊 #ParaSerFelices 💙 Concejo Municipal Tuluá",,0,"05/30/2025 18:02",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid04umvYRNTwdt6tkVf6AEYqqn9VWvcXYHri83pGDs6Y5Kw64bXeGQMF11hEDFv6cnLl,0,0,Fotos,,,,,Total,5141,3145,84,58,20,6,460,321,139,,,,,,
1150291103804887,100064720237286,"Alcaldía de Tuluá",,,0,"05/30/2025 13:35",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02vPNweVtQM5cqQ1EumXZFXhkDQ564XUht3RJfutC4Mhwi6hsx5ezME84qeS7CY7xYl,0,1,Fotos,,,,,Total,1999,1243,46,36,5,5,95,69,26,,,,,,
1150175747149756,100064720237286,"Alcaldía de Tuluá","#Noticias | Alcaldía de Tuluá levanta medidas restrictivas adoptadas durante jornadas de movilización.

Tras la culminación de las jornadas de movilización social llevadas a cabo los días 28 y 29 de mayo de 2025, se realizó una evaluación general en el Puesto de Mando Unificado (PMU), en la cual se presentó un balance positivo del comportamiento ciudadano y del desarrollo de las actividades durante dichos días.

Lee la noticia completa:⬇⬇⬇
",,0,"05/30/2025 10:35",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0SSvM4Y2edepdkyCf93XWUxyTuZrDQsHCKvRcCvPhHN6fbmJ3GUwfRdUVh9UVw1e3l,0,0,Enlaces,,,,,Total,4938,2896,52,40,3,9,252,,45,207,,,,,
1150048180495846,100064720237286,"Alcaldía de Tuluá","🎉 ¡Tuluá celebra 200 años de historia, cultura y progreso! 🏞️

Hoy honramos el legado de nuestro municipio, el Corazón del Valle 💙, que late con fuerza gracias a su comunidad, su tradición y su visión de futuro.

🚶‍♀️🚶‍♂️ Desde sus raíces hasta el presente, Tuluá ha sido testigo de grandes transformaciones y sigue siendo tierra de oportunidades, alegría y esperanza. #ParaSerFelices 💪🏼💙

🎂 ¡Feliz Bicentenario, Tuluá! 💚❤️🤍 #Bicentenario #200años #Tuluá","🎉 ¡Tuluá celebra 200 años de historia, cultura y progreso! 🏞️

Hoy honramos el legado de nuestro municipio, el Corazón del Valle 💙, que late con fuerza gracias a su comunidad, su tradición y su visión de futuro.

🚶‍♀️🚶‍♂️ Desde sus raíces hasta el presente, Tuluá ha sido testigo de grandes transformaciones y sigue siendo tierra de oportunidades, alegría y esperanza. #ParaSerFelices 💪🏼💙

🎂 ¡Feliz Bicentenario, Tuluá! 💚❤️🤍 #Bicentenario #200años #Tuluá",29,"05/30/2025 07:03",uploaded,https://www.facebook.com/reel/1397169488102142/,1,0,Reels,,,,,Total,4855,2976,215,156,10,49,44,,44,,28243.075,6.598,0,0,
1149524000548264,100064720237286,"Alcaldía de Tuluá","🛑 ¡Conoce cómo funciona nuestra nueva demarcación vial en la Sarmiento! 🛵

Hemos implementado esta señalización en la zona céntrica para mejorar la movilidad en este sector de Tuluá ✅
🚗 No estaciones tus vehículo allí ❌
🛵 Es una zona exclusiva para el tránsito de motocicletas.

💬 Te invitamos a sumarte con respeto y compromiso. ¡Entre todos hacemos de Tuluá una ciudad más ordenada y segura! #ParaSerFelices 💙","🛑 ¡Conoce cómo funciona nuestra nueva demarcación vial en la Sarmiento! 🛵

Hemos implementado esta señalización en la zona céntrica para mejorar la movilidad en este sector de Tuluá ✅
🚗 No estaciones tus vehículo allí ❌
🛵 Es una zona exclusiva para el tránsito de motocicletas.

💬 Te invitamos a sumarte con respeto y compromiso. ¡Entre todos hacemos de Tuluá una ciudad más ordenada y segura! #ParaSerFelices 💙",46,"05/29/2025 14:23",auto,https://www.facebook.com/reel/1032520648553611/,1,0,Reels,,,,,Total,12188,6532,433,297,47,89,628,,628,,199693,18.478,0,0,
1149473777219953,100064720237286,"Alcaldía de Tuluá","#Obras | Desmonte de Puente Peatonal da inicio a construcción de Intercambiador de la 40.

Con el desmonte del puente, la Administración Municipal de Tuluá marca el inicio de una intervención que no solo mejorará la movilidad, sino que también conectará con la futura ruta turística hacia el Picacho, fortaleciendo así la vocación turística del municipio.

 Lee la noticia completa: ⬇⬇⬇",,0,"05/29/2025 12:32",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0hgyas8cFnSMZvueZa4ve7qKQGMbCueFXPkg4ZAE9xoepiS5ExZrKbK4hvrkuGvNql,0,0,Enlaces,,,,,Total,1892,1191,32,23,0,9,44,,9,35,,,,,
