"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,"Me gusta","Veces que se compartió",Comentarios,"Veces que se guardó",Alcance,Seguimientos
17887209279249266,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","#ResumenSemanal | Conoce aquí las noticias más destacadas de la semana ➡️➡️ 45 segundos #ParaSerFelices ✅✌🏽",71,"04/12/2025 16:03",https://www.instagram.com/reel/DIXT1-kPl_m/,"Reel de Instagram",,Total,6725,49,4,1,1,2237,0
18092115433507612,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","✅ ¡Ya empezamos con la certificación de discapacidad! ♿💙
Si estás esperando tu certificado… ¡este es el momento! Acércate a la Secretaría de Salud, actualiza tus datos y prepárate para ser parte del proceso de certificación 📋🗂️

Queremos contactarte, pero necesitamos tener tu información al día. ¡No lo dejes pasar! 💬🕒
 ¡Te esperamos! 🙌 #ParaSerFelices 💪🏼",25,"04/11/2025 13:58",https://www.instagram.com/reel/DIUfto-PgRB/,"Reel de Instagram",,Total,6168,47,1,0,1,1730,1
18390207697139263,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","➡️Conoce las noticias más importantes de la semana en nuestro resumen semanal “45 segundos” #ParaSerFelices 💙✅",78,"05/31/2025 16:10",https://www.instagram.com/reel/DKVfwMmPV9c/,"Reel de Instagram",,Total,8746,103,12,5,2,3099,2
18100190425555214,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🍎 ¡Tuluá realizó con éxito la primera Mesa Pública del PAE! 🗣️📚

Escuchamos a la comunidad, estuvimos con padres de familia, estudiantes, docentes, y con la asistencia de las autoridades competentes, compartimos avances y reafirmamos nuestro compromiso con la alimentación y el bienestar de nuestros estudiantes 💙.

¡Seguimos trabajando con transparencia y amor por la educación! 👧👦✨#ParaSerFelices",62,"05/31/2025 07:55",https://www.instagram.com/reel/DKUm3JxgjZh/,"Reel de Instagram",,Total,5747,8,2,0,0,1675,0
17883698574291955,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎉 ¡Celebramos 200 años de historia, tradición y pujanza! 🇨🇴💙

Hoy conmemoramos nuestro Bicentenario, honrando a una tierra construida con el esfuerzo y la resiliencia de su gente 💪.

Agradecemos a la Gobernadora Dilian Francisca Toro, al Concejo Municipal, representantes a la cámara, diputados, concejales y demás asistentes por acompañarnos en esta fecha tan especial 🙌.

📸 Desliza y revive esta celebración inolvidable. 🎊 #ParaSerFelices 💙",0,"05/30/2025 18:00",https://www.instagram.com/p/DKTHn9tPqBK/,"Secuencia de Instagram",,Total,4000,83,1,0,2,2164,0
18191402827312733,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","Construyendo ciudad #ParaSerFelices 💙

El año anterior marcó un hito en la consolidación de @infitulua como un actor clave en el desarrollo estratégico y sostenible del municipio de Tuluá.🏗🫶🏻

Hoy podemos decir con certeza que avanzamos con pasos firmes para recobrar la confianza en el Instituto como una entidad que impulsa el crecimiento económico y social, en un trabajo articulado con @alcaldiadetulua y el ingeniero @gustavovelezr para materializar junto a la comunidad proyectos que antes eran solo sueños. 

Nuestro compromiso es con los tulueños y la región, la invitación es a trabajar #DeLaManoConInfi para seguir construyendo una ciudad #ParaSerFelices",121,"05/30/2025 11:25",https://www.instagram.com/reel/DKSY87Cpqp2/,"Reel de Instagram",,Total,3684,75,1,2,3,2036,1
17849613171470462,17841465258460662,secre.bienestarsocialtulua,"SECRETARIA DE BIENESTAR SOCIAL","Jornada de Socialización de la Campaña de Erradicación del Trabajo Infantil en el Corregimiento de Nariño

En el marco del compromiso institucional con la protección de los derechos de la niñez, se llevó a cabo la Jornada de Socialización de la Campaña de Erradicación del Trabajo Infantil en el corregimiento de Nariño. Esta actividad tuvo como objetivo sensibilizar a la comunidad sobre las consecuencias del trabajo infantil y promover entornos seguros, protectores y libres de explotación para niños, niñas y adolescentes.

Durante la jornada se realizaron presentaciones informativas, actividades pedagógicas, y espacios de diálogo con líderes comunitarios, padres de familia, docentes y estudiantes. También se contó con la participación de representantes de entidades gubernamentales, organizaciones sociales y autoridades locales, quienes reafirmaron su compromiso en la lucha contra esta problemática.

Se destacó la importancia de garantizar el acceso a la educación, la recreación y el desarrollo integral de la infancia, así como la responsabilidad conjunta de todos los actores sociales para prevenir y erradicar el trabajo infantil en el territorio.

La jornada concluyó con una invitación a la comunidad a mantenerse vigilante y a denunciar cualquier caso de vulneración de derechos, promoviendo una cultura de respeto, inclusión y protección para todos los niños y niñas del corregimiento.",0,"05/30/2025 09:51",https://www.instagram.com/p/DKSPmXUNJ1Q/,"Secuencia de Instagram",,Total,2916,32,1,0,0,,
18050345501377399,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎉 ¡Tuluá celebra 200 años de historia, cultura y progreso! 🏞️

Hoy honramos el legado de nuestro municipio, el Corazón del Valle 💙, que late con fuerza gracias a su comunidad, su tradición y su visión de futuro.

🚶‍♀️🚶‍♂️ Desde sus raíces hasta el presente, Tuluá ha sido testigo de grandes transformaciones y sigue siendo tierra de oportunidades, alegría y esperanza. #ParaSerFelices 💪🏼💙

🎂 ¡Feliz Bicentenario, Tuluá! 💚❤️🤍 #Bicentenario #200años #Tuluá",29,"05/30/2025 07:03",https://www.instagram.com/reel/DKR8R5bAasa/,"Reel de Instagram",,Total,14549,297,87,12,7,6279,4
17954874944958979,17841402909298602,tuluaferia,"Feria de Tuluá Oficial","Programación Oficial Feria de Tuluá No67 🤠🐴💃🏼🕺🏾🎶

¡La #FeriaDeTuluá está a la vuelta de la esquina! Prográmate para disfrutar de los días más alegres del año, tendremos eventos para todos los gustos. 🎊⁣

No faltes por ningún motivo porque este año la Feria #HayQueSentirla ❤️💚🤍

📅 ¡Nos vemos del 19 al 23 de Junio oís!

💬¡Comenta cual es el evento que estabas esperando!

Carnaval del pueblo: Proyecto Apoyado por el Ministerio de las Culturas, Programa Nacional de @mincultura www.ministeriodecultura.gov.co⁣
#feriadetuluá #tuluá #feria #hayquesentirla #cabalgata #exposición #ganadería #equinos #industrial #artesania #plantas #cultura #asoferias #tuluacorazondelvalle⁣",0,"05/29/2025 15:46",https://www.instagram.com/p/DKQTcWwx8Hj/,"Secuencia de Instagram",,Total,36659,703,453,30,0,,
18313220389231267,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🛑 ¡Conoce cómo funciona nuestra nueva demarcación vial en la Sarmiento! 🛵

Hemos implementado esta señalización en la zona céntrica para mejorar la movilidad en este sector de Tuluá ✅
🚗 No estaciones tus vehículo allí ❌
🛵 Es una zona exclusiva para el tránsito de motocicletas.

💬 Te invitamos a sumarte con respeto y compromiso. ¡Entre todos hacemos de Tuluá una ciudad más ordenada y segura! #ParaSerFelices 💙",46,"05/29/2025 14:23",https://www.instagram.com/reel/DKQJ9ABPylr/,"Reel de Instagram",,Total,27488,424,45,13,10,8039,6
17909709090037997,17841429880911426,sysman_software,"Sysman Software","🎉 En el marco de @expoicolombia , damos la bienvenida a la Alcaldía de Tuluá, que se une con visión y compromiso al camino de la transformación digital. A partir de ahora, trabajaremos conjuntamente con @alcaldiadetulua , @galgus y @sysman_software para fortalecer sus capacidades en la estrategia de ✴️Ciudades Inteligentes✴️ de la mano de Marso Smart Cities, nuestra plataforma especializada basada en FIWARE.

#CiudadesInteligentes #SmartCities #TransformaciónDigital #InnovaciónUrbana #TecnologíaConPropósito #DesarrolloSostenible #GobiernoInteligente #ConectividadCiudadana",0,"05/29/2025 12:44",https://www.instagram.com/p/DKP-oapR_9X/,"Secuencia de Instagram",,Total,2164,36,1,0,0,,
18030729665429078,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚧 ¡Arrancamos el Intercambiador de la 40! 👷‍♂️💥

Desmontamos el puente peatonal para darle paso al Intercambiador de la 40 🛣️, una megaobra que transformará la movilidad de Tuluá y abrirá camino hacia nuestra futura ruta turística al Picacho ⛰️✨🔧 ¡#ParaSerFelices",61,"05/29/2025 11:01",https://www.instagram.com/reel/DKPyzVEvLr9/,"Reel de Instagram",,Total,23730,275,60,17,4,6721,4
18070862353752094,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","👶✨ ¡Así construimos futuro en Tuluá!

Te presentamos el CDI Mar de Ideas, una obra con el sello del alcalde Gustavo Adolfo Vélez Román, que transformará la vida de 400 a 500 niños. 📚🍎🎨 Educación, nutrición y cuidado con amor desde la primera infancia 💫
#ParaSerFelices",39,"05/28/2025 17:17",https://www.instagram.com/reel/DKN5BLZvAwR/,"Reel de Instagram",,Total,8262,121,8,6,2,3090,3
18070010926784462,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Primer paso para iniciar proyectos de Cruz del Picacho y Lago Chilicote✅ 🌟

En un encuentro estratégico con la Secretaría de @turismovalledelcauca, el alcalde @gustavovelezr realizó una Mesa Técnica para iniciar con la construcción de los proyectos que posicionarán a Tuluá como un destino competitivo, atractivo y lleno de identidad. 🏞️📈

Estamos trabajando con planificación, para impulsar la economía local con obras que proyectan al municipio como referente turístico con La Cruz del Picacho y la renovación del Lago Chilicote. #ParaSerFelices 💪🏼💙",60,"05/28/2025 13:29",https://www.instagram.com/reel/DKNeJXav0hN/,"Reel de Instagram",,Total,19687,273,42,7,9,5211,7
18086648215631011,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🗳️ ¿Sabías que tú también puedes ser parte del cambio?
🔥 El Consejo Municipal de Juventudes es el espacio para que los jóvenes alcen su voz, propongan y construyan la ciudad que soñamos 💡🏙️
⠀📣 Si tienes entre 14 y 28 años... ¡Participa como candidato o vota! Porque la democracia también es para los jóvenes. 💪
⠀
👀 Infórmate, involúcrate y marca la diferencia. ¡Tu voz cuenta! #ParaSerFelices 💙✅",37,"05/28/2025 08:32",https://www.instagram.com/reel/DKM8hW1g-xD/,"Reel de Instagram",,Total,8211,56,18,2,2,5151,0
