"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,"Me gusta","Veces que se compartió",Comentarios,"Veces que se guardó",Alcance,Seguimientos
17912849463111793,17841440739178712,policiavalledelcauca,"Policia Valle del Cauca","🐎 A esta hora acompañamos a nuestros caballistas en el desarrollo de la cabalgata de la Feria de Tuluá 2025.

👮‍♂️ Invitamos a todos a disfrutar con responsabilidad y buen comportamiento. ¡La seguridad es compromiso de todos!

#CabalgataSegura #FeriaDeTuluá2025 #PolicíaNacional #TuluáSegura",0,"06/14/2025 16:31",https://www.instagram.com/p/DK5lUDlMdll/,"Secuencia de Instagram",,Total,10013,266,2,6,0,,
18512915062055893,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎉🐎 cientos de familias se unieron para vivir la emoción de nuestra tradición. ¡La Feria 67 de Tuluá ya está en marcha! 🎊

Con alegría y corazones latiendo al ritmo de nuestra tierra, dimos el arranque oficial a esta celebración que promete ser inolvidable. 😍

¡El camino ya está abierto y la Feria apenas comienza! 🫣 ¡No te pierdas lo que viene! 🎉",0,"06/14/2025 15:38",https://www.instagram.com/p/DK5fPeNveWY/,"Secuencia de Instagram",,Total,20749,321,9,0,10,11069,4
18051561047417542,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚧✨ ¡Adiós a los huecos en la calle 34!

Así se ven 1.400 metros lineales de topping en esta vía que conecta a 5 barrios, y hoy está totalmente recuperada con topping, ofreciendo mejor movilidad y calidad de vida a los tulueños. ✌🏽

💙 ¡Aquí trabajamos día y noche para seguir transformando a Tuluá en la ciudad que soñamos #ParaSerFelices! 🤩💪🏼",31,"07/22/2025 18:27",https://www.instagram.com/reel/DMbor85giru/,"Reel de Instagram",,Total,22291,368,38,21,3,5674,2
18067292135134371,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🌳 ¡Retiramos árbol que representaba riesgo en la calle 25!

Con una intervención técnica y responsable de la SEDAMA, ahora la calle 25 es un lugar más seguro para peatones y vecinos de la calle 25. 🛣️💙 El árbol retirado presentaba daños estructurales y fitosanitarios, es decir, con afectaciones por plagas o enfermedades que comprometían su estabilidad. 🚶‍♀️🚗 y que podían afectar a peatones y conductores que transitan por el sector. 🚶‍♀️🚗

🌿 Como medida compensatoria, sembramos nuevos árboles en otros sectores del municipio, reafirmando el compromiso del alcalde @gustavovelezr con una Tuluá más verde, segura y sostenible. 💙🍃 #ParaSerFelices",51,"07/22/2025 15:17",https://www.instagram.com/reel/DMbS8sIP6t9/,"Reel de Instagram",,Total,4710,54,3,8,3,2158,0
18067784534120726,17841433443880918,fundacionlevapan,"Fundación Levapan","✨ Gracias por ser parte de la Feria de Emprendimiento Levapan: Impulsando Comunidades

Desde la Fundación Levapan agradecemos a los 70 emprendimientos que participaron en esta gran iniciativa, donde el talento, la creatividad y el esfuerzo local fueron los verdaderos protagonistas.

Gracias al valioso apoyo de la @alcaldiadetulua @camaratulua y @senaclem_tulua seguimos construyendo espacios que impulsan el crecimiento, fortalecen la economía local y generan oportunidades reales para nuestras comunidades.

 ❤️Juntos seguimos transformando vidas a través del emprendimiento.
.
.
#FundaciónLevapan #ImpulsandoComunidades #FeriaDeEmprendimientoLevapan #EmprendimientoLocal #Tuluá #SENA #CámaraDeComercioDeTuluá #AlcaldíaDeTuluá #EmprenderEsCrecer #JuntosTransformamos",0,"07/22/2025 13:02",https://www.instagram.com/p/DMbDqNGxVWc/,"Secuencia de Instagram",,Total,2996,83,9,2,0,,
18085283314699484,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🏅 ¡Tuluá presente en los Juegos Departamentales 2025! ⚽🔥

Estos son algunos de nuestros deportistas tulueños que ya están dejando huella en los Juegos Departamentales. 💪 Ellos integran la selección Tuluá de fútbol masculino, representando con pasión, disciplina y talento a nuestro municipio. 💙⚽

Ellos se unen a los más de 300 jóvenes atletas que participarán en 33 disciplinas deportivas, demostrando que en Tuluá sí se transforma el deporte #ParaSerFelices. 🏃‍♀️🏋️‍♂️

¡Vamos, Tuluá! 💙 💪🏽",24,"07/22/2025 08:25",https://www.instagram.com/reel/DMajw93AgoY/,"Reel de Instagram",,Total,9960,100,11,9,1,2310,0
18068643203029026,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚧 Agricultores de Tochecito y Altaflor cuentan con mejores vías para sacar sus productos 🌄

Con maquinaria y labores de compactación,  mejoramos la vía para facilitar el transporte de productos frescos del campo a la ciudad, de estudiantes de zona rural y el acceso a servicios. 

💪🌱 Porque una vía en buen estado mejora la calidad de vida de nuestros campesinos. 🌾 #ParaSerFelices 💙",56,"07/21/2025 15:17",https://www.instagram.com/reel/DMYuEXLv_2u/,"Reel de Instagram",,Total,4953,45,4,3,0,1569,0
17971840514763156,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🐾 Un día lleno de huellas, amor y esperanza 💙🤩

Este fin de semana celebramos  el Día Mundial del Perro en el Parque de la Familia📍. Una jornada cargada de emociones, donde tulueños y tulueñas se unieron para honrar la vida de nuestros peludos con amor y compromiso. 🐾🐶

Durante el evento, realizamos vacunación antirrábica gratuita tanto a perritos como gatitos, desparasitación, asesorías sobre tenencia responsable, rifas y actividades para toda la familia. Además, muchos animalitos encontraron una nueva oportunidad de vida gracias a la jornada de adopción liderada por la Fundación Huellitas En La Calle. 🤩🐾💙

¡Porque cada vida cuenta y cada ladrido también merece un hogar! 🐶🏡 #ParaSerFelices",0,"07/21/2025 08:18",https://www.instagram.com/p/DMX-SDLgHAp/,"Secuencia de Instagram",,Total,5436,144,9,1,2,2788,1
18071100638044109,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","➡️Conoce las noticias más importantes de la semana en nuestro resumen semanal “45 segundos” #*ParaSerFelices* 💙✅ 😎",62,"07/20/2025 16:14",https://www.instagram.com/reel/DMWP3QJvmrv/,"Reel de Instagram",,Total,3532,32,3,2,0,1777,0
18082148806889170,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🇨🇴✨ Hoy celebramos con orgullo el Día de la Independencia💪🏼

La Plaza Cívica Boyacá se llenó de honor y patriotismo en el homenaje a nuestros símbolos patrios.🎶 Con presentaciones artísticas y culturales vivimos la conmemoración del Grito de Independencia. 🙌 Exaltando la labor de nuestras fuerzas armadas quienes se encargan de la seguridad de nuestro municipio y del país.

¡Viva nuestra historia, viva nuestra gente, viva Colombia! 💛💙❤️ #ParaSerFelices",0,"07/20/2025 09:30",https://www.instagram.com/p/DMVhyJIg3kT/,"Secuencia de Instagram",,Total,9042,402,20,4,4,4946,0
17952119348848767,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🍽️ ¡Ahora 250 personas podrán acceder a alimentación digna y balanceada! 💙✨

El alcalde @gustavovelezr visitó el comedor comunitario del programa “Sazón para Ser Felices” y anunció la ampliación del cupo para beneficiar a niños, adultos mayores y personas vulnerables 👵👦👨‍🦳 Esta estrategia, liderada por la Secretaría de Bienestar Social, se mantendrá hasta el 30 de diciembre de 2025, garantizando acceso a comida saludable para quienes más lo necesitan 🥗🙌

✅ Lucha contra el hambre
✅ Bienestar social
✅ Atención con enfoque humano

¡Así construimos una Tuluá más justa y solidaria! #ParaSerFelices 💙🍲",27,"07/18/2025 15:41",https://www.instagram.com/reel/DMRCjRcPr0Q/,"Reel de Instagram",,Total,6930,61,4,1,0,1998,0
18082211668799905,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🔵 ¡+2.000 personas beneficiadas en Tres Esquinas! 🏥🙌

Con la apertura del Puesto de Salud en este corregimiento, los tulueños tendrán acceso a servicios médicos de calidad, más cerca de sus hogares 💙 El alcalde @gustavovelezr entregó este renovado espacio con atención integral y personal capacitado del Hospital Rubén Cruz Vélez, mejorando la calidad de vida en la zona rural de Tuluá 🌿

¡Seguimos transformando la salud para quienes más lo necesitan! #ParaSerFelices 💙✨",45,"07/18/2025 10:44",https://www.instagram.com/reel/DMQgg3Lvqic/,"Reel de Instagram",,Total,6997,57,13,6,0,2659,1
18072210077064782,17841465258460662,secre.bienestarsocialtulua,"SECRETARIA DE BIENESTAR SOCIAL","¡Más de 200 vidas transformadas! 💚
Durante nuestra jornada de atención integral en el Comedor Sazón para ser Felices, logramos impactar positivamente a más de 200 personas gracias a las diferentes ofertas institucionales que brinda la Administración Municipal, bajo el liderazgo del alcalde Gustavo Adolfo Vélez Román.
Seguimos trabajando con compromiso y corazón por el bienestar de nuestra comunidad tulueña. 💪✨",0,"07/18/2025 09:42",https://www.instagram.com/p/DMQZidbs2RL/,"Secuencia de Instagram",,Total,7187,89,3,1,0,,
17897901966251409,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","🚧 ¡Avanza la transformación más grande de una vía en Tuluá! 🛣️

La calle 34 ya suma más de 900 metros lineales pavimentados con técnica de topping, garantizando mayor resistencia y calidad para todos los tulueños. 👷‍♂️✨

La Administración Municipal del ingeniero @gustavovelezr sigue cumpliendo con obras que conectan barrios, mejoran la movilidad y dignifican el espacio público.

📍¡Así se construye una Tuluá para el presente y el futuro!

#ParaSerFelices 💙
#ObrasQueTransforman 
#TuluáSigueAvanzando",44,"07/18/2025 05:16",https://www.instagram.com/reel/DMP6vdXgBQd/,"Reel de Instagram",,Total,4258,119,6,6,1,2431,1
