"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","Total de clics","Clics de otro tipo","Clics en el enlace","CPM del anuncio (USD)","Consumo de segmentación del público coincidente (Photo Click)"
1168453131988684,100064720237286,"Alcaldía de Tuluá","✨👣 Pasarela Sin Barreras: inclusión que emociona ♿💛

En la #67FeriaDeTuluá vivimos la primera Pasarela Sin Barreras, un evento liderado por la Secretaría de Bienestar Social donde más de 20 niños, jóvenes y adultos con discapacidades mostraron que aquí todos cabemos. 🌈💫

Gracias al alcalde Gustavo Vélez se abren estos espacios donde las diferencias nos unen.
💛 ¡Porque las discapacidades no son una barrera cuando se trata de ser felices!  #ParaSerFelices #HayQueSentirla","✨👣 Pasarela Sin Barreras: inclusión que emociona ♿💛

En la #67FeriaDeTuluá vivimos la primera Pasarela Sin Barreras, un evento liderado por la Secretaría de Bienestar Social donde más de 20 niños, jóvenes y adultos con discapacidades mostraron que aquí todos cabemos. 🌈💫

Gracias al alcalde Gustavo Vélez se abren estos espacios donde las diferencias nos unen.
💛 ¡Porque las discapacidades no son una barrera cuando se trata de ser felices!  #ParaSerFelices #HayQueSentirla",34,"06/22/2025 14:47",mixed,https://www.facebook.com/reel/1433379477704658/,1,0,Reels,,,,,Total,5361,2542,226,114,12,100,33132.67,6.935,0,0,79,79,,,
1168417965325534,100064720237286,"Alcaldía de Tuluá","🐑 ¡Los ovinos se toman el pabellón de especies menores! 🐏✨

Ya comenzó el juzgamiento y exposición de ovinos, avalado por AsoOvinos, en el marco de la #67FeriaDeTuluá.
Una muestra imperdible para los amantes del campo y para toda la familia 👨‍👩‍👧‍👦🌾

¡Ven ya y disfruta de este espacio hecho #ParaSerFelices! 🎉🐑","🐑 ¡Los ovinos se toman el pabellón de especies menores! 🐏✨

Ya comenzó el juzgamiento y exposición de ovinos, avalado por AsoOvinos, en el marco de la #67FeriaDeTuluá.
Una muestra imperdible para los amantes del campo y para toda la familia 👨‍👩‍👧‍👦🌾

¡Ven ya y disfruta de este espacio hecho #ParaSerFelices! 🎉🐑",29,"06/22/2025 13:39",mixed,https://www.facebook.com/reel/1514060786438787/,1,0,Reels,,,,,Total,825,847,13,12,0,1,2011.176,2.714,0,0,3,3,,,
1192819669552030,100064720237286,"Alcaldía de Tuluá","🚧✨ ¡Adiós a los huecos en la calle 34!

Así se ven 1.400 metros lineales de topping en esta vía que conecta a 5 barrios, y hoy está totalmente recuperada con topping, ofreciendo mejor movilidad y calidad de vida a los tulueños. ✌🏽

💙 ¡Aquí trabajamos día y noche para seguir transformando a Tuluá en la ciudad que soñamos #ParaSerFelices! 🤩💪🏼","🚧✨ ¡Adiós a los huecos en la calle 34!

Así se ven 1.400 metros lineales de topping en esta vía que conecta a 5 barrios, y hoy está totalmente recuperada con topping, ofreciendo mejor movilidad y calidad de vida a los tulueños. ✌🏽

💙 ¡Aquí trabajamos día y noche para seguir transformando a Tuluá en la ciudad que soñamos #ParaSerFelices! 🤩💪🏼",31,"07/22/2025 18:27",auto,https://www.facebook.com/reel/3138542999687167/,1,0,Reels,,,,,Total,11901,8817,799,544,85,170,114647.094,11.452,0,0,498,498,,,
1192737756226888,100064720237286,"Alcaldía de Tuluá","#Deporte | Alcalde Gustavo Vélez apoya a más de 350 deportistas en juegos Departamentales.

Con transporte, alimentación, uniformes, implementación deportiva y hospedaje, la Administración Municipal de Tuluá apoya a más de 350 jóvenes que participan en los Juegos Departamentales 2025. 

Lee la noticia completa:⬇⬇⬇
",,0,"07/22/2025 15:39",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid022Nn6gssrbyFv74myb9muwba3LSUCzu1njZXMjjtb5QDnSTYeoMbpxHozVz1oYir9l,0,0,Enlaces,,,,,Total,8087,4408,226,156,36,34,,,,,521,392,129,,
1192728139561183,100064720237286,"Alcaldía de Tuluá","🌳 ¡Retiramos árbol que representaba riesgo en la calle 25!

Con una intervención técnica y responsable de la SEDAMA, ahora la calle 25 es un lugar más seguro para peatones y vecinos de la calle 25. 🛣️💙 El árbol retirado presentaba daños estructurales y fitosanitarios, es decir, con afectaciones por plagas o enfermedades que comprometían su estabilidad. 🚶‍♀️🚗 y que podían afectar a peatones y conductores que transitan por el sector. 🚶‍♀️🚗

🌿 Como medida compensatoria, sembramos nuevos árboles en otros sectores del municipio, reafirmando el compromiso del alcalde @gustavovelezr con una Tuluá más verde, segura y sostenible. 💙🍃 #ParaSerFelices","🌳 ¡Retiramos árbol que representaba riesgo en la calle 25!

Con una intervención técnica y responsable de la SEDAMA, ahora la calle 25 es un lugar más seguro para peatones y vecinos de la calle 25. 🛣️💙 El árbol retirado presentaba daños estructurales y fitosanitarios, es decir, con afectaciones por plagas o enfermedades que comprometían su estabilidad. 🚶‍♀️🚗 y que podían afectar a peatones y conductores que transitan por el sector. 🚶‍♀️🚗

🌿 Como medida compensatoria, sembramos nuevos árboles en otros sectores del municipio, reafirmando el compromiso del alcalde @gustavovelezr con una Tuluá más verde, segura y sostenible. 💙🍃 #ParaSerFelices",52,"07/22/2025 15:17",N/A,https://www.facebook.com/reel/1068224528778518/,1,0,Reels,,,,,Total,1063,766,64,46,6,12,13870.511,14.646,0,0,43,43,,,
1192562632911067,100064720237286,"Alcaldía de Tuluá","#Hábitat | Tochecito y la media montaña tendrán mejores vías para transitar

Con el mantenimiento y compactación de las vías rurales de la alta montaña, ahora los campesinos de Tochecito, Altaflor, Cascajeros y Volcanes, podrán transportar sus productos y transitar con facilidad hacia la zona urbana.

Lee la noticia completa: ⬇⬇⬇
",,0,"07/22/2025 09:53",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0wXtYgP4QzjubEEEHHa1zPpUe4GL7VwQS2qrP9vF5vVgFbkT6w2ZZaBBHmz75BP8ol,0,0,Enlaces,,,,,Total,2233,1442,60,44,8,8,,,,,35,23,12,,
1192498622917468,100064720237286,"Alcaldía de Tuluá","🏅 ¡Tuluá presente en los Juegos Departamentales 2025! ⚽🔥

Estos son algunos de nuestros deportistas tulueños que ya están dejando huella en los Juegos Departamentales. 💪 Ellos integran la selección Tuluá de fútbol masculino, representando con pasión, disciplina y talento a nuestro municipio. 💙⚽

Ellos se unen a los más de 300 jóvenes atletas que participarán en 33 disciplinas deportivas, demostrando que en Tuluá sí se transforma el deporte #ParaSerFelices. 🏃‍♀️🏋️‍♂️

¡Vamos, Tuluá! 💙 💪🏽","🏅 ¡Tuluá presente en los Juegos Departamentales 2025! ⚽🔥

Estos son algunos de nuestros deportistas tulueños que ya están dejando huella en los Juegos Departamentales. 💪 Ellos integran la selección Tuluá de fútbol masculino, representando con pasión, disciplina y talento a nuestro municipio. 💙⚽

Ellos se unen a los más de 300 jóvenes atletas que participarán en 33 disciplinas deportivas, demostrando que en Tuluá sí se transforma el deporte #ParaSerFelices. 🏃‍♀️🏋️‍♂️

¡Vamos, Tuluá! 💙 💪🏽",24,"07/22/2025 08:25",N/A,https://www.facebook.com/reel/1081372730804253/,1,0,Reels,,,,,Total,5754,2700,313,217,13,83,38922.545,8.147,0,0,339,339,,,
1191931586307505,100064720237286,"Alcaldía de Tuluá","🚧 Agricultores de Tochecito y Altaflor cuentan con mejores vías para sacar sus productos 🌄

Con maquinaria y labores de compactación,  mejoramos la vía para facilitar el transporte de productos frescos del campo a la ciudad, de estudiantes de zona rural y el acceso a servicios. 

💪🌱 Porque una vía en buen estado mejora la calidad de vida de nuestros campesinos. 🌾 #ParaSerFelices 💙","🚧 Agricultores de Tochecito y Altaflor cuentan con mejores vías para sacar sus productos 🌄

Con maquinaria y labores de compactación,  mejoramos la vía para facilitar el transporte de productos frescos del campo a la ciudad, de estudiantes de zona rural y el acceso a servicios. 

💪🌱 Porque una vía en buen estado mejora la calidad de vida de nuestros campesinos. 🌾 #ParaSerFelices 💙",57,"07/21/2025 15:17",uploaded,https://www.facebook.com/reel/761921066370376/,1,0,Reels,,,,,Total,2654,1454,286,165,18,103,24795.761,10.331,0,0,53,53,,,
1191783262989004,100064720237286,"Alcaldía de Tuluá","#SEDAMA | Alcaldía retira árbol que representaba riesgo en la calle 25.

La Administración Municipal, a través de la Secretaría de Desarrollo Agropecuario y Medio Ambiente, realizó la erradicación de un árbol en la calle 25 que representaba un riesgo para quienes transitan por esta vía y para los habitantes del sector. Esta acción hace parte del compromiso del alcalde Gustavo Vélez Román con la seguridad, la movilidad y el bienestar de todos los tulueños.

Lee la noticia completa: ⬇⬇⬇
",,0,"07/21/2025 10:40",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0DddvZeajpu4NEbAo9UF3HNVdTcwaJQ67NaBqbFVE8gBFPU5pgbtB9EbtmbbiC4xZl,0,0,Enlaces,,,,,Total,6117,3521,64,37,16,11,,,,,274,150,124,,
1191782796322384,100064720237286,"Alcaldía de Tuluá","#Salud | 250 mascotas esterilizadas en jornadas descentralizadas.

Con diferentes jornadas tanto en zona urbana, dos de ellas en el Coliseo de Ferias Manuel Victoria Rojas con el apoyo de la Gobernación del Valle, como en zona rural en La Iberia, La Moralia, Venus y Pardo Alto, ya son 250 los animales esterilizados en Tuluá gracias a la estrategia de bienestar animal que lidera Secretaría de Salud de la Alcaldía de Tuluá, en articulación con la Subsecretaría de Protección y Bienestar Animal del Departamento.

Lee la noticia completa:⬇⬇⬇
",,0,"07/21/2025 10:39",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0YzKLMqcodSFT3wtGAhVXjMp7U98NgSgZFgNLMYKzjfXtreVyRqsEriSNExu6gQA7l,0,0,Enlaces,,,,,Total,993,638,22,15,0,7,,,,,6,3,3,,
