Identificador de la publicación,Identificador de la página,Nombre de la página,Título,Descripción,Duración (segundos),Hora de publicación,Tipo de subtítulo,Enlace permanente,Es una publicación cruzada,Es una publicación compartida,Tipo de publicación,Idiomas,Etiquetas personalizadas,Estado de contenido financiado,Comentario sobre los datos,Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,Veces que se compartió,Total de clics,Clics de otro tipo,Consumo de segmentación del público coincidente (Photo Click),Clics en el enlace,Segundos reproducidos,Segundos en promedio reproducidos,Ingresos estimados (USD),Impresiones del anuncio,CPM del anuncio (USD),Consumo de segmentación del público coincidente (Video Click),Reach
1076160204551311,100064720237286,Alcaldía de Tuluá,"🏁🔥 ¡La velocidad y la emoción están de vuelta en Tuluá! 🔥🏁

Este fin de semana regresa el 1/4 de milla a la mejor pista del país. Un espectáculo imperdible para los amantes de la adrenalina, la potencia y la velocidad. 🚗💨💥

Vive la pasión del motor y apoya el comercio local en este gran evento. ¡Te esperamos!

📍 Tuluá, el epicentro de la velocidad.  #ParaSerFelices 💪🏼💙","🏁🔥 ¡La velocidad y la emoción están de vuelta en Tuluá! 🔥🏁

Este fin de semana regresa el 1/4 de milla a la mejor pista del país. Un espectáculo imperdible para los amantes de la adrenalina, la potencia y la velocidad. 🚗💨💥

Vive la pasión del motor y apoya el comercio local en este gran evento. ¡Te esperamos!

📍 Tuluá, el epicentro de la velocidad.  #ParaSerFelices 💪🏼💙",32,2025-02-27 14:38:00,uploaded,https://www.facebook.com/reel/1012623967440902/,1,0,Reels,,,,,Total,3911.0,,170.0,113.0,4.0,53.0,60,60.0,,,28086.071,7.951,0.0,0.0,,,2228.0
1076013484565983,100064720237286,Alcaldía de Tuluá,"#MedioAmbiente | Sedama realiza control de plagas en San Pedro Claver.

En respuesta a las necesidades de la comunidad del barrio San Pedro Claver, la Administración Municipal, a través de la Secretaría de Desarrollo Agropecuario y Medio Ambiente (SEDAMA), llevó a cabo una intervención en los árboles del sector afectados por una plaga de chinches.

Lee la noticia completa: ⬇⬇⬇
",,0,2025-02-27 09:34:00,,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0283Vx4SMHKQMeeTnX2wtnv6qm8V7Joe2LzCFAZDyFYn8i1KwYir8E9FH2k4by2xsDl,0,0,Enlaces,,,,,Total,2533.0,,35.0,27.0,0.0,8.0,15,7.0,,8.0,,,,,,,1756.0
1102808555219809,100064720237286,Alcaldía de Tuluá,"🔊 ¿El exceso de ruido te molesta? 🚫🎧

Esta es una problemática que nos afecta a todos 😖 y es importante ponerle control. Si tienes una denuncia, ¡actúa! 📢⚖️

📍 Conoce aquí dónde puedes comunicarte y denunciar.
✅ El cambio comienza contigo. 💪🌎

#ParaSerFelices","🔊 ¿El exceso de ruido te molesta? 🚫🎧

Esta es una problemática que nos afecta a todos 😖 y es importante ponerle control. Si tienes una denuncia, ¡actúa! 📢⚖️

📍 Conoce aquí dónde puedes comunicarte y denunciar.
✅ El cambio comienza contigo. 💪🌎

#ParaSerFelices",50,2025-03-31 16:52:00,uploaded,https://www.facebook.com/reel/668264469228593/,1,0,Reels,,,,,Total,4828.0,,146.0,85.0,26.0,35.0,332,332.0,,,58429.056,13.878,0.0,0.0,,,3334.0
1102703821896949,100064720237286,Alcaldía de Tuluá,"#JornadasDescentralizadas | Llegamos con la Ruta de la Felicidad a Siete Vueltas.

La alcaldesa encargada, Alexandra Cardona, destacó el compromiso de la Administración Municipal en generar impacto social positivo a través del trabajo en equipo. “ El compromiso que hoy tenemos con esta comunidad es hacer un trabajo social humanitario”, mencionó.

Lee la noticia completa: ⬇⬇⬇
",,0,2025-03-31 13:22:00,,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02ZDe2A7A3coE5mZ2DxFgWg4mm7be5fqDx7ZcpLYwyhS7dLBBegUg4nrRA9nWKdmHAl,0,0,Enlaces,,,,,Total,2216.0,,48.0,37.0,0.0,11.0,40,6.0,,34.0,,,,,,,1537.0
1102701361897195,100064720237286,Alcaldía de Tuluá,"🌟✨ ¡Fin de semana de #RutaDeLaFelicidad en Siete Vueltas! 🎨🎭🎈

Llevamos arte, cultura y recreación a esta comunidad, reafirmando nuestro compromiso de construir un Tuluá más unido y solidario. 💙🏡

💪🏼 ¡Sigamos trabajando juntos por una Tuluá llena de oportunidades y bienestar #ParaSerFelices! 🌍","🌟✨ ¡Fin de semana de #RutaDeLaFelicidad en Siete Vueltas! 🎨🎭🎈

Llevamos arte, cultura y recreación a esta comunidad, reafirmando nuestro compromiso de construir un Tuluá más unido y solidario. 💙🏡

💪🏼 ¡Sigamos trabajando juntos por una Tuluá llena de oportunidades y bienestar #ParaSerFelices! 🌍",46,2025-03-31 13:16:00,uploaded,https://www.facebook.com/reel/878080901077768/,1,0,Reels,,,,,Total,1396.0,,89.0,37.0,1.0,51.0,17,17.0,,,6766.575,5.091,0.0,0.0,,,855.0
1101708071996524,100064720237286,Alcaldía de Tuluá,"🎙️ ElPodcastdeVélez | Episodio 10. Haciendo trabajo social por Tuluá. 

En el décimo episodio de #ElPodcastdeVélez, tenemos una invitada especial: Alexandra Cardona, quien es la Directora de Planeación Municipal y se encuentra como alcaldesa encargada. Habla de las nuevas alianzas y acercamientos que realizó durante esta semana con periodistas y comerciantes y el trabajo social que realizó con la comunidad de Siete Vueltas.","🎙️ ElPodcastdeVélez | Episodio 10. Haciendo trabajo social por Tuluá. 

En el décimo episodio de #ElPodcastdeVélez, tenemos una invitada especial: Alexandra Cardona, quien es la Directora de Planeación Municipal y se encuentra como alcaldesa encargada. Habla de las nuevas alianzas y acercamientos que realizó durante esta semana con periodistas y comerciantes y el trabajo social que realizó con la comunidad de Siete Vueltas.",1217,2025-03-30 11:01:00,,https://www.facebook.com/AlcaldiaDeTulua/videos/439575999213041/,0,0,Videos,,,,,Total,2141.0,,173.0,120.0,28.0,25.0,85,85.0,,,67233.37,34.835,0.0,0.0,0.0,,1758.0
1101596772007654,100064720237286,Alcaldía de Tuluá,"🚫💰En Tuluá decimos NO A LA LIMOSNA 🍽️🤝                              Salimos a las calles para hablar con comerciantes y ciudadanos sobre la importancia de mitigar la mendicidad. 🌃🚶‍♂️💬 Dar monedas prolonga la situación de quienes viven en la calle. ❌🏚️Por eso, apoyamos programas y acciones que brinden oportunidades reales. 💼🍽️💙 ¡Juntos podemos hacer la diferencia! 💪✨","🚫💰En Tuluá decimos NO A LA LIMOSNA 🍽️🤝                              Salimos a las calles para hablar con comerciantes y ciudadanos sobre la importancia de mitigar la mendicidad. 🌃🚶‍♂️💬 Dar monedas prolonga la situación de quienes viven en la calle. ❌🏚️Por eso, apoyamos programas y acciones que brinden oportunidades reales. 💼🍽️💙 ¡Juntos podemos hacer la diferencia! 💪✨",33,2025-03-30 08:27:00,,https://www.facebook.com/reel/535690439563062/,0,0,Reels,,,,,Total,4609.0,,223.0,154.0,14.0,55.0,258,258.0,,,38073.983,9.065,0.0,0.0,,,2414.0
1101044655396199,100064720237286,Alcaldía de Tuluá,"🌞🌙 Así lucen las obras de Tuluá de día y de noche al estilo #ChatGPT con el toque mágico de #StudioGhibli: llenas de progreso, color y alegría para todos. 💙🏗️✨

🚧¡Tuluá brilla con cada obra que hacemos #ParaSerFelices💪😊",,0,2025-03-29 19:14:00,,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid03GKqyHjSYbdcCxoLWCMWUVWooKdsHpaw2CHrVqMZ4qmMKdgwqjUXroHBJ69GzJ2Al,0,0,Fotos,,,,,Total,11215.0,,173.0,135.0,11.0,27.0,1105,413.0,692.0,,,,,,,,7287.0
1100942042073127,100064720237286,Alcaldía de Tuluá,#ResumenSemanal | Conoce aquí las noticias más destacadas de la semana ➡️➡️ 45 segundos #ParaSerFelices ✅✌🏽,#ResumenSemanal | Conoce aquí las noticias más destacadas de la semana ➡️➡️ 45 segundos #ParaSerFelices ✅✌🏽,70,2025-03-29 16:04:00,,https://www.facebook.com/reel/666212469333232/,1,0,Reels,,,,,Total,2263.0,,106.0,83.0,2.0,21.0,34,34.0,,,24997.247,12.046,0.0,0.0,,,1231.0
1100705252096806,100064720237286,Alcaldía de Tuluá,"🚍💙 Sábado de Ruta de la Felicidad en Siete Vueltas 💙✨

Hoy llevamos nuestra oferta institucional con una jornada integral que incluyó:

👕 Perchero de la Felicidad.
🛍️ Canasta Solidaria (entrega de mercados).
🩺 Atención médica del Hospital Rubén Cruz Vélez.
🎭 Presentaciones artísticas y culturales.
🇨🇴 Programas nacionales y mucho más.

¡Seguimos construyendo espacios #ParaSerFelices! 💙✅",,0,2025-03-29 09:52:00,,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02ygw75yh6i7UTY7KF1tYQHYyPvDruz55PEm9xDYFH9eoV8DrjnfC2HFqAutC57tpCl,0,0,Fotos,,,,,Total,6014.0,,104.0,73.0,4.0,27.0,641,216.0,424.0,1.0,,,,,,,3757.0
