¿En que barrio resides y que harías para mejorarlo?,Duración
¿En que barrio resides y que harías para mejorarlo?,00:36
Pueblo nuevo la seguridad,00:51
Las calles y la vigilancia de las autoridades  prados del norte,02:02
Villa Liliana acabar con las drogas,03:55
Villa del sur,01:50
Las zonas verdes  estan muy abandonadas,05:05
"Villa del Sur. Cómo en otros sectores adecuar espacios de actividad saludable para el público Bancas para quienes los visitan, e iluminación",07:18
Acondicionamiento de parques y zonas verdes. Pavimentación completa de las calles. Despeje de cañaduzales y lotes baldíos.  Campañas,06:08
Seguridad y cámaras para saber que actos y quien es la persona,01:15
"Portal de San Felipe,  frente a la avicola a la chica , via a 3 esquinas . Intervención zonas verdes y reductores de velocidad",05:09
Bosques de Maracaibo  Que seamos una comunidad más unida,01:43
Nuevo farfan que hubieran lugares donde poner la basura para que los animales no la boten,03:18
Jardin,01:19
"Portal de San Felipe, mejoría la iluminación de la entrada y como queda la entrada del colegio haría q estuviera limpio y podado siempre",03:10
"Las nieves, pavimentar calles, control con tránsito la gente estaciona mal y no dejan circular. Rondas de la policía ya que no lo hacen",05:41
Veraneras   más actividades deportivas y culturales para la población en general,05:09
La esperanza le haría el polideportivo para que los niños y los adultos mayores tengan un espacio para ellos,04:52
Villa del sur Mejoraría la situación de los parques,01:35
12 de octubre.. mejorar la vaya vial,01:30
Avenida cali&#039;&#039;el barrio no es el asunto es la inseguridad que se vive,05:04
"De la esperanza y urge la poda de unos árboles que generan inseguridad, cra16 entre clle 26a y 26 c de la esperanza, ya huno intento de robo",05:47
Retiro más convivencia con los vecinos  Apoyo y comunicación,04:04
Morales urbanización la Villa,04:28
La Bastilla,02:28
Mas entretención,02:33
Corregimiento mategudua. Ayudar a seguir conservando la hermosa naturaleza con toda su diversidad que nos rodea,11:29
,01:39
En el barrio la santa cruz . Mucho consumo y venta de estupefacientes  y falta pavimentación en la parte baja del barrio.,03:24
Panamericano,11:00
"San Antonio,mejoraría la cancha deportiva y como queda cerca el parque de los sueños,haría un control de ese parque para q dejen tanto consu",03:19
Barrio Rubén Cruz .  Mejoraria  el Ruido y la contaminación.  debido al alto fluido vehicular .,07:56
"El estado de los parques, más señalización  Soy del barrio la esperanza de tulua",05:13
"Barrio Popular, más presencia de lapolicía, se ve mucho consumidor de vicio por esta zona que viene de la casona",01:41
