nombre,altura,peso,habilidades,experiencia
abra,9,195,"synchronize,inner-focus,magic-guard",62
aerodactyl,18,590,"rock-head,pressure,unnerve",180
alakazam,15,480,"synchronize,inner-focus,magic-guard",225
arbok,35,650,"intimidate,shed-skin,unnerve",157
arcanine,19,1550,"intimidate,flash-fire,justified",194
articuno,17,554,"pressure,snow-cloak",261
beedrill,10,295,"swarm,sniper",178
bellsprout,7,40,"chlorophyll,gluttony",60
blastoise,16,855,"torrent,rain-dish",239
bulbasaur,7,69,"overgrow,chlorophyll",64
butterfree,11,320,"compound-eyes,tinted-lens",178
caterpie,3,29,"shield-dust,run-away",39
chansey,11,346,"natural-cure,serene-grace,healer",395
charizard,17,905,"blaze,solar-power",240
charmander,6,85,"blaze,solar-power",62
charmeleon,11,190,"blaze,solar-power",142
clefable,13,400,"cute-charm,magic-guard,unaware",217
clefairy,6,75,"cute-charm,magic-guard,friend-guard",113
cloyster,15,1325,"shell-armor,skill-link,overcoat",184
cubone,4,65,"rock-head,lightning-rod,battle-armor",64
dewgong,17,1200,"thick-fat,hydration,ice-body",166
diglett,2,8,"sand-veil,arena-trap,sand-force",53
ditto,3,40,"limber,imposter",101
dodrio,18,852,"run-away,early-bird,tangled-feet",165
doduo,14,392,"run-away,early-bird,tangled-feet",62
dragonair,40,165,"shed-skin,marvel-scale",147
dragonite,22,2100,"inner-focus,multiscale",270
dratini,18,33,"shed-skin,marvel-scale",60
drowzee,10,324,"insomnia,forewarn,inner-focus",66
dugtrio,7,333,"sand-veil,arena-trap,sand-force",149
eevee,3,65,"run-away,adaptability,anticipation",65
ekans,20,69,"intimidate,shed-skin,unnerve",58
electabuzz,11,300,"static,vital-spirit",172
electrode,12,666,"soundproof,static,aftermath",172
exeggcute,4,25,"chlorophyll,harvest",65
exeggutor,20,1200,"chlorophyll,harvest",186
farfetchd,8,150,"keen-eye,inner-focus,defiant",132
fearow,12,380,"keen-eye,sniper",155
flareon,9,250,"flash-fire,guts",184
gastly,13,1,levitate,62
gengar,15,405,cursed-body,225
geodude,4,200,"rock-head,sturdy,sand-veil",60
gloom,8,86,"chlorophyll,stench",138
golbat,16,550,"inner-focus,infiltrator",159
goldeen,6,150,"swift-swim,water-veil,lightning-rod",64
golduck,17,766,"damp,cloud-nine,swift-swim",175
golem,14,3000,"rock-head,sturdy,sand-veil",223
graveler,10,1050,"rock-head,sturdy,sand-veil",137
grimer,9,300,"stench,sticky-hold,poison-touch",65
growlithe,7,190,"intimidate,flash-fire,justified",70
gyarados,65,2350,"intimidate,moxie",189
haunter,16,1,levitate,142
hitmonchan,14,502,"keen-eye,iron-fist,inner-focus",159
hitmonlee,15,498,"limber,reckless,unburden",159
horsea,4,80,"swift-swim,sniper,damp",59
hypno,16,756,"insomnia,forewarn,inner-focus",169
ivysaur,10,130,"overgrow,chlorophyll",142
jigglypuff,5,55,"cute-charm,competitive,friend-guard",95
jolteon,8,245,"volt-absorb,quick-feet",184
jynx,14,406,"oblivious,forewarn,dry-skin",159
kabuto,5,115,"swift-swim,battle-armor,weak-armor",71
kabutops,13,405,"swift-swim,battle-armor,weak-armor",173
kadabra,13,565,"synchronize,inner-focus,magic-guard",140
kakuna,6,100,shed-skin,72
kangaskhan,22,800,"early-bird,scrappy,inner-focus",172
kingler,13,600,"hyper-cutter,shell-armor,sheer-force",166
koffing,6,10,"levitate,neutralizing-gas,stench",68
krabby,4,65,"hyper-cutter,shell-armor,sheer-force",65
lapras,25,2200,"water-absorb,shell-armor,hydration",187
lickitung,12,655,"own-tempo,oblivious,cloud-nine",77
machamp,16,1300,"guts,no-guard,steadfast",227
machoke,15,705,"guts,no-guard,steadfast",142
machop,8,195,"guts,no-guard,steadfast",61
magikarp,9,100,"swift-swim,rattled",40
magmar,13,445,"flame-body,vital-spirit",173
magnemite,3,60,"magnet-pull,sturdy,analytic",65
magneton,10,600,"magnet-pull,sturdy,analytic",163
mankey,5,280,"vital-spirit,anger-point,defiant",61
marowak,10,450,"rock-head,lightning-rod,battle-armor",149
meowth,4,42,"pickup,technician,unnerve",58
metapod,7,99,shed-skin,72
mew,4,40,synchronize,270
mewtwo,20,1220,"pressure,unnerve",306
moltres,20,600,"pressure,flame-body",261
mr-mime,13,545,"soundproof,filter,technician",161
muk,12,300,"stench,sticky-hold,poison-touch",175
nidoking,14,620,"poison-point,rivalry,sheer-force",227
nidoqueen,13,600,"poison-point,rivalry,sheer-force",227
nidoran-f,4,70,"poison-point,rivalry,hustle",55
nidoran-m,5,90,"poison-point,rivalry,hustle",55
nidorina,8,200,"poison-point,rivalry,hustle",128
nidorino,9,195,"poison-point,rivalry,hustle",128
ninetales,11,199,"flash-fire,drought",177
oddish,5,54,"chlorophyll,run-away",64
omanyte,4,75,"swift-swim,shell-armor,weak-armor",71
omastar,10,350,"swift-swim,shell-armor,weak-armor",173
onix,88,2100,"rock-head,sturdy,weak-armor",77
paras,3,54,"effect-spore,dry-skin,damp",57
parasect,10,295,"effect-spore,dry-skin,damp",142
persian,10,320,"limber,technician,unnerve",154
pidgeot,15,395,"keen-eye,tangled-feet,big-pecks",216
pidgeotto,11,300,"keen-eye,tangled-feet,big-pecks",122
pidgey,3,18,"keen-eye,tangled-feet,big-pecks",50
pikachu,4,60,"static,lightning-rod",112
pinsir,15,550,"hyper-cutter,mold-breaker,moxie",175
poliwag,6,124,"water-absorb,damp,swift-swim",60
poliwhirl,10,200,"water-absorb,damp,swift-swim",135
poliwrath,13,540,"water-absorb,damp,swift-swim",230
ponyta,10,300,"run-away,flash-fire,flame-body",82
porygon,8,365,"trace,download,analytic",79
primeape,10,320,"vital-spirit,anger-point,defiant",159
psyduck,8,196,"damp,cloud-nine,swift-swim",64
raichu,8,300,"static,lightning-rod",218
rapidash,17,950,"run-away,flash-fire,flame-body",175
raticate,7,185,"run-away,guts,hustle",145
rattata,3,35,"run-away,guts,hustle",51
rhydon,19,1200,"lightning-rod,rock-head,reckless",170
rhyhorn,10,1150,"lightning-rod,rock-head,reckless",69
sandshrew,6,120,"sand-veil,sand-rush",60
sandslash,10,295,"sand-veil,sand-rush",158
scyther,15,560,"swarm,technician,steadfast",100
seadra,12,250,"poison-point,sniper,damp",154
seaking,13,390,"swift-swim,water-veil,lightning-rod",158
seel,11,900,"thick-fat,hydration,ice-body",65
shellder,3,40,"shell-armor,skill-link,overcoat",61
slowbro,16,785,"oblivious,own-tempo,regenerator",172
slowpoke,12,360,"oblivious,own-tempo,regenerator",63
snorlax,21,4600,"immunity,thick-fat,gluttony",189
spearow,3,20,"keen-eye,sniper",52
squirtle,5,90,"torrent,rain-dish",63
starmie,11,800,"illuminate,natural-cure,analytic",182
staryu,8,345,"illuminate,natural-cure,analytic",68
tangela,10,350,"chlorophyll,leaf-guard,regenerator",87
tauros,14,884,"intimidate,anger-point,sheer-force",172
tentacool,9,455,"clear-body,liquid-ooze,rain-dish",67
tentacruel,16,550,"clear-body,liquid-ooze,rain-dish",180
vaporeon,10,290,"water-absorb,hydration",184
venomoth,15,125,"shield-dust,tinted-lens,wonder-skin",158
venonat,10,300,"compound-eyes,tinted-lens,run-away",61
venusaur,20,1000,"overgrow,chlorophyll",236
victreebel,17,155,"chlorophyll,gluttony",221
vileplume,12,186,"chlorophyll,effect-spore",221
voltorb,5,104,"soundproof,static,aftermath",66
vulpix,6,99,"flash-fire,drought",60
wartortle,10,225,"torrent,rain-dish",142
weedle,3,32,"shield-dust,run-away",39
weepinbell,10,64,"chlorophyll,gluttony",137
weezing,12,95,"levitate,neutralizing-gas,stench",172
wigglytuff,10,120,"cute-charm,competitive,frisk",196
zapdos,16,526,"pressure,static",261
zubat,8,75,"inner-focus,infiltrator",49
